Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Inverted Hammer|Entity|SGA|12|1|117
Inverted Hammer|Industry|WATER SUPPLY|13|1|211
Inverted Hammer|Industry|SAVINGS INSTITUTION, FEDERALLY CHARTERED|24|0.875|273
Inverted Hammer|Industry|STATE COMMERCIAL BANKS|184|0.8586956521739131|281
Inverted Hammer|Industry|MISCELLANEOUS MANUFACTURING INDUSTRIES|10|0.8|56
Inverted Hammer|Industry|IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES|10|0.8|151
Inverted Hammer|Industry|OPERATIVE BUILDERS|12|0.75|117
Inverted Hammer|Industry|HOUSEHOLD FURNITURE|12|0.75|175
Inverted Hammer|Industry|SEMICONDUCTORS & RELATED DEVICES|50|0.74|75
Inverted Hammer|Industry|TELEVISION BROADCASTING STATIONS|11|0.7272727272727273|109
Inverted Hammer|Industry|NATIONAL COMMERCIAL BANKS|151|0.7152317880794702|297
Inverted Hammer|Industry|INDUSTRIAL ORGANIC CHEMICALS|13|0.6923076923076923|128
Inverted Hammer|Industry|RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT|16|0.6875|146
Inverted Hammer|Industry|CONSTRUCTION MACHINERY & EQUIP|12|0.6666666666666666|67
Inverted Hammer|Industry|NATURAL GAS DISTRIBUTION|12|0.6666666666666666|233
Inverted Hammer|Industry|AIR TRANSPORTATION, SCHEDULED|20|0.65|102
Inverted Hammer|Industry|RADIO BROADCASTING STATIONS|20|0.65|108
Inverted Hammer|Industry|SURGICAL & MEDICAL INSTRUMENTS & APPARATUS|50|0.64|144
Inverted Hammer|Industry|INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL|11|0.6363636363636364|95
Inverted Hammer|Industry|ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES|11|0.6363636363636364|177
Inverted Hammer|Industry|TRUCKING (NO LOCAL)|13|0.6153846153846154|112
Inverted Hammer|Industry|SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED|13|0.6153846153846154|186
Inverted Hammer|Industry|RETAIL-EATING PLACES|38|0.6052631578947368|111
Inverted Hammer|Industry|ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS|15|0.6|115
Inverted Hammer|Industry|SERVICES-AUTO RENTAL & LEASING (NO DRIVERS)|10|0.6|131
Inverted Hammer|Industry|INSURANCE AGENTS, BROKERS & SERVICE|10|0.6|153
Inverted Hammer|Industry|SERVICES-HELP SUPPLY SERVICES|17|0.5882352941176471|143
Inverted Hammer|Industry|ELECTRIC & OTHER SERVICES COMBINED|34|0.5882352941176471|264
Inverted Hammer|Entity|UVXY|12|0.5833333333333334|20
Inverted Hammer|Industry|MOTOR VEHICLE PARTS & ACCESSORIES|33|0.5757575757575758|124
Inverted Hammer|Industry|PLASTICS PRODUCTS, NEC|16|0.5625|176
Inverted Hammer|Industry|PHARMACEUTICAL PREPARATIONS|83|0.5542168674698795|37
Inverted Hammer|Industry|WHOLESALE-MACHINERY, EQUIPMENT & SUPPLIES|11|0.5454545454545454|304
Inverted Hammer|Industry|PERSONAL CREDIT INSTITUTIONS|13|0.5384615384615384|136
Inverted Hammer|Industry|SERVICES-BUSINESS SERVICES, NEC|40|0.525|116
Inverted Hammer|Industry|SERVICES-PREPACKAGED SOFTWARE|42|0.5|68
Inverted Hammer|Industry|SERVICES-MANAGEMENT CONSULTING SERVICES|16|0.5|82
Inverted Hammer|Industry|MEDICINAL CHEMICALS & BOTANICAL PRODUCTS|10|0.5|92
Inverted Hammer|Industry|AIR COURIER SERVICES|10|0.5|116
Inverted Hammer|Industry|SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES|10|0.5|223
Inverted Hammer|Entity|WLFC|10|0.5|226
Inverted Hammer|Industry|FIRE, MARINE & CASUALTY INSURANCE|71|0.49295774647887325|248
Inverted Hammer|Industry|RETAIL-DEPARTMENT STORES|15|0.4666666666666667|76
Inverted Hammer|Industry|ELECTRIC SERVICES|45|0.4666666666666667|255
Inverted Hammer|Industry|RETAIL-FAMILY CLOTHING STORES|26|0.46153846153846156|116
Inverted Hammer|Industry|HOTELS & MOTELS|11|0.45454545454545453|69
Inverted Hammer|Industry|REAL ESTATE|22|0.45454545454545453|237
Inverted Hammer|Industry|AIRCRAFT ENGINES & ENGINE PARTS|16|0.4375|112
Inverted Hammer|Industry|DRILLING OIL & GAS WELLS|14|0.42857142857142855|81
Inverted Hammer|Industry|SERVICES-COMPUTER PROCESSING & DATA PREPARATION|14|0.42857142857142855|185
Inverted Hammer|Industry|GENERAL INDUSTRIAL MACHINERY & EQUIPMENT|19|0.42105263157894735|88
Inverted Hammer|Industry|SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN|12|0.4166666666666667|113
Inverted Hammer|Industry|OIL & GAS FIELD SERVICES, NEC|22|0.4090909090909091|60
Inverted Hammer|Industry|MEASURING & CONTROLLING DEVICES, NEC|10|0.4|42
Inverted Hammer|Industry|STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)|15|0.4|48
Inverted Hammer|Industry|INDUSTRIAL INORGANIC CHEMICALS|10|0.4|82
Inverted Hammer|Industry|REAL ESTATE INVESTMENT TRUSTS|193|0.39378238341968913|185
Inverted Hammer|Industry|RAILROADS, LINE-HAUL OPERATING|13|0.38461538461538464|174
Inverted Hammer|Industry|RETAIL-AUTO DEALERS & GASOLINE STATIONS|19|0.3684210526315789|127
Inverted Hammer|Entity|NSPR|11|0.36363636363636365|8
Inverted Hammer|Entity|UG|11|0.36363636363636365|90
Inverted Hammer|Industry|RETAIL-MISCELLANEOUS RETAIL|11|0.36363636363636365|234
Inverted Hammer|Overall|All|6390|0.3589984350547731|167
Inverted Hammer|Entity|TWIN|14|0.35714285714285715|19
Inverted Hammer|Industry|SERVICES-COMPUTER PROGRAMMING SERVICES|12|0.3333333333333333|24
Inverted Hammer|Industry|WATER TRANSPORTATION|15|0.3333333333333333|45
Inverted Hammer|Industry|WATER, SEWER, PIPELINE, COMM & POWER LINE CONSTRUCTION|12|0.3333333333333333|56
Inverted Hammer|Industry|OIL & GAS FIELD MACHINERY & EQUIPMENT|12|0.3333333333333333|77
Inverted Hammer|Industry|INVESTMENT ADVICE|63|0.3333333333333333|81
Inverted Hammer|Industry|SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.|27|0.3333333333333333|91
Inverted Hammer|Industry|FINANCE SERVICES|12|0.3333333333333333|114
Inverted Hammer|Industry|MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS)|12|0.3333333333333333|141
Inverted Hammer|Industry|SECURITY BROKERS, DEALERS & FLOTATION COMPANIES|33|0.3333333333333333|315
Inverted Hammer|Industry|LIFE INSURANCE|22|0.3181818181818182|164
Inverted Hammer|Entity|SMDD|10|0.3|68
Inverted Hammer|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|177|0.2824858757062147|115
Inverted Hammer|Industry|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)|18|0.2777777777777778|17
Inverted Hammer|Industry|PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS|18|0.2777777777777778|98
Inverted Hammer|Industry|PIPE LINES (NO NATURAL GAS)|13|0.23076923076923078|33
Inverted Hammer|Entity|GSC|13|0.23076923076923078|155
Inverted Hammer|Entity|JHI|13|0.23076923076923078|322
Inverted Hammer|Industry|CRUDE PETROLEUM & NATURAL GAS|71|0.22535211267605634|31
Inverted Hammer|Industry|NATURAL GAS TRANSMISSION|18|0.2222222222222222|56
Inverted Hammer|Entity|SIF|11|0.18181818181818182|18
Inverted Hammer|Industry|PETROLEUM REFINING|43|0.16279069767441862|69
Inverted Hammer|Industry|BLANK CHECKS|10|0.1|117
Inverted Hammer|Entity|FMN|10|0.1|364
Inverted Hammer|Entity|GYLD|12|0.08333333333333333|243
Inverted Hammer|Entity|BKLN|14|0|0
Inverted Hammer|Entity|SHM|10|0|0
Inverted Hammer|Entity|ISHG|13|0|0
Inverted Hammer|Entity|SST|10|0|0
Inverted Hammer|Entity|EMCB|11|0|0
