Id|Signal Name|Result Direction|Count|Percentage|Description
04f492dc|Morning Doji Star|Down|73|0.5104895104895105|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
04f492dc|Morning Doji Star|Up|65|0.45454545454545453|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
04f492dc|Morning Doji Star||5|0.03496503496503497|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
0ef215ce|Morning Doji Star|Down|51|0.4594594594594595|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
0ef215ce|Morning Doji Star|Up|57|0.5135135135135135|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
0ef215ce|Morning Doji Star||3|0.02702702702702703|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
104dc6b7|Morning Doji Star|Down|22|0.55|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: True
104dc6b7|Morning Doji Star|Up|17|0.425|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: True
104dc6b7|Morning Doji Star||1|0.025|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: True
1a319065|Morning Doji Star|Down|64|0.48484848484848486|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: False
1a319065|Morning Doji Star|Up|65|0.49242424242424243|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: False
1a319065|Morning Doji Star||3|0.022727272727272728|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: False
1dd0434b|Morning Doji Star|Down|43|0.4725274725274725|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: True
1dd0434b|Morning Doji Star|Up|43|0.4725274725274725|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: True
1dd0434b|Morning Doji Star||5|0.054945054945054944|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: True
1fa215ad|Morning Doji Star|Down|107|0.4476987447698745|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: True
1fa215ad|Morning Doji Star|Up|125|0.5230125523012552|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: True
1fa215ad|Morning Doji Star||7|0.029288702928870293|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: True
2a517eb6|Morning Doji Star|Down|178|0.4823848238482385|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
2a517eb6|Morning Doji Star|Up|184|0.4986449864498645|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
2a517eb6|Morning Doji Star||7|0.018970189701897018|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
2bb6691d|Morning Doji Star|Down|42|0.49411764705882355|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: True
2bb6691d|Morning Doji Star|Up|41|0.4823529411764706|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: True
2bb6691d|Morning Doji Star||2|0.023529411764705882|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: True
63895df6|Morning Doji Star|Down|164|0.45429362880886426|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: True
63895df6|Morning Doji Star|Up|190|0.5263157894736842|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: True
63895df6|Morning Doji Star||7|0.019390581717451522|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: True
63bff3d2|Morning Doji Star|Down|64|0.48484848484848486|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
63bff3d2|Morning Doji Star|Up|65|0.49242424242424243|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
63bff3d2|Morning Doji Star||3|0.022727272727272728|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
643bc766|Morning Doji Star|Down|35|0.5384615384615384|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: True
643bc766|Morning Doji Star|Up|29|0.4461538461538462|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: True
643bc766|Morning Doji Star||1|0.015384615384615385|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: True
673d1187|Morning Doji Star|Down|112|0.42911877394636017|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
673d1187|Morning Doji Star|Up|141|0.5402298850574713|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
673d1187|Morning Doji Star||8|0.03065134099616858|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
6e5cc69d|Morning Doji Star|Down|318|0.437414030261348|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
6e5cc69d|Morning Doji Star|Up|396|0.5447042640990372|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
6e5cc69d|Morning Doji Star||13|0.017881705639614855|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
7024c89d|Morning Doji Star|Down|90|0.4787234042553192|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: True
7024c89d|Morning Doji Star|Up|92|0.48936170212765956|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: True
7024c89d|Morning Doji Star||6|0.031914893617021274|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: True
710bd978|Morning Doji Star|Down|351|0.45057766367137353|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
710bd978|Morning Doji Star|Up|416|0.5340179717586649|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
710bd978|Morning Doji Star||12|0.01540436456996149|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
739bd83f|Morning Doji Star|Down|126|0.4632352941176471|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
739bd83f|Morning Doji Star|Up|139|0.5110294117647058|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
739bd83f|Morning Doji Star||7|0.025735294117647058|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
76df9adf|Morning Doji Star|Down|566|0.45063694267515925|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: False
76df9adf|Morning Doji Star|Up|674|0.5366242038216561|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: False
76df9adf|Morning Doji Star||16|0.012738853503184714|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: False
783e0f08|Morning Doji Star|Down|182|0.4827586206896552|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: True
783e0f08|Morning Doji Star|Up|188|0.4986737400530504|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: True
783e0f08|Morning Doji Star||7|0.01856763925729443|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: True
78770b8f|Morning Doji Star|Down|31|0.5254237288135594|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
78770b8f|Morning Doji Star|Up|26|0.4406779661016949|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
78770b8f|Morning Doji Star||2|0.03389830508474576|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
7a3d686b|Morning Doji Star|Down|464|0.4496124031007752|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: False
7a3d686b|Morning Doji Star|Up|554|0.5368217054263565|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: False
7a3d686b|Morning Doji Star||14|0.013565891472868217|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: False
80c8de70|Morning Doji Star|Down|251|0.4700374531835206|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: True
80c8de70|Morning Doji Star|Up|274|0.5131086142322098|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: True
80c8de70|Morning Doji Star||9|0.016853932584269662|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: True
8bd88e32|Morning Doji Star|Down|87|0.44387755102040816|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: False
8bd88e32|Morning Doji Star|Up|102|0.5204081632653061|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: False
8bd88e32|Morning Doji Star||7|0.03571428571428571|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: False
9b00e71b|Morning Doji Star|Down|345|0.45039164490861616|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: False
9b00e71b|Morning Doji Star|Up|409|0.5339425587467362|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: False
9b00e71b|Morning Doji Star||12|0.015665796344647518|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: False
a5eb6d88|Morning Doji Star|Down|93|0.4492753623188406|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
a5eb6d88|Morning Doji Star|Up|109|0.5265700483091788|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
a5eb6d88|Morning Doji Star||5|0.024154589371980676|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
a6780828|Morning Doji Star|Down|126|0.46153846153846156|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: False
a6780828|Morning Doji Star|Up|140|0.5128205128205128|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: False
a6780828|Morning Doji Star||7|0.02564102564102564|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: False
bdcd18ca|Morning Doji Star|Down|237|0.43646408839779005|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
bdcd18ca|Morning Doji Star|Up|295|0.5432780847145487|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
bdcd18ca|Morning Doji Star||11|0.020257826887661142|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
bf81cde2|Morning Doji Star|Down|35|0.5384615384615384|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
bf81cde2|Morning Doji Star|Up|29|0.4461538461538462|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
bf81cde2|Morning Doji Star||1|0.015384615384615385|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
cf6e2edd|Morning Doji Star|Down|73|0.5140845070422535|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: True
cf6e2edd|Morning Doji Star|Up|64|0.4507042253521127|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: True
cf6e2edd|Morning Doji Star||5|0.035211267605633804|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: True
d11c6bbe|Morning Doji Star|Down|112|0.4628099173553719|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: True
d11c6bbe|Morning Doji Star|Up|124|0.512396694214876|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: True
d11c6bbe|Morning Doji Star||6|0.024793388429752067|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: True
d7bb43af|Morning Doji Star|Down|323|0.47016011644832606|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: True
d7bb43af|Morning Doji Star|Up|354|0.5152838427947598|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: True
d7bb43af|Morning Doji Star||10|0.01455604075691412|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: True
eb1e96d6|Morning Doji Star|Down|58|0.4793388429752066|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: False
eb1e96d6|Morning Doji Star|Up|59|0.48760330578512395|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: False
eb1e96d6|Morning Doji Star||4|0.03305785123966942|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: False
ebc99839|Morning Doji Star|Down|79|0.47023809523809523|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: False
ebc99839|Morning Doji Star|Up|85|0.5059523809523809|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: False
ebc99839|Morning Doji Star||4|0.023809523809523808|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: False
ed01c3d3|Morning Doji Star|Down|185|0.42528735632183906|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: False
ed01c3d3|Morning Doji Star|Up|241|0.5540229885057472|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: False
ed01c3d3|Morning Doji Star||9|0.020689655172413793|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: False
ee0bd1d1|Morning Doji Star|Down|157|0.44857142857142857|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
ee0bd1d1|Morning Doji Star|Up|185|0.5285714285714286|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
ee0bd1d1|Morning Doji Star||8|0.022857142857142857|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
f083b403|Morning Doji Star|Down|46|0.48936170212765956|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
f083b403|Morning Doji Star|Up|45|0.4787234042553192|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
f083b403|Morning Doji Star||3|0.031914893617021274|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
fa6ba4e6|Morning Doji Star|Down|58|0.4566929133858268|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
fa6ba4e6|Morning Doji Star|Up|63|0.49606299212598426|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
fa6ba4e6|Morning Doji Star||6|0.047244094488188976|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
