Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Morning Doji Star|APEI|SERVICES-EDUCATIONAL SERVICES||10/13/2014|Close|26.9800|11/7/2014|High|35.8500|5/12/2015|Low|21.3000|Up|19|25
Morning Doji Star|AZN|||5/8/2015|Close|34.9600||||3/22/2016|Low|27.6800|Down|227|319
Morning Doji Star|BERY|PLASTICS PRODUCTS, NEC||8/13/2015|Close|31.5900|5/10/2016|High|38.0000||||Up|193|271
Morning Doji Star|BNDX|||11/15/2016|Close|54.5300|||||||||
Morning Doji Star|BRKR|LABORATORY ANALYTICAL INSTRUMENTS||2/10/2016|Close|21.7100|2/26/2016|High|26.1700||||Up|12|16
Morning Doji Star|CpN|NATIONAL COMMERCIAL BANKS||9/30/2014|Close|26.9200|||||||||
Morning Doji Star|DBEU|||2/12/2016|Close|22.7500|||||||||
Morning Doji Star|DLR|REAL ESTATE INVESTMENT TRUSTS||8/26/2016|Close|99.4600|||||||||
Morning Doji Star|DVYE|||12/17/2014|Close|41.4400||||8/21/2015|Low|32.6327|Down|177|247
Morning Doji Star|EBAY|SERVICES-BUSINESS SERVICES, NEC||1/22/2015|Close|57.1450||||7/20/2015|Low|26.5899|Down|127|179
Morning Doji Star|ECON|||6/10/2015|Close|26.0800||||8/24/2015|Low|20.0000|Down|53|75
Morning Doji Star|EDF|||3/18/2015|Close|15.4000||||8/24/2015|Low|12.2300|Down|113|159
Morning Doji Star|EPS|||12/17/2014|Close|70.4301||||8/24/2015|Low|44.7800|Down|178|250
Morning Doji Star|FDP|||7/28/2015|Close|40.0800|5/5/2016|High|48.3200||||Up|202|282
Morning Doji Star|FEMS|||11/7/2016|Close|32.1600|||||||||
Morning Doji Star|FEZ|||6/10/2015|Close|39.6700||||1/15/2016|Low|31.0800|Down|157|219
Morning Doji Star|FORR|SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT||1/13/2015|Close|37.0500||||10/2/2015|Low|29.5800|Down|188|262
Morning Doji Star|FTLS|||5/20/2016|Close|31.2800|||||||||
Morning Doji Star|GRID|||10/16/2014|Close|32.6500|9/6/2016|High|39.6900||||Up|493|691
Morning Doji Star|IAT|||12/17/2014|Close|34.1800|11/14/2016|High|42.4100|8/24/2015|Low|26.8900|Down|178|250
Morning Doji Star|KIO|||5/27/2015|Close|16.2900||||1/15/2016|Low|12.9100|Down|167|233
Morning Doji Star|LVS|HOTELS & MOTELS||6/30/2015|Close|52.5700|11/28/2016|High|63.3800|8/24/2015|Low|40.0000|Down|39|55
Morning Doji Star|MC|INVESTMENT ADVICE||7/30/2015|Close|29.3900||||1/20/2016|Low|22.9100|Down|124|174
Morning Doji Star|MLAB|INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL||12/8/2015|Close|107.0900|6/7/2016|High|130.5900|1/8/2016|Low|84.1200|Down|23|31
Morning Doji Star|OEF|||10/3/2014|Close|87.9400|||||||||
Morning Doji Star|PCY|||10/1/2014|Close|28.5600|||||||||
Morning Doji Star|PIZ|||9/30/2015|Close|22.4600|||||||||
Morning Doji Star|PUI|||2/18/2015|Close|23.4400|7/6/2016|High|28.1600||||Up|360|504
Morning Doji Star|QGEN|||6/10/2015|Close|24.9700||||6/27/2016|Low|19.9400|Down|273|383
Morning Doji Star|QQXT|||9/15/2016|Close|40.0500|||||||||
Morning Doji Star|RBC|BALL & ROLLER BEARINGS||7/28/2015|Close|66.8100||||1/13/2016|Low|52.9200|Down|121|169
Morning Doji Star|SPH|RETAIL-MISCELLANEOUS RETAIL||8/7/2015|Close|37.0100||||12/1/2015|Low|28.6814|Down|82|116
Morning Doji Star|TECH|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)||10/31/2016|Close|103.9900|||||||||
Morning Doji Star|TVE|ELECTRIC SERVICES||9/2/2016|Close|25.6200|||||||||
Morning Doji Star|URTH|||11/7/2016|Close|71.2300|||||||||
Morning Doji Star|UYG|||11/7/2016|Close|73.3000|12/1/2016|High|87.9700||||Up|18|24
Morning Doji Star|VO|||12/15/2015|Close|119.8800|||||||||
Morning Doji Star|WMS|PLASTICS FOAM PRODUCTS||8/23/2016|Close|24.9000||||10/26/2016|Low|19.6500|Down|46|64
Morning Doji Star|ZSL|COMMODITY CONTRACTS BROKERS & DEALERS||5/19/2015|Close|46.2318|6/30/2015|High|56.0000|4/29/2016|Low|35.7611|Up|30|42
