Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Morning Doji Star|AAL.US|Airlines|Industrials|8/4/2020|Close|11.4700|8/5/2020|High|12.8500||||Up|1|1
Morning Doji Star|AAPL.US|Consumer Electronics|Technology|5/26/1999|Close|0.3934|6/7/1999|High|0.4375|10/11/2000|Low|0.3415|Up|8|12
Morning Doji Star|AAPL.US|Consumer Electronics|Technology|8/17/2010|Close|8.9989|9/17/2010|High|9.9271||||Up|23|31
Morning Doji Star|ABBV.US|Drug Manufacturers - General|Healthcare|10/18/2016|Close|61.5500|6/5/2017|High|67.8600|10/28/2016|Low|55.0623|Down|8|10
Morning Doji Star|ABG.US|Auto & Truck Dealerships|Consumer Cyclical|4/6/2022|Close|156.7800|4/28/2022|High|176.8000|9/29/2022|Low|140.7000|Up|16|22
Morning Doji Star|ABM.US|Specialty Business Services|Industrials|2/6/2009|Close|15.0500|3/19/2009|High|16.5600|2/11/2009|Low|13.3200|Down|3|5
Morning Doji Star|ABM.US|Specialty Business Services|Industrials|5/26/2010|Close|20.8400|6/21/2010|High|23.0000|8/24/2010|Low|18.7100|Up|18|26
Morning Doji Star|ACAD.US|Biotechnology|Healthcare|5/6/2021|Close|20.9500|6/3/2021|High|23.7500|8/10/2021|Low|18.2300|Up|20|28
Morning Doji Star|ACI.US|Grocery Stores|Consumer Defensive|4/28/2022|Close|32.1300||||5/18/2022|Low|26.9700|Down|14|20
Morning Doji Star|ACLS.US|Semiconductor Equipment & Materials|Technology|1/30/2014|Close|9.6000|2/6/2015|High|11.7600|2/5/2014|Low|8.6000|Down|4|6
Morning Doji Star|ACLX.US|Biotechnology|Healthcare|6/30/2023|Close|31.6200|7/17/2023|High|34.8700||||Up|11|17
Morning Doji Star|ADM.US|Farm Products|Consumer Defensive|2/21/1997|Close|14.8870|6/5/1997|High|16.6499|4/3/1997|Low|13.3199|Down|29|41
Morning Doji Star|ADM.US|Farm Products|Consumer Defensive|12/15/2015|Close|34.8600|3/17/2016|High|38.7600|1/15/2016|Low|31.1600|Down|23|31
Morning Doji Star|ADNT.US|Auto Parts|Consumer Cyclical|9/28/2020|Close|17.1600|10/1/2020|High|19.5800||||Up|3|3
Morning Doji Star|ADSK.US|Software - Application|Technology|5/16/2016|Close|59.0800|8/26/2016|High|69.2100|6/27/2016|Low|49.8200|Down|30|42
Morning Doji Star|ADTN.US|Communication Equipment|Technology|3/18/2008|Close|18.7600|4/15/2008|High|21.2300|10/10/2008|Low|16.4900|Up|20|28
Morning Doji Star|AEL.US|Insurance - Life|Financial Services|1/4/2018|Close|31.5700|1/22/2018|High|34.8357|4/2/2018|Low|28.2000|Up|12|18
Morning Doji Star|AEM.US|Gold|Basic Materials|1/27/2000|Close|6.9375|2/7/2000|High|7.9375|2/1/2000|Low|5.8750|Down|3|5
Morning Doji Star|AGGY.US|||11/4/2020|Close|53.7200||||3/11/2022|Low|48.3000|Down|352|492
Morning Doji Star|AGO.US|Insurance - Specialty|Financial Services|5/18/2016|Close|25.6000|10/5/2016|High|28.4300|3/18/2020|Low|13.6400|Up|100|140
Morning Doji Star|AGR.US|Utilities - Regulated Electric|Utilities|6/13/2011|Close|31.7300|12/1/2011|High|35.1300|10/2/2023|Low|27.9100|Up|123|171
Morning Doji Star|AIG.US|Insurance - Diversified|Financial Services|5/11/2011|Close|30.6500|4/26/2012|High|33.9600|5/25/2011|Low|27.5000|Down|10|14
Morning Doji Star|AIG.US|Insurance - Diversified|Financial Services|11/16/2015|Close|60.6600|12/14/2016|High|67.0000|1/20/2016|Low|53.4900|Down|47|65
Morning Doji Star|AIN.US|Textile Manufacturing|Consumer Cyclical|9/29/1995|Close|22.2442|7/25/1997|High|24.8613|10/24/1995|Low|19.7463|Down|17|25
Morning Doji Star|AIN.US|Textile Manufacturing|Consumer Cyclical|7/17/2002|Close|24.0900|5/30/2003|High|26.6500|7/22/2002|Low|21.5300|Down|3|5
Morning Doji Star|AIR.US|Aerospace & Defense|Industrials|2/28/1996|Close|13.3333|5/14/1996|High|15.0000|7/16/1996|Low|11.8333|Up|54|76
Morning Doji Star|AIR.US|Aerospace & Defense|Industrials|5/1/2006|Close|28.1500|2/14/2007|High|31.4800|5/12/2006|Low|24.5300|Down|9|11
Morning Doji Star|AJG.US|Insurance Brokers|Financial Services|5/13/2022|Close|162.0200|7/29/2022|High|184.8800||||Up|55|77
Morning Doji Star|ALE.US|Utilities - Diversified|Utilities|1/26/1994|Close|46.1250|8/21/1997|High|50.8125|5/10/1994|Low|40.8750|Down|74|104
Morning Doji Star|ALEX.US|REIT - Retail|Real Estate|5/23/2018|Close|21.6600|7/2/2018|High|23.9700|10/25/2018|Low|19.4200|Up|28|40
Morning Doji Star|ALEX.US|REIT - Retail|Real Estate|12/17/2018|Close|19.2700|1/14/2019|High|21.4900|3/5/2020|Low|17.1400|Up|20|28
Morning Doji Star|ALGT.US|Airlines|Industrials|4/26/2018|Close|157.2500|10/29/2019|High|173.0000|6/25/2018|Low|140.9500|Down|42|60
Morning Doji Star|ALKS.US|Drug Manufacturers - Specialty & Generic|Healthcare|2/28/2012|Close|17.5900|7/27/2012|High|19.9900|5/24/2012|Low|15.7100|Down|62|86
Morning Doji Star|ALK.US|Airlines|Industrials|10/13/1992|Close|3.9375|11/6/1992|High|4.3750|7/9/1993|Low|3.5000|Up|18|24
Morning Doji Star|ALK.US|Airlines|Industrials|1/7/2008|Close|5.9525|2/1/2008|High|6.7450|1/9/2008|Low|5.2775|Down|2|2
Morning Doji Star|ALK.US|Airlines|Industrials|6/7/2013|Close|28.7050|8/1/2013|High|31.6250|6/21/2013|Low|25.4800|Down|10|14
Morning Doji Star|ALLE.US|Security & Protection Services|Industrials|6/21/2021|Close|137.7700||||11/30/2021|Low|123.2300|Down|116|162
Morning Doji Star|ALL.US|Insurance - Property & Casualty|Financial Services|6/15/2021|Close|132.1100|1/3/2024|High|145.4500|11/4/2021|Low|115.1800|Down|102|142
Morning Doji Star|AL.US|Rental & Leasing Services|Industrials|10/5/2011|Close|18.6000|10/19/2011|High|20.9500|3/17/2020|Low|15.6200|Up|10|14
Morning Doji Star|ALX.US|REIT - Retail|Real Estate|10/18/2005|Close|239.7500|12/2/2005|High|264.7000|11/20/2008|Low|182.1400|Up|33|45
Morning Doji Star|ALX.US|REIT - Retail|Real Estate|5/18/2020|Close|241.6900|5/27/2020|High|269.4200|6/14/2022|Low|216.5000|Up|7|9
