Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Morning Doji Star|Sector|Healthcare|19|0.7894736842105263|46
Morning Doji Star|Sector|Real Estate|19|0.6842105263157895|38
Morning Doji Star|Sector|Technology|15|0.6666666666666666|22
Morning Doji Star|Sector|Consumer Cyclical|24|0.6666666666666666|25
Morning Doji Star|Industry|Banks - Regional|16|0.625|60
Morning Doji Star|Sector|Industrials|32|0.5625|27
Morning Doji Star|Sector|Financial Services|36|0.5555555555555556|52
Morning Doji Star|Overall|All|543|0.5432780847145487|55
Morning Doji Star|Sector|Energy|12|0.5|48
Morning Doji Star|Sector|Consumer Defensive|16|0.4375|62
