Id|Signal Name|Result Direction|Count|Percentage|Description
078e7aa7|Piercing Pattern With FollowThru|Down|3383|0.4944460684010523|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
078e7aa7|Piercing Pattern With FollowThru|Up|3348|0.4893306050862321|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
078e7aa7|Piercing Pattern With FollowThru||111|0.01622332651271558|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
0a0a0166|Piercing Pattern With FollowThru|Down|2582|0.49893719806763287|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: False
0a0a0166|Piercing Pattern With FollowThru|Up|2500|0.4830917874396135|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: False
0a0a0166|Piercing Pattern With FollowThru||93|0.017971014492753623|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: False
0b6549f9|Piercing Pattern With FollowThru|Down|1215|0.504149377593361|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
0b6549f9|Piercing Pattern With FollowThru|Up|1137|0.4717842323651452|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
0b6549f9|Piercing Pattern With FollowThru||58|0.024066390041493777|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
124485ac|Piercing Pattern With FollowThru|Down|839|0.522090852520224|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: True
124485ac|Piercing Pattern With FollowThru|Up|726|0.4517734909769757|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: True
124485ac|Piercing Pattern With FollowThru||42|0.02613565650280025|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: True
13c5f65a|Piercing Pattern With FollowThru|Down|2071|0.4860361417507627|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
13c5f65a|Piercing Pattern With FollowThru|Up|2087|0.4897911288429946|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
13c5f65a|Piercing Pattern With FollowThru||103|0.024172729406242665|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
274b8f1f|Piercing Pattern With FollowThru|Down|1180|0.502127659574468|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: True
274b8f1f|Piercing Pattern With FollowThru|Up|1112|0.47319148936170213|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: True
274b8f1f|Piercing Pattern With FollowThru||58|0.02468085106382979|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: True
32dd04b0|Piercing Pattern With FollowThru|Down|3322|0.49309781801989017|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: False
32dd04b0|Piercing Pattern With FollowThru|Up|3304|0.4904260056404928|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: False
32dd04b0|Piercing Pattern With FollowThru||111|0.01647617633961704|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: False
33eb887b|Piercing Pattern With FollowThru|Down|5008|0.49320464841441797|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: False
33eb887b|Piercing Pattern With FollowThru|Up|4983|0.49074256450659837|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: False
33eb887b|Piercing Pattern With FollowThru||163|0.016052787078983652|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: False
3c0e276e|Piercing Pattern With FollowThru|Down|3360|0.5062528250715684|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: False
3c0e276e|Piercing Pattern With FollowThru|Up|3165|0.47687208075937926|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: False
3c0e276e|Piercing Pattern With FollowThru||112|0.016875094169052283|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: False
4b27c53d|Piercing Pattern With FollowThru|Down|1616|0.4986115396482567|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: True
4b27c53d|Piercing Pattern With FollowThru|Up|1542|0.4757790805307004|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: True
4b27c53d|Piercing Pattern With FollowThru||83|0.025609379821042888|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: True
5ce6f8af|Piercing Pattern With FollowThru|Down|3360|0.5062528250715684|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
5ce6f8af|Piercing Pattern With FollowThru|Up|3165|0.47687208075937926|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
5ce6f8af|Piercing Pattern With FollowThru||112|0.016875094169052283|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
6259c9d3|Piercing Pattern With FollowThru|Down|2582|0.49893719806763287|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
6259c9d3|Piercing Pattern With FollowThru|Up|2500|0.4830917874396135|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
6259c9d3|Piercing Pattern With FollowThru||93|0.017971014492753623|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
729fd9a7|Piercing Pattern With FollowThru|Down|5008|0.49320464841441797|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
729fd9a7|Piercing Pattern With FollowThru|Up|4983|0.49074256450659837|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
