Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Piercing Pattern With FollowThru|Industry|Internet Content & Information|10|0.9|16
Piercing Pattern With FollowThru|Industry|Specialty Business Services|15|0.8|36
Piercing Pattern With FollowThru|Industry|REIT - Mortgage|10|0.8|52
Piercing Pattern With FollowThru|Industry|Internet Retail|13|0.7692307692307693|22
Piercing Pattern With FollowThru|Industry|Integrated Freight & Logistics|10|0.7|23
Piercing Pattern With FollowThru|Industry|Auto Parts|12|0.6666666666666666|20
Piercing Pattern With FollowThru|Industry|Auto & Truck Dealerships|10|0.6|10
Piercing Pattern With FollowThru|Industry|Asset Management|52|0.5961538461538461|80
Piercing Pattern With FollowThru|Industry|Medical Devices|27|0.5925925925925926|29
Piercing Pattern With FollowThru|Industry|Software - Application|46|0.5869565217391305|16
Piercing Pattern With FollowThru|Industry|Diagnostics & Research|28|0.5714285714285714|16
Piercing Pattern With FollowThru|Industry|Communication Equipment|23|0.5652173913043478|8
Piercing Pattern With FollowThru|Industry|Engineering & Construction|16|0.5625|31
Piercing Pattern With FollowThru|Industry|Specialty Chemicals|29|0.5517241379310345|29
Piercing Pattern With FollowThru|Industry|Electrical Equipment & Parts|11|0.5454545454545454|26
Piercing Pattern With FollowThru|Industry|Electronic Components|11|0.5454545454545454|43
Piercing Pattern With FollowThru|Industry|Packaging & Containers|11|0.5454545454545454|58
Piercing Pattern With FollowThru|Sector|Communication Services|50|0.54|32
Piercing Pattern With FollowThru|Industry|Insurance - Specialty|13|0.5384615384615384|18
Piercing Pattern With FollowThru|Sector|Consumer Cyclical|209|0.5311004784688995|28
Piercing Pattern With FollowThru|Industry|Biotechnology|83|0.5301204819277109|12
Piercing Pattern With FollowThru|Industry|Drug Manufacturers - Specialty & Generic|23|0.5217391304347826|9
Piercing Pattern With FollowThru|Industry|Software - Infrastructure|27|0.5185185185185185|10
Piercing Pattern With FollowThru|Sector|Healthcare|216|0.5138888888888888|18
Piercing Pattern With FollowThru|Sector|Technology|162|0.5123456790123457|18
Piercing Pattern With FollowThru|Industry|REIT - Industrial|10|0.5|16
Piercing Pattern With FollowThru|Industry|Apparel Retail|16|0.5|23
Piercing Pattern With FollowThru|Industry|Information Technology Services|20|0.5|23
Piercing Pattern With FollowThru|Industry|Farm Products|18|0.5|25
Piercing Pattern With FollowThru|Industry|REIT - Office|16|0.5|27
Piercing Pattern With FollowThru|Industry|Restaurants|24|0.5|30
Piercing Pattern With FollowThru|Industry|Furnishings, Fixtures & Appliances|12|0.5|34
Piercing Pattern With FollowThru|Industry|REIT - Retail|14|0.5|48
Piercing Pattern With FollowThru|Overall|All|5175|0.49893719806763287|64
Piercing Pattern With FollowThru|Sector|Industrials|232|0.4956896551724138|30
Piercing Pattern With FollowThru|Sector|Basic Materials|65|0.49230769230769234|32
Piercing Pattern With FollowThru|Sector|Real Estate|104|0.49038461538461536|42
Piercing Pattern With FollowThru|Industry|Packaged Foods|21|0.47619047619047616|24
Piercing Pattern With FollowThru|Industry|Credit Services|21|0.47619047619047616|34
Piercing Pattern With FollowThru|Industry|Specialty Industrial Machinery|41|0.4634146341463415|37
Piercing Pattern With FollowThru|Industry|Telecom Services|13|0.46153846153846156|87
Piercing Pattern With FollowThru|Industry|Real Estate Services|11|0.45454545454545453|10
Piercing Pattern With FollowThru|Industry|Consulting Services|22|0.45454545454545453|23
Piercing Pattern With FollowThru|Industry|Residential Construction|11|0.45454545454545453|29
Piercing Pattern With FollowThru|Industry|Rental & Leasing Services|11|0.45454545454545453|30
Piercing Pattern With FollowThru|Sector|Consumer Defensive|84|0.4523809523809524|29
Piercing Pattern With FollowThru|Industry|Insurance - Property & Casualty|27|0.4444444444444444|27
Piercing Pattern With FollowThru|Industry|Banks - Regional|137|0.43795620437956206|50
Piercing Pattern With FollowThru|Sector|Financial Services|311|0.43729903536977494|51
Piercing Pattern With FollowThru|Industry|Entertainment|14|0.42857142857142855|12
Piercing Pattern With FollowThru|Industry|Medical Care Facilities|12|0.4166666666666667|19
Piercing Pattern With FollowThru|Industry|Oil & Gas Equipment & Services|17|0.4117647058823529|14
Piercing Pattern With FollowThru|Industry|Discount Stores|10|0.4|43
Piercing Pattern With FollowThru|Industry|Oil & Gas Midstream|10|0.4|72
Piercing Pattern With FollowThru|Industry|Oil & Gas Refining & Marketing|10|0.4|79
Piercing Pattern With FollowThru|Industry|Specialty Retail|23|0.391304347826087|21
Piercing Pattern With FollowThru|Industry|Oil & Gas Integrated|16|0.375|47
Piercing Pattern With FollowThru|Industry|REIT - Residential|16|0.375|82
Piercing Pattern With FollowThru|Sector|Energy|95|0.3684210526315789|44
Piercing Pattern With FollowThru|Industry|Oil & Gas E&P|35|0.34285714285714286|45
Piercing Pattern With FollowThru|Sector|Utilities|44|0.3181818181818182|75
Piercing Pattern With FollowThru|Industry|Banks - Diversified|19|0.3157894736842105|40
Piercing Pattern With FollowThru|Industry|Semiconductors|13|0.3076923076923077|11
Piercing Pattern With FollowThru|Industry|Utilities - Regulated Electric|24|0.2916666666666667|97
Piercing Pattern With FollowThru|Industry|Medical Instruments & Supplies|23|0.2608695652173913|50
Piercing Pattern With FollowThru|Industry|Aerospace & Defense|16|0.25|48
Piercing Pattern With FollowThru|Industry|Farm & Heavy Construction Machinery|13|0.23076923076923078|18
Piercing Pattern With FollowThru|Industry|Insurance Brokers|13|0.23076923076923078|24
Piercing Pattern With FollowThru|Industry|Recreational Vehicles|11|0.18181818181818182|86
