Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Piercing Pattern With FollowThru|Industry|Recreational Vehicles|11|0.8181818181818182|32
Piercing Pattern With FollowThru|Industry|Farm & Heavy Construction Machinery|13|0.7692307692307693|37
Piercing Pattern With FollowThru|Industry|Insurance Brokers|13|0.7692307692307693|88
Piercing Pattern With FollowThru|Industry|Aerospace & Defense|16|0.75|37
Piercing Pattern With FollowThru|Industry|Medical Instruments & Supplies|23|0.7391304347826086|32
Piercing Pattern With FollowThru|Industry|Semiconductors|13|0.6923076923076923|23
Piercing Pattern With FollowThru|Industry|Banks - Diversified|19|0.6842105263157895|39
Piercing Pattern With FollowThru|Industry|Utilities - Regulated Electric|24|0.6666666666666666|86
Piercing Pattern With FollowThru|Sector|Utilities|44|0.6590909090909091|73
Piercing Pattern With FollowThru|Industry|Oil & Gas E&P|35|0.6571428571428571|27
Piercing Pattern With FollowThru|Sector|Energy|95|0.631578947368421|27
Piercing Pattern With FollowThru|Industry|Oil & Gas Integrated|16|0.625|61
Piercing Pattern With FollowThru|Industry|Specialty Retail|23|0.6086956521739131|29
Piercing Pattern With FollowThru|Industry|Oil & Gas Refining & Marketing|10|0.6|5
Piercing Pattern With FollowThru|Industry|Oil & Gas Midstream|10|0.6|21
Piercing Pattern With FollowThru|Industry|Discount Stores|10|0.6|24
Piercing Pattern With FollowThru|Industry|Oil & Gas Equipment & Services|17|0.5882352941176471|9
Piercing Pattern With FollowThru|Industry|Medical Care Facilities|12|0.5833333333333334|21
Piercing Pattern With FollowThru|Industry|Entertainment|14|0.5714285714285714|16
Piercing Pattern With FollowThru|Industry|REIT - Residential|16|0.5625|31
Piercing Pattern With FollowThru|Industry|Insurance - Property & Casualty|27|0.5555555555555556|48
Piercing Pattern With FollowThru|Industry|Banks - Regional|137|0.5547445255474452|43
Piercing Pattern With FollowThru|Sector|Financial Services|311|0.5498392282958199|46
Piercing Pattern With FollowThru|Sector|Consumer Defensive|84|0.5476190476190477|48
Piercing Pattern With FollowThru|Industry|Residential Construction|11|0.5454545454545454|13
Piercing Pattern With FollowThru|Industry|Rental & Leasing Services|11|0.5454545454545454|13
Piercing Pattern With FollowThru|Industry|Consulting Services|22|0.5454545454545454|42
Piercing Pattern With FollowThru|Industry|Real Estate Services|11|0.5454545454545454|44
Piercing Pattern With FollowThru|Industry|Telecom Services|13|0.5384615384615384|25
Piercing Pattern With FollowThru|Industry|Specialty Industrial Machinery|41|0.5365853658536586|35
Piercing Pattern With FollowThru|Industry|Credit Services|21|0.5238095238095238|33
Piercing Pattern With FollowThru|Industry|Packaged Foods|21|0.5238095238095238|36
Piercing Pattern With FollowThru|Sector|Basic Materials|65|0.5076923076923077|30
Piercing Pattern With FollowThru|Sector|Industrials|232|0.5043103448275862|27
Piercing Pattern With FollowThru|Industry|Furnishings, Fixtures & Appliances|12|0.5|9
Piercing Pattern With FollowThru|Industry|Apparel Retail|16|0.5|17
Piercing Pattern With FollowThru|Industry|Farm Products|18|0.5|18
Piercing Pattern With FollowThru|Industry|REIT - Industrial|10|0.5|27
Piercing Pattern With FollowThru|Industry|REIT - Retail|14|0.5|38
Piercing Pattern With FollowThru|Industry|Restaurants|24|0.5|44
Piercing Pattern With FollowThru|Industry|Information Technology Services|20|0.5|64
Piercing Pattern With FollowThru|Sector|Real Estate|104|0.49038461538461536|35
Piercing Pattern With FollowThru|Sector|Healthcare|216|0.4861111111111111|18
Piercing Pattern With FollowThru|Overall|All|5175|0.4830917874396135|54
Piercing Pattern With FollowThru|Sector|Technology|162|0.48148148148148145|32
Piercing Pattern With FollowThru|Industry|Software - Infrastructure|27|0.48148148148148145|50
Piercing Pattern With FollowThru|Industry|Drug Manufacturers - Specialty & Generic|23|0.4782608695652174|8
Piercing Pattern With FollowThru|Industry|Biotechnology|83|0.46987951807228917|8
Piercing Pattern With FollowThru|Sector|Consumer Cyclical|209|0.4688995215311005|26
Piercing Pattern With FollowThru|Sector|Communication Services|50|0.46|18
Piercing Pattern With FollowThru|Industry|Electrical Equipment & Parts|11|0.45454545454545453|11
Piercing Pattern With FollowThru|Industry|Electronic Components|11|0.45454545454545453|18
Piercing Pattern With FollowThru|Industry|Packaging & Containers|11|0.45454545454545453|32
Piercing Pattern With FollowThru|Industry|Specialty Chemicals|29|0.4482758620689655|45
Piercing Pattern With FollowThru|Industry|Engineering & Construction|16|0.4375|14
Piercing Pattern With FollowThru|Industry|REIT - Office|16|0.4375|43
Piercing Pattern With FollowThru|Industry|Diagnostics & Research|28|0.42857142857142855|27
Piercing Pattern With FollowThru|Industry|Software - Application|46|0.41304347826086957|27
Piercing Pattern With FollowThru|Industry|Medical Devices|27|0.4074074074074074|18
Piercing Pattern With FollowThru|Industry|Auto & Truck Dealerships|10|0.4|22
Piercing Pattern With FollowThru|Industry|Communication Equipment|23|0.391304347826087|24
Piercing Pattern With FollowThru|Industry|Insurance - Specialty|13|0.38461538461538464|69
Piercing Pattern With FollowThru|Industry|Asset Management|52|0.36538461538461536|51
Piercing Pattern With FollowThru|Industry|Auto Parts|12|0.3333333333333333|50
Piercing Pattern With FollowThru|Industry|Integrated Freight & Logistics|10|0.3|8
Piercing Pattern With FollowThru|Industry|Internet Retail|13|0.23076923076923078|24
Piercing Pattern With FollowThru|Industry|REIT - Mortgage|10|0.2|32
Piercing Pattern With FollowThru|Industry|Specialty Business Services|15|0.2|52
Piercing Pattern With FollowThru|Industry|Internet Content & Information|10|0.1|6
