Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Piercing Pattern With FollowThru|AAP.US|Specialty Retail|Consumer Cyclical|10/6/2009|Close|38.6000|2/10/2010|High|42.8500||||Up|91|127
Piercing Pattern With FollowThru|ABBV.US|Drug Manufacturers - General|Healthcare|3/11/2015|Close|56.6200|4/10/2015|High|62.3300|10/22/2015|Low|45.4500|Up|22|30
Piercing Pattern With FollowThru|ABCB.US|Banks - Regional|Financial Services|11/11/2010|Close|9.5000|12/15/2010|High|10.4800|6/3/2011|Low|8.5400|Up|24|34
Piercing Pattern With FollowThru|ABEO.US|Biotechnology|Healthcare|8/22/2000|Close|18750.0000|8/23/2000|High|21484.3750|2/20/2001|Low|13437.5000|Up|1|1
Piercing Pattern With FollowThru|ABG.US|Auto & Truck Dealerships|Consumer Cyclical|4/6/2016|Close|56.4400|4/26/2016|High|63.8900|7/5/2016|Low|50.1300|Up|14|20
Piercing Pattern With FollowThru|ABG.US|Auto & Truck Dealerships|Consumer Cyclical|8/21/2017|Close|50.8500|9/8/2017|High|56.1500|3/16/2020|Low|42.6200|Up|14|18
Piercing Pattern With FollowThru|ABM.US|Specialty Business Services|Industrials|2/6/2006|Close|19.2100|12/13/2006|High|22.7900|3/13/2006|Low|16.8600|Down|25|35
Piercing Pattern With FollowThru|ABM.US|Specialty Business Services|Industrials|2/27/2006|Close|18.8100|11/16/2006|High|20.8000|3/13/2006|Low|16.8600|Down|10|14
Piercing Pattern With FollowThru|ABTS.US|Capital Markets|Financial Services|1/3/2017|Close|16.0000|5/23/2017|High|17.7000|3/29/2017|Low|12.6500|Down|61|85
Piercing Pattern With FollowThru|ACB.US|Drug Manufacturers - Specialty & Generic|Healthcare|1/14/2020|Close|214.8000|1/15/2020|High|250.8000|2/10/2020|Low|186.0000|Up|1|1
Piercing Pattern With FollowThru|ACM.US|Engineering & Construction|Industrials|5/30/2018|Close|33.4500|6/20/2019|High|37.5800|10/24/2018|Low|29.9400|Down|105|147
Piercing Pattern With FollowThru|ACNB.US|Banks - Regional|Financial Services|12/16/2005|Close|18.0045|5/12/2006|High|19.9093|8/16/2007|Low|15.9524|Up|105|147
Piercing Pattern With FollowThru|ACN.US|Information Technology Services|Technology|2/16/2005|Close|25.0500|11/17/2005|High|28.2300|4/15/2005|Low|22.4600|Down|42|58
Piercing Pattern With FollowThru|ACOR.US|Drug Manufacturers - Specialty & Generic|Healthcare|5/12/2014|Close|3680.4000|5/28/2014|High|4068.0000|9/25/2015|Low|3247.2000|Up|12|16
Piercing Pattern With FollowThru|ACR.US|REIT - Mortgage|Real Estate|10/23/2007|Close|129.8400||||11/2/2007|Low|106.5600|Down|8|10
Piercing Pattern With FollowThru|ACRX.US|Drug Manufacturers - Specialty & Generic|Healthcare|6/16/2020|Close|28.6000|9/18/2020|High|33.0000|6/24/2020|Low|25.2000|Down|6|8
Piercing Pattern With FollowThru|ACST.US|Biotechnology|Healthcare|4/26/2017|Close|61.4400|6/14/2017|High|72.3264|12/21/2017|Low|40.3200|Up|35|49
Piercing Pattern With FollowThru|ADIL.US|Biotechnology|Healthcare|12/14/2022|Close|5.9375|12/19/2022|High|7.0000|12/16/2022|Low|5.3150|Down|2|2
Piercing Pattern With FollowThru|ADM.US|Farm Products|Consumer Defensive|2/1/2023|Close|83.3700||||3/17/2023|Low|73.9800|Down|32|44
