Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Piercing Pattern With FollowThru|Industry|Internet Content & Information|10|0.8|10
Piercing Pattern With FollowThru|Industry|Electrical Equipment & Parts|19|0.6842105263157895|19
Piercing Pattern With FollowThru|Industry|Auto & Truck Dealerships|11|0.6363636363636364|12
Piercing Pattern With FollowThru|Industry|Integrated Freight & Logistics|13|0.6153846153846154|22
Piercing Pattern With FollowThru|Industry|REIT - Office|13|0.6153846153846154|24
Piercing Pattern With FollowThru|Industry|Conglomerates|13|0.6153846153846154|51
Piercing Pattern With FollowThru|Industry|Specialty Business Services|18|0.6111111111111112|34
Piercing Pattern With FollowThru|Industry|Capital Markets|10|0.6|14
Piercing Pattern With FollowThru|Industry|Internet Retail|20|0.6|16
Piercing Pattern With FollowThru|Industry|Software - Application|72|0.5972222222222222|16
Piercing Pattern With FollowThru|Industry|Building Products & Equipment|12|0.5833333333333334|24
Piercing Pattern With FollowThru|Industry|Asset Management|64|0.578125|64
Piercing Pattern With FollowThru|Industry|Apparel Retail|23|0.5652173913043478|17
Piercing Pattern With FollowThru|Industry|Medical Devices|39|0.5641025641025641|20
Piercing Pattern With FollowThru|Sector|Communication Services|41|0.5609756097560976|36
Piercing Pattern With FollowThru|Industry|Insurance - Property & Casualty|25|0.56|67
Piercing Pattern With FollowThru|Industry|Diagnostics & Research|33|0.5454545454545454|23
Piercing Pattern With FollowThru|Industry|Biotechnology|81|0.5432098765432098|13
Piercing Pattern With FollowThru|Industry|Communication Equipment|24|0.5416666666666666|12
Piercing Pattern With FollowThru|Industry|Scientific & Technical Instruments|13|0.5384615384615384|41
Piercing Pattern With FollowThru|Industry|Oil & Gas Midstream|13|0.5384615384615384|42
Piercing Pattern With FollowThru|Industry|Auto Parts|15|0.5333333333333333|26
Piercing Pattern With FollowThru|Industry|Drug Manufacturers - Specialty & Generic|25|0.52|15
Piercing Pattern With FollowThru|Sector|Technology|222|0.5135135135135135|18
Piercing Pattern With FollowThru|Industry|Software - Infrastructure|34|0.5|10
Piercing Pattern With FollowThru|Industry|Industrial Distribution|10|0.5|15
Piercing Pattern With FollowThru|Industry|Electronic Components|12|0.5|29
Piercing Pattern With FollowThru|Industry|Specialty Industrial Machinery|54|0.5|32
Piercing Pattern With FollowThru|Industry|Insurance - Specialty|14|0.5|35
Piercing Pattern With FollowThru|Industry|REIT - Retail|14|0.5|98
Piercing Pattern With FollowThru|Overall|All|5994|0.49716383049716384|54
Piercing Pattern With FollowThru|Sector|Industrials|304|0.4901315789473684|28
Piercing Pattern With FollowThru|Sector|Real Estate|113|0.48672566371681414|47
Piercing Pattern With FollowThru|Industry|Specialty Chemicals|37|0.4864864864864865|48
Piercing Pattern With FollowThru|Sector|Healthcare|264|0.48484848484848486|18
Piercing Pattern With FollowThru|Sector|Consumer Cyclical|234|0.4700854700854701|22
Piercing Pattern With FollowThru|Sector|Basic Materials|81|0.4691358024691358|42
Piercing Pattern With FollowThru|Industry|Restaurants|30|0.4666666666666667|16
Piercing Pattern With FollowThru|Industry|Engineering & Construction|15|0.4666666666666667|20
Piercing Pattern With FollowThru|Sector|Financial Services|363|0.465564738292011|50
Piercing Pattern With FollowThru|Industry|Banks - Regional|147|0.46258503401360546|52
Piercing Pattern With FollowThru|Industry|Semiconductor Equipment & Materials|13|0.46153846153846156|14
Piercing Pattern With FollowThru|Industry|Entertainment|13|0.46153846153846156|30
Piercing Pattern With FollowThru|Industry|Security & Protection Services|13|0.46153846153846156|38
Piercing Pattern With FollowThru|Industry|Healthcare Plans|13|0.46153846153846156|40
Piercing Pattern With FollowThru|Industry|Credit Services|22|0.45454545454545453|24
Piercing Pattern With FollowThru|Industry|Telecom Services|11|0.45454545454545453|100
Piercing Pattern With FollowThru|Industry|Information Technology Services|29|0.4482758620689655|30
Piercing Pattern With FollowThru|Industry|Semiconductors|16|0.4375|16
Piercing Pattern With FollowThru|Industry|Rental & Leasing Services|16|0.4375|35
Piercing Pattern With FollowThru|Industry|Insurance Brokers|21|0.42857142857142855|27
Piercing Pattern With FollowThru|Industry|REIT - Mortgage|14|0.42857142857142855|52
Piercing Pattern With FollowThru|Industry|Consulting Services|19|0.42105263157894735|30
Piercing Pattern With FollowThru|Industry|REIT - Residential|19|0.42105263157894735|84
Piercing Pattern With FollowThru|Industry|Residential Construction|12|0.4166666666666667|24
Piercing Pattern With FollowThru|Industry|Household & Personal Products|12|0.4166666666666667|29
Piercing Pattern With FollowThru|Industry|Oil & Gas Integrated|12|0.4166666666666667|61
Piercing Pattern With FollowThru|Industry|Chemicals|10|0.4|50
Piercing Pattern With FollowThru|Industry|Recreational Vehicles|10|0.4|70
Piercing Pattern With FollowThru|Industry|Real Estate Services|13|0.38461538461538464|13
Piercing Pattern With FollowThru|Industry|Farm Products|16|0.375|21
Piercing Pattern With FollowThru|Industry|Aerospace & Defense|27|0.37037037037037035|35
Piercing Pattern With FollowThru|Sector|Energy|85|0.36470588235294116|37
Piercing Pattern With FollowThru|Industry|Specialty Retail|26|0.34615384615384615|17
Piercing Pattern With FollowThru|Industry|Oil & Gas Equipment & Services|15|0.3333333333333333|15
Piercing Pattern With FollowThru|Industry|Farm & Heavy Construction Machinery|18|0.3333333333333333|29
Piercing Pattern With FollowThru|Sector|Consumer Defensive|105|0.3333333333333333|35
Piercing Pattern With FollowThru|Industry|Beverages - Non-Alcoholic|15|0.3333333333333333|39
Piercing Pattern With FollowThru|Industry|Utilities - Regulated Electric|36|0.3333333333333333|85
Piercing Pattern With FollowThru|Sector|Utilities|57|0.3333333333333333|95
Piercing Pattern With FollowThru|Industry|Medical Care Facilities|22|0.3181818181818182|17
Piercing Pattern With FollowThru|Industry|Insurance - Life|13|0.3076923076923077|71
Piercing Pattern With FollowThru|Industry|Packaging & Containers|10|0.3|30
Piercing Pattern With FollowThru|Industry|Railroads|10|0.3|31
Piercing Pattern With FollowThru|Industry|Packaged Foods|20|0.3|45
Piercing Pattern With FollowThru|Industry|Oil & Gas E&P|32|0.28125|44
