Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Piercing Pattern With FollowThru|Industry|Internet Retail|18|0.6666666666666666|16
Piercing Pattern With FollowThru|Industry|Electrical Equipment & Parts|18|0.6666666666666666|20
Piercing Pattern With FollowThru|Industry|Specialty Business Services|17|0.6470588235294118|34
Piercing Pattern With FollowThru|Industry|Auto & Truck Dealerships|11|0.6363636363636364|12
Piercing Pattern With FollowThru|Industry|Integrated Freight & Logistics|11|0.6363636363636364|25
Piercing Pattern With FollowThru|Industry|REIT - Office|13|0.6153846153846154|24
Piercing Pattern With FollowThru|Industry|Medical Devices|33|0.6060606060606061|20
Piercing Pattern With FollowThru|Industry|Asset Management|60|0.6|65
Piercing Pattern With FollowThru|Industry|Conglomerates|12|0.5833333333333334|27
Piercing Pattern With FollowThru|Industry|Software - Application|67|0.582089552238806|17
Piercing Pattern With FollowThru|Sector|Communication Services|38|0.5789473684210527|38
Piercing Pattern With FollowThru|Industry|Apparel Retail|21|0.5714285714285714|16
Piercing Pattern With FollowThru|Industry|Auto Parts|14|0.5714285714285714|26
Piercing Pattern With FollowThru|Industry|Building Products & Equipment|11|0.5454545454545454|22
Piercing Pattern With FollowThru|Industry|Oil & Gas Midstream|11|0.5454545454545454|41
Piercing Pattern With FollowThru|Industry|Communication Equipment|24|0.5416666666666666|12
Piercing Pattern With FollowThru|Industry|Insurance - Specialty|13|0.5384615384615384|35
Piercing Pattern With FollowThru|Industry|Biotechnology|80|0.5375|13
Piercing Pattern With FollowThru|Industry|Diagnostics & Research|29|0.5172413793103449|21
Piercing Pattern With FollowThru|Industry|Specialty Industrial Machinery|53|0.5094339622641509|32
Piercing Pattern With FollowThru|Overall|All|5474|0.5020094994519547|53
Piercing Pattern With FollowThru|Industry|Drug Manufacturers - Specialty & Generic|22|0.5|12
Piercing Pattern With FollowThru|Industry|Real Estate Services|10|0.5|13
Piercing Pattern With FollowThru|Industry|Industrial Distribution|10|0.5|15
Piercing Pattern With FollowThru|Industry|Restaurants|24|0.5|15
Piercing Pattern With FollowThru|Sector|Technology|210|0.5|19
Piercing Pattern With FollowThru|Industry|Electronic Components|12|0.5|29
Piercing Pattern With FollowThru|Industry|Healthcare Plans|12|0.5|40
Piercing Pattern With FollowThru|Industry|Scientific & Technical Instruments|12|0.5|45
Piercing Pattern With FollowThru|Sector|Real Estate|106|0.5|48
Piercing Pattern With FollowThru|Industry|REIT - Mortgage|12|0.5|52
Piercing Pattern With FollowThru|Industry|Insurance - Property & Casualty|22|0.5|70
Piercing Pattern With FollowThru|Industry|REIT - Retail|14|0.5|98
Piercing Pattern With FollowThru|Sector|Healthcare|237|0.4936708860759494|18
Piercing Pattern With FollowThru|Sector|Industrials|286|0.493006993006993|27
Piercing Pattern With FollowThru|Sector|Consumer Cyclical|210|0.49047619047619045|21
Piercing Pattern With FollowThru|Industry|Software - Infrastructure|33|0.48484848484848486|11
Piercing Pattern With FollowThru|Industry|Specialty Chemicals|31|0.4838709677419355|44
Piercing Pattern With FollowThru|Industry|Rental & Leasing Services|15|0.4666666666666667|35
Piercing Pattern With FollowThru|Sector|Basic Materials|67|0.4626865671641791|40
Piercing Pattern With FollowThru|Industry|Semiconductor Equipment & Materials|13|0.46153846153846156|14
Piercing Pattern With FollowThru|Industry|Engineering & Construction|13|0.46153846153846156|20
Piercing Pattern With FollowThru|Industry|Telecom Services|11|0.45454545454545453|100
Piercing Pattern With FollowThru|Sector|Financial Services|325|0.4523076923076923|49
Piercing Pattern With FollowThru|Industry|Consulting Services|18|0.4444444444444444|30
Piercing Pattern With FollowThru|Industry|Semiconductors|16|0.4375|16
Piercing Pattern With FollowThru|Industry|Insurance Brokers|16|0.4375|25
Piercing Pattern With FollowThru|Industry|Banks - Regional|131|0.4351145038167939|52
Piercing Pattern With FollowThru|Industry|Credit Services|21|0.42857142857142855|24
Piercing Pattern With FollowThru|Industry|REIT - Residential|19|0.42105263157894735|84
Piercing Pattern With FollowThru|Industry|Residential Construction|12|0.4166666666666667|24
Piercing Pattern With FollowThru|Industry|Entertainment|12|0.4166666666666667|35
Piercing Pattern With FollowThru|Industry|Oil & Gas Integrated|12|0.4166666666666667|61
Piercing Pattern With FollowThru|Industry|Farm Products|15|0.4|21
Piercing Pattern With FollowThru|Industry|Information Technology Services|25|0.4|33
Piercing Pattern With FollowThru|Industry|Security & Protection Services|10|0.4|43
Piercing Pattern With FollowThru|Industry|Specialty Retail|23|0.391304347826087|17
Piercing Pattern With FollowThru|Industry|Aerospace & Defense|24|0.375|32
Piercing Pattern With FollowThru|Industry|Household & Personal Products|11|0.36363636363636365|29
Piercing Pattern With FollowThru|Sector|Energy|77|0.36363636363636365|37
Piercing Pattern With FollowThru|Industry|Farm & Heavy Construction Machinery|18|0.3333333333333333|29
Piercing Pattern With FollowThru|Sector|Utilities|53|0.32075471698113206|97
Piercing Pattern With FollowThru|Industry|Medical Care Facilities|16|0.3125|22
Piercing Pattern With FollowThru|Industry|Packaged Foods|16|0.3125|42
Piercing Pattern With FollowThru|Sector|Consumer Defensive|89|0.30337078651685395|31
Piercing Pattern With FollowThru|Industry|Drug Manufacturers - General|10|0.3|10
Piercing Pattern With FollowThru|Industry|Railroads|10|0.3|31
Piercing Pattern With FollowThru|Industry|Utilities - Regulated Electric|34|0.29411764705882354|87
Piercing Pattern With FollowThru|Industry|Medical Instruments & Supplies|24|0.2916666666666667|22
Piercing Pattern With FollowThru|Industry|Oil & Gas Equipment & Services|14|0.2857142857142857|13
Piercing Pattern With FollowThru|Industry|Oil & Gas E&P|28|0.2857142857142857|44
Piercing Pattern With FollowThru|Industry|Beverages - Non-Alcoholic|11|0.2727272727272727|30
Piercing Pattern With FollowThru|Industry|Insurance - Life|12|0.25|33
Piercing Pattern With FollowThru|Industry|Banks - Diversified|21|0.23809523809523808|41
Piercing Pattern With FollowThru|Industry|Leisure|10|0.2|14
Piercing Pattern With FollowThru|Industry|Discount Stores|12|0.16666666666666666|7
