Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Piercing Pattern With FollowThru|Industry|Aerospace & Defense|10|0.9|47
Piercing Pattern With FollowThru|Sector|Utilities|22|0.7727272727272727|127
Piercing Pattern With FollowThru|Industry|Insurance - Property & Casualty|15|0.7333333333333333|52
Piercing Pattern With FollowThru|Industry|Specialty Industrial Machinery|14|0.7142857142857143|61
Piercing Pattern With FollowThru|Industry|Oil & Gas Integrated|12|0.6666666666666666|42
Piercing Pattern With FollowThru|Industry|Oil & Gas E&P|21|0.6190476190476191|32
Piercing Pattern With FollowThru|Sector|Industrials|92|0.5978260869565217|61
Piercing Pattern With FollowThru|Industry|Specialty Retail|12|0.5833333333333334|100
Piercing Pattern With FollowThru|Sector|Basic Materials|31|0.5806451612903226|37
Piercing Pattern With FollowThru|Sector|Energy|64|0.5625|28
Piercing Pattern With FollowThru|Sector|Technology|58|0.5517241379310345|37
Piercing Pattern With FollowThru|Industry|Drug Manufacturers - Specialty & Generic|11|0.5454545454545454|10
Piercing Pattern With FollowThru|Industry|Software - Application|13|0.5384615384615384|30
Piercing Pattern With FollowThru|Industry|Medical Devices|13|0.5384615384615384|36
Piercing Pattern With FollowThru|Sector|Communication Services|28|0.5357142857142857|86
Piercing Pattern With FollowThru|Sector|Consumer Cyclical|110|0.5272727272727272|46
Piercing Pattern With FollowThru|Sector|Financial Services|141|0.5035460992907801|58
Piercing Pattern With FollowThru|Industry|Communication Equipment|10|0.5|23
Piercing Pattern With FollowThru|Industry|Medical Instruments & Supplies|14|0.5|48
Piercing Pattern With FollowThru|Industry|Information Technology Services|10|0.5|51
Piercing Pattern With FollowThru|Industry|Restaurants|18|0.5|54
Piercing Pattern With FollowThru|Sector|Healthcare|116|0.49137931034482757|24
Piercing Pattern With FollowThru|Industry|Banks - Regional|69|0.4782608695652174|57
Piercing Pattern With FollowThru|Sector|Real Estate|44|0.4772727272727273|55
Piercing Pattern With FollowThru|Overall|All|2350|0.47319148936170213|78
Piercing Pattern With FollowThru|Industry|Biotechnology|50|0.46|10
Piercing Pattern With FollowThru|Industry|Oil & Gas Equipment & Services|12|0.4166666666666667|11
Piercing Pattern With FollowThru|Sector|Consumer Defensive|42|0.40476190476190477|96
Piercing Pattern With FollowThru|Industry|Packaged Foods|14|0.35714285714285715|60
Piercing Pattern With FollowThru|Industry|Asset Management|20|0.3|57
Piercing Pattern With FollowThru|Industry|Credit Services|10|0.3|62
