Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Piercing Pattern|Entity|DUG.US|10|0.9|32
Piercing Pattern|Entity|SDS.US|10|0.8|58
Piercing Pattern|Entity|GPC.US|11|0.7272727272727273|55
Piercing Pattern|Entity|SBB.US|11|0.7272727272727273|98
Piercing Pattern|Entity|UNL.US|14|0.7142857142857143|60
Piercing Pattern|Entity|BYD.US|10|0.7|17
Piercing Pattern|Entity|NVR.US|10|0.7|36
Piercing Pattern|Entity|INGR.US|10|0.7|47
Piercing Pattern|Entity|PEZ.US|10|0.7|76
Piercing Pattern|Entity|SH.US|10|0.7|149
Piercing Pattern|Entity|SEF.US|13|0.6923076923076923|126
Piercing Pattern|Industry|Resorts & Casinos|20|0.65|19
Piercing Pattern|Industry|Engineering & Construction|51|0.6470588235294118|20
Piercing Pattern|Entity|AVNW.US|11|0.6363636363636364|9
Piercing Pattern|Entity|JOE.US|11|0.6363636363636364|22
Piercing Pattern|Entity|SVC.US|11|0.6363636363636364|30
Piercing Pattern|Entity|PXJ.US|11|0.6363636363636364|31
Piercing Pattern|Industry|Auto Manufacturers|11|0.6363636363636364|32
Piercing Pattern|Entity|PNW.US|11|0.6363636363636364|42
Piercing Pattern|Entity|PARA.US|11|0.6363636363636364|59
Piercing Pattern|Entity|PSQ.US|11|0.6363636363636364|178
Piercing Pattern|Industry|Advertising Agencies|19|0.631578947368421|31
Piercing Pattern|Entity|GT.US|13|0.6153846153846154|13
Piercing Pattern|Entity|NUS.US|13|0.6153846153846154|30
Piercing Pattern|Entity|FMC.US|13|0.6153846153846154|69
Piercing Pattern|Entity|CATY.US|13|0.6153846153846154|73
Piercing Pattern|Industry|Auto Parts|41|0.6097560975609756|23
Piercing Pattern|Industry|Internet Content & Information|33|0.6060606060606061|22
Piercing Pattern|Industry|Trucking|10|0.6|18
Piercing Pattern|Entity|BDC.US|10|0.6|24
Piercing Pattern|Entity|TGT.US|10|0.6|28
Piercing Pattern|Entity|AR.US|10|0.6|39
Piercing Pattern|Entity|BCO.US|10|0.6|40
Piercing Pattern|Entity|KLAC.US|10|0.6|49
Piercing Pattern|Industry|Packaged Foods|62|0.5967741935483871|38
Piercing Pattern|Entity|TDS.US|12|0.5833333333333334|29
Piercing Pattern|Entity|RF.US|12|0.5833333333333334|39
Piercing Pattern|Industry|Agricultural Inputs|26|0.5769230769230769|48
Piercing Pattern|Industry|Electronic Gaming & Multimedia|16|0.5625|18
Piercing Pattern|Industry|Diagnostics & Research|66|0.5606060606060606|24
Piercing Pattern|Industry|Biotechnology|249|0.5542168674698795|14
Piercing Pattern|Industry|Medical Devices|74|0.5540540540540541|24
Piercing Pattern|Industry|Communication Equipment|58|0.5517241379310345|23
Piercing Pattern|Entity|FICO.US|11|0.5454545454545454|11
Piercing Pattern|Entity|IVZ.US|11|0.5454545454545454|16
