Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Piercing Pattern|A|LABORATORY ANALYTICAL INSTRUMENTS||2/9/2016|Close|35.3700|5/11/2016|High|43.2000||||Up|66|92
Piercing Pattern|A|LABORATORY ANALYTICAL INSTRUMENTS||9/12/2016|Close|45.7500|||||||||
Piercing Pattern|AA|PRIMARY PRODUCTION OF ALUMINUM||10/15/2014|Close|43.5000|11/21/2014|High|53.2500|6/25/2015|Low|34.6500|Up|27|37
Piercing Pattern|AA|PRIMARY PRODUCTION OF ALUMINUM||5/19/2016|Close|27.3600|7/15/2016|High|32.8800|11/1/2016|Low|21.7800|Up|41|57
Piercing Pattern|AADR|||10/13/2014|Close|35.3020|10/25/2016|High|42.4864||||Up|531|743
Piercing Pattern|AAMC|REAL ESTATE||10/30/2015|Close|24.6000|11/3/2015|High|36.8800|11/12/2015|Low|19.1100|Up|2|4
Piercing Pattern|AAPL|ELECTRONIC COMPUTERS||11/16/2015|Close|114.1750||||5/12/2016|Low|89.4700|Down|128|178
Piercing Pattern|AAPL|ELECTRONIC COMPUTERS||6/21/2016|Close|95.9100|9/15/2016|High|115.7300||||Up|62|86
Piercing Pattern|ABBV|PHARMACEUTICAL PREPARATIONS||3/10/2015|Close|55.8400|5/27/2015|High|67.9900||||Up|56|78
Piercing Pattern|ABCB|STATE COMMERCIAL BANKS||1/16/2015|Close|23.4900|8/5/2015|High|28.2800||||Up|143|201
Piercing Pattern|ABCB|STATE COMMERCIAL BANKS||1/26/2016|Close|27.2200|4/22/2016|High|32.7550||||Up|63|87
Piercing Pattern|ABCB|STATE COMMERCIAL BANKS||2/9/2016|Close|26.2600|4/22/2016|High|32.7550||||Up|53|73
Piercing Pattern|ABG|RETAIL-AUTO DEALERS & GASOLINE STATIONS||9/16/2014|Close|66.4000|2/4/2015|High|80.8400|1/8/2016|Low|53.1200|Up|101|141
Piercing Pattern|ABG|RETAIL-AUTO DEALERS & GASOLINE STATIONS||4/5/2016|Close|56.2100|||||||||
Piercing Pattern|ABM|SERVICES-TO DWELLINGS & OTHER BUILDINGS||7/18/2014|Close|25.7000|2/23/2015|High|30.9400||||Up|156|220
Piercing Pattern|ABT|PHARMACEUTICAL PREPARATIONS||1/16/2015|Close|44.4900|||||||||
Piercing Pattern|ABT|PHARMACEUTICAL PREPARATIONS||9/12/2016|Close|41.4200|||||||||
Piercing Pattern|ACAD|PHARMACEUTICAL PREPARATIONS||2/9/2016|Close|18.4800|3/7/2016|High|22.2650||||Up|19|27
Piercing Pattern|ACET|PHARMACEUTICAL PREPARATIONS||11/4/2016|Close|16.4700|11/22/2016|High|19.9000||||Up|12|18
Piercing Pattern|ACGL|FIRE, MARINE & CASUALTY INSURANCE||11/16/2015|Close|73.6600|||||||||
Piercing Pattern|ACGL|FIRE, MARINE & CASUALTY INSURANCE||6/16/2016|Close|69.5600|9/7/2016|High|83.6100||||Up|59|83
Piercing Pattern|ACIW|SERVICES-PREPACKAGED SOFTWARE||1/16/2015|Close|18.2600|3/20/2015|High|22.2100||||Up|45|63
Piercing Pattern|ACM|SERVICES-ENGINEERING SERVICES||10/15/2014|Close|28.3400|11/21/2014|High|34.1200||||Up|27|37
