Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Piercing Pattern|Entity|APD.US|10|0.9|87
Piercing Pattern|Industry|Utilities - Regulated Gas|15|0.8666666666666667|127
Piercing Pattern|Industry|Beverages - Non-Alcoholic|14|0.8571428571428571|84
Piercing Pattern|Entity|SMG.US|10|0.8|74
Piercing Pattern|Entity|EFX.US|10|0.8|102
Piercing Pattern|Industry|Personal Services|13|0.7692307692307693|62
Piercing Pattern|Entity|K.US|13|0.7692307692307693|148
Piercing Pattern|Industry|Utilities - Regulated Water|17|0.7647058823529411|51
Piercing Pattern|Industry|Insurance Brokers|17|0.7647058823529411|82
Piercing Pattern|Industry|Insurance - Life|12|0.75|28
Piercing Pattern|Industry|Scientific & Technical Instruments|19|0.7368421052631579|40
Piercing Pattern|Industry|Metal Fabrication|15|0.7333333333333333|38
Piercing Pattern|Industry|Insurance - Diversified|11|0.7272727272727273|142
Piercing Pattern|Entity|VDE.US|10|0.7|52
Piercing Pattern|Industry|Aerospace & Defense|56|0.6964285714285714|40
Piercing Pattern|Industry|Conglomerates|13|0.6923076923076923|39
Piercing Pattern|Entity|HMN.US|13|0.6923076923076923|58
Piercing Pattern|Industry|Specialty Industrial Machinery|75|0.68|69
Piercing Pattern|Industry|Consulting Services|28|0.6785714285714286|64
Piercing Pattern|Industry|Rental & Leasing Services|18|0.6666666666666666|20
Piercing Pattern|Industry|Gold|33|0.6666666666666666|21
Piercing Pattern|Industry|Airlines|18|0.6666666666666666|35
Piercing Pattern|Industry|Integrated Freight & Logistics|18|0.6666666666666666|64
Piercing Pattern|Industry|Specialty Chemicals|48|0.6666666666666666|69
Piercing Pattern|Industry|Staffing & Employment Services|15|0.6666666666666666|116
Piercing Pattern|Industry|Oil & Gas E&P|77|0.6623376623376623|24
Piercing Pattern|Industry|Insurance - Property & Casualty|46|0.6521739130434783|66
Piercing Pattern|Industry|Residential Construction|20|0.65|23
Piercing Pattern|Industry|Industrial Distribution|25|0.64|37
Piercing Pattern|Entity|OXY.US|11|0.6363636363636364|35
Piercing Pattern|Industry|Medical Instruments & Supplies|51|0.6274509803921569|46
Piercing Pattern|Industry|Semiconductors|32|0.625|44
Piercing Pattern|Industry|Specialty Business Services|16|0.625|57
Piercing Pattern|Sector|Industrials|447|0.6219239373601789|49
Piercing Pattern|Sector|Utilities|119|0.6218487394957983|101
Piercing Pattern|Industry|Packaging & Containers|29|0.6206896551724138|63
Piercing Pattern|Industry|Farm & Heavy Construction Machinery|21|0.6190476190476191|41
Piercing Pattern|Industry|Beverages - Wineries & Distilleries|13|0.6153846153846154|108
Piercing Pattern|Industry|Household & Personal Products|18|0.6111111111111112|68
Piercing Pattern|Industry|Oil & Gas Integrated|33|0.6060606060606061|29
Piercing Pattern|Industry|Specialty Retail|38|0.6052631578947368|71
Piercing Pattern|Entity|CVX.US|10|0.6|32
Piercing Pattern|Industry|Restaurants|45|0.6|51
Piercing Pattern|Industry|Insurance - Specialty|27|0.5925925925925926|43
Piercing Pattern|Industry|Internet Content & Information|27|0.5925925925925926|50
Piercing Pattern|Sector|Basic Materials|149|0.5906040268456376|44
Piercing Pattern|Industry|Electronic Gaming & Multimedia|17|0.5882352941176471|24
Piercing Pattern|Industry|Utilities - Regulated Electric|58|0.5862068965517241|101
Piercing Pattern|Industry|Electronic Components|19|0.5789473684210527|39
Piercing Pattern|Industry|REIT - Healthcare Facilities|14|0.5714285714285714|79
Piercing Pattern|Industry|Apparel Retail|39|0.5641025641025641|18
Piercing Pattern|Industry|Information Technology Services|39|0.5641025641025641|62
Piercing Pattern|Industry|Electrical Equipment & Parts|16|0.5625|39
Piercing Pattern|Industry|Telecom Services|32|0.5625|200
Piercing Pattern|Sector|Energy|201|0.5621890547263682|30
Piercing Pattern|Industry|Furnishings, Fixtures & Appliances|25|0.56|25
Piercing Pattern|Industry|Drug Manufacturers - Specialty & Generic|45|0.5555555555555556|11
Piercing Pattern|Industry|Marine Shipping|18|0.5555555555555556|26
Piercing Pattern|Sector|Consumer Cyclical|380|0.5526315789473685|43
Piercing Pattern|Industry|Capital Markets|20|0.55|20
Piercing Pattern|Industry|Auto & Truck Dealerships|20|0.55|29
Piercing Pattern|Entity|VMC.US|11|0.5454545454545454|114
Piercing Pattern|Industry|Software - Infrastructure|46|0.5434782608695652|36
Piercing Pattern|Sector|Technology|268|0.5410447761194029|38
Piercing Pattern|Industry|Leisure|13|0.5384615384615384|26
Piercing Pattern|Industry|Lodging|13|0.5384615384615384|33
Piercing Pattern|Industry|Medical Care Facilities|28|0.5357142857142857|41
Piercing Pattern|Sector|Communication Services|116|0.5344827586206896|89
Piercing Pattern|Industry|Internet Retail|15|0.5333333333333333|69
Piercing Pattern|Industry|Agricultural Inputs|17|0.5294117647058824|50
Piercing Pattern|Industry|Oil & Gas Refining & Marketing|21|0.5238095238095238|41
Piercing Pattern|Industry|Software - Application|52|0.5192307692307693|19
Piercing Pattern|Overall|All|9597|0.5018234865061999|87
Piercing Pattern|Industry|Chemicals|16|0.5|36
Piercing Pattern|Entity|QID.US|10|0.5|47
Piercing Pattern|Industry|Healthcare Plans|14|0.5|48
Piercing Pattern|Industry|Discount Stores|16|0.5|62
Piercing Pattern|Entity|FMC.US|10|0.5|64
Piercing Pattern|Entity|AXP.US|10|0.5|88
Piercing Pattern|Sector|Financial Services|605|0.49421487603305786|70
Piercing Pattern|Sector|Consumer Defensive|171|0.49122807017543857|64
Piercing Pattern|Industry|Medical Devices|53|0.49056603773584906|31
