Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Piercing Pattern|Industry|STATE COMMERCIAL BANKS|38|0.868421052631579|90
Piercing Pattern|Industry|MOTOR VEHICLE PARTS & ACCESSORIES|10|0.8|33
Piercing Pattern|Industry|ELECTRIC & OTHER SERVICES COMBINED|11|0.7272727272727273|140
Piercing Pattern|Industry|SERVICES-PREPACKAGED SOFTWARE|21|0.7142857142857143|39
Piercing Pattern|Industry|NATIONAL COMMERCIAL BANKS|25|0.68|198
Piercing Pattern|Industry|PHARMACEUTICAL PREPARATIONS|31|0.6129032258064516|27
Piercing Pattern|Industry|SEMICONDUCTORS & RELATED DEVICES|15|0.6|29
Piercing Pattern|Industry|RETAIL-EATING PLACES|15|0.6|53
Piercing Pattern|Industry|FIRE, MARINE & CASUALTY INSURANCE|31|0.5806451612903226|76
Piercing Pattern|Industry|RETAIL-VARIETY STORES|10|0.5|37
Piercing Pattern|Overall|All|1751|0.49400342661336377|62
Piercing Pattern|Industry|INVESTMENT ADVICE|10|0.4|19
Piercing Pattern|Industry|CRUDE PETROLEUM & NATURAL GAS|26|0.38461538461538464|11
Piercing Pattern|Industry|REAL ESTATE INVESTMENT TRUSTS|50|0.38|81
Piercing Pattern|Industry|PETROLEUM REFINING|12|0.3333333333333333|13
Piercing Pattern|Industry|RETAIL-AUTO DEALERS & GASOLINE STATIONS|16|0.3125|47
Piercing Pattern|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|47|0.2765957446808511|59
Piercing Pattern|Industry|ELECTRIC SERVICES|13|0.23076923076923078|207
