Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Piercing Pattern|Entity|SDS.US|10|0.8|58
Piercing Pattern|Entity|NUS.US|11|0.7272727272727273|30
Piercing Pattern|Entity|GPC.US|11|0.7272727272727273|55
Piercing Pattern|Entity|SBB.US|11|0.7272727272727273|98
Piercing Pattern|Entity|UNL.US|14|0.7142857142857143|60
Piercing Pattern|Entity|BYD.US|10|0.7|17
Piercing Pattern|Industry|Auto Manufacturers|10|0.7|32
Piercing Pattern|Entity|NVR.US|10|0.7|36
Piercing Pattern|Entity|INGR.US|10|0.7|47
Piercing Pattern|Entity|PEZ.US|10|0.7|76
Piercing Pattern|Entity|SH.US|10|0.7|149
Piercing Pattern|Entity|SEF.US|13|0.6923076923076923|126
Piercing Pattern|Industry|Engineering & Construction|48|0.6875|20
Piercing Pattern|Industry|Resorts & Casinos|20|0.65|19
Piercing Pattern|Entity|AVNW.US|11|0.6363636363636364|9
Piercing Pattern|Entity|JOE.US|11|0.6363636363636364|22
Piercing Pattern|Entity|SVC.US|11|0.6363636363636364|30
Piercing Pattern|Entity|PXJ.US|11|0.6363636363636364|31
Piercing Pattern|Entity|PNW.US|11|0.6363636363636364|42
Piercing Pattern|Entity|PARA.US|11|0.6363636363636364|59
Piercing Pattern|Entity|PSQ.US|11|0.6363636363636364|178
Piercing Pattern|Industry|Advertising Agencies|19|0.631578947368421|31
Piercing Pattern|Entity|GT.US|13|0.6153846153846154|13
Piercing Pattern|Entity|FMC.US|13|0.6153846153846154|69
Piercing Pattern|Industry|Auto Parts|41|0.6097560975609756|23
Piercing Pattern|Industry|Internet Content & Information|33|0.6060606060606061|22
Piercing Pattern|Industry|Trucking|10|0.6|18
Piercing Pattern|Entity|BDC.US|10|0.6|24
Piercing Pattern|Entity|TGT.US|10|0.6|28
Piercing Pattern|Entity|AR.US|10|0.6|39
Piercing Pattern|Entity|BCO.US|10|0.6|40
Piercing Pattern|Entity|TDS.US|12|0.5833333333333334|29
Piercing Pattern|Entity|RF.US|12|0.5833333333333334|39
Piercing Pattern|Entity|CATY.US|12|0.5833333333333334|71
Piercing Pattern|Industry|Agricultural Inputs|26|0.5769230769230769|48
Piercing Pattern|Industry|Packaged Foods|59|0.576271186440678|40
Piercing Pattern|Industry|Biotechnology|248|0.5524193548387096|13
Piercing Pattern|Industry|Medical Devices|73|0.547945205479452|24
Piercing Pattern|Entity|FICO.US|11|0.5454545454545454|11
Piercing Pattern|Entity|IVZ.US|11|0.5454545454545454|16
Piercing Pattern|Entity|RHP.US|11|0.5454545454545454|26
Piercing Pattern|Entity|HWC.US|11|0.5454545454545454|34
Piercing Pattern|Entity|PCAR.US|11|0.5454545454545454|61
Piercing Pattern|Entity|KMB.US|11|0.5454545454545454|251
Piercing Pattern|Industry|Communication Equipment|57|0.543859649122807|21
Piercing Pattern|Industry|Diagnostics & Research|65|0.5384615384615384|24
Piercing Pattern|Industry|Apparel Manufacturing|15|0.5333333333333333|12
Piercing Pattern|Industry|Aluminum|15|0.5333333333333333|17
Piercing Pattern|Industry|Electronic Gaming & Multimedia|15|0.5333333333333333|19
Piercing Pattern|Industry|Auto & Truck Dealerships|32|0.53125|24
Piercing Pattern|Sector|Communication Services|128|0.53125|32
Piercing Pattern|Industry|Electronic Components|32|0.53125|35
Piercing Pattern|Industry|Education & Training Services|17|0.5294117647058824|19
Piercing Pattern|Industry|Oil & Gas Refining & Marketing|21|0.5238095238095238|43
Piercing Pattern|Industry|Specialty Business Services|29|0.5172413793103449|47
Piercing Pattern|Industry|REIT - Mortgage|29|0.5172413793103449|98
Piercing Pattern|Industry|Entertainment|31|0.5161290322580645|30
Piercing Pattern|Entity|ATI.US|10|0.5|14
Piercing Pattern|Industry|Capital Markets|22|0.5|15
Piercing Pattern|Entity|RDUS.US|12|0.5|18
Piercing Pattern|Industry|Internet Retail|38|0.5|20
Piercing Pattern|Industry|Oil & Gas Equipment & Services|38|0.5|21
Piercing Pattern|Entity|ADM.US|10|0.5|24
Piercing Pattern|Entity|CTS.US|10|0.5|25
Piercing Pattern|Entity|TSCO.US|10|0.5|27
Piercing Pattern|Industry|REIT - Specialty|28|0.5|35
Piercing Pattern|Entity|ATR.US|10|0.5|35
Piercing Pattern|Entity|BP.US|10|0.5|42
Piercing Pattern|Industry|Utilities - Diversified|20|0.5|45
Piercing Pattern|Industry|Railroads|22|0.5|49
Piercing Pattern|Industry|Marine Shipping|16|0.5|50
Piercing Pattern|Entity|UHAL.US|10|0.5|54
Piercing Pattern|Entity|NOC.US|10|0.5|71
Piercing Pattern|Industry|REIT - Retail|34|0.5|101
Piercing Pattern|Sector|Healthcare|620|0.49193548387096775|20
Piercing Pattern|Industry|REIT - Residential|37|0.4864864864864865|58
Piercing Pattern|Industry|Electrical Equipment & Parts|31|0.4838709677419355|27
Piercing Pattern|Industry|Restaurants|60|0.48333333333333334|35
Piercing Pattern|Industry|Asset Management|135|0.48148148148148145|71
Piercing Pattern|Industry|Real Estate Services|25|0.48|17
Piercing Pattern|Industry|Chemicals|23|0.4782608695652174|18
Piercing Pattern|Industry|Airlines|19|0.47368421052631576|32
Piercing Pattern|Industry|Oil & Gas Integrated|36|0.4722222222222222|40
Piercing Pattern|Industry|Banks - Diversified|34|0.47058823529411764|34
Piercing Pattern|Sector|Real Estate|264|0.4696969696969697|56
Piercing Pattern|Industry|Scientific & Technical Instruments|32|0.46875|30
