Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Piercing Pattern|Entity|BF-A.US|11|0.9090909090909091|81
Piercing Pattern|Entity|HP.US|10|0.9|27
Piercing Pattern|Entity|SPY.US|10|0.9|69
Piercing Pattern|Industry|Utilities - Regulated Gas|10|0.9|132
Piercing Pattern|Industry|Beverages - Wineries & Distilleries|21|0.8571428571428571|91
Piercing Pattern|Entity|RSPG.US|13|0.8461538461538461|17
Piercing Pattern|Industry|Utilities - Regulated Water|23|0.8260869565217391|36
Piercing Pattern|Industry|Oil & Gas Drilling|11|0.8181818181818182|27
Piercing Pattern|Industry|Other Industrial Metals & Mining|10|0.8|32
Piercing Pattern|Entity|AKO-B.US|10|0.8|32
Piercing Pattern|Industry|Financial Data & Stock Exchanges|10|0.8|33
Piercing Pattern|Entity|VDE.US|10|0.8|37
Piercing Pattern|Industry|Insurance - Diversified|25|0.8|46
Piercing Pattern|Entity|WKC.US|10|0.8|55
Piercing Pattern|Entity|ADP.US|10|0.8|102
Piercing Pattern|Industry|Beverages - Non-Alcoholic|22|0.7727272727272727|35
Piercing Pattern|Entity|RRX.US|12|0.75|16
Piercing Pattern|Entity|TROW.US|12|0.75|31
Piercing Pattern|Industry|Industrial Distribution|27|0.7407407407407407|33
Piercing Pattern|Entity|PXE.US|11|0.7272727272727273|24
Piercing Pattern|Entity|PTF.US|11|0.7272727272727273|32
Piercing Pattern|Entity|BLX.US|11|0.7272727272727273|32
Piercing Pattern|Industry|Insurance - Life|27|0.7037037037037037|35
Piercing Pattern|Industry|Gold|37|0.7027027027027027|21
Piercing Pattern|Entity|WOLF.US|10|0.7|4
Piercing Pattern|Entity|OI.US|10|0.7|9
Piercing Pattern|Entity|SAFT.US|10|0.7|30
Piercing Pattern|Entity|RMBS.US|10|0.7|35
Piercing Pattern|Entity|SLB.US|10|0.7|44
Piercing Pattern|Industry|REIT - Industrial|20|0.7|46
Piercing Pattern|Entity|FCBC.US|10|0.7|48
Piercing Pattern|Entity|AEP.US|10|0.7|58
Piercing Pattern|Entity|HRB.US|10|0.7|69
Piercing Pattern|Industry|Medical Distribution|10|0.7|88
Piercing Pattern|Sector|Financials|10|0.7|106
Piercing Pattern|Industry|Recreational Vehicles|16|0.6875|23
Piercing Pattern|Entity|HMN.US|16|0.6875|49
Piercing Pattern|Industry|Medical Instruments & Supplies|67|0.6865671641791045|37
Piercing Pattern|Industry|Household & Personal Products|28|0.6785714285714286|54
Piercing Pattern|Industry|Aerospace & Defense|65|0.676923076923077|33
Piercing Pattern|Sector|Utilities|175|0.6685714285714286|79
Piercing Pattern|Industry|Travel Services|15|0.6666666666666666|34
Piercing Pattern|Industry|Discount Stores|24|0.6666666666666666|35
Piercing Pattern|Entity|WMK.US|12|0.6666666666666666|36
Piercing Pattern|Entity|K.US|15|0.6666666666666666|151
Piercing Pattern|Industry|Utilities - Regulated Electric|103|0.6601941747572816|88
