Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Shooting Star|Entity|CRL.US|10|0.9|42
Shooting Star|Entity|WRK.US|13|0.8461538461538461|38
Shooting Star|Entity|CPE.US|11|0.8181818181818182|28
Shooting Star|Entity|GBLI.US|11|0.8181818181818182|54
Shooting Star|Entity|IEP.US|20|0.8|113
Shooting Star|Entity|PWOD.US|10|0.8|149
Shooting Star|Entity|NYF.US|18|0.7777777777777778|719
Shooting Star|Industry|Other|13|0.7692307692307693|620
Shooting Star|Sector|Other|13|0.7692307692307693|620
Shooting Star|Entity|SPMB.US|12|0.75|1255
Shooting Star|Entity|PTC.US|15|0.7333333333333333|13
Shooting Star|Entity|CMCT.US|15|0.7333333333333333|77
Shooting Star|Entity|TARO.US|11|0.7272727272727273|17
Shooting Star|Entity|SVC.US|11|0.7272727272727273|34
Shooting Star|Entity|SZK.US|14|0.7142857142857143|37
Shooting Star|Entity|KLAC.US|31|0.7096774193548387|20
Shooting Star|Entity|HMC.US|48|0.7083333333333334|41
Shooting Star|Entity|RXD.US|17|0.7058823529411765|22
Shooting Star|Entity|RCKY.US|10|0.7|13
Shooting Star|Entity|OFIX.US|10|0.7|30
Shooting Star|Entity|ITGR.US|10|0.7|30
Shooting Star|Entity|YXI.US|10|0.7|61
Shooting Star|Entity|CCEP.US|30|0.7|67
Shooting Star|Entity|BPT.US|20|0.7|91
Shooting Star|Entity|MNY.US|10|0.7|407
Shooting Star|Entity|PFIG.US|10|0.7|484
Shooting Star|Industry|Auto Manufacturers|56|0.6964285714285714|37
Shooting Star|Entity|NUS.US|13|0.6923076923076923|21
Shooting Star|Entity|RGEN.US|19|0.6842105263157895|14
Shooting Star|Entity|COO.US|19|0.6842105263157895|17
Shooting Star|Entity|SPXC.US|22|0.6818181818181818|43
Shooting Star|Entity|AVNW.US|31|0.6774193548387096|28
Shooting Star|Entity|SMTC.US|27|0.6666666666666666|18
Shooting Star|Entity|MTX.US|12|0.6666666666666666|59
Shooting Star|Entity|VGIT.US|12|0.6666666666666666|2947
Shooting Star|Entity|BCS.US|56|0.6607142857142857|50
Shooting Star|Entity|AMAT.US|43|0.6511627906976745|21
Shooting Star|Entity|IDCC.US|20|0.65|8
Shooting Star|Entity|BKE.US|14|0.6428571428571429|18
Shooting Star|Entity|BSET.US|42|0.6428571428571429|84
Shooting Star|Entity|ALTO.US|11|0.6363636363636364|6
Shooting Star|Entity|LIVE.US|11|0.6363636363636364|12
Shooting Star|Entity|ENG.US|11|0.6363636363636364|12
Shooting Star|Entity|PRGO.US|11|0.6363636363636364|17
Shooting Star|Entity|IONS.US|11|0.6363636363636364|18
Shooting Star|Entity|CACC.US|11|0.6363636363636364|20
Shooting Star|Industry|Lodging|22|0.6363636363636364|21
Shooting Star|Entity|GVA.US|11|0.6363636363636364|34
Shooting Star|Entity|INTG.US|11|0.6363636363636364|71
Shooting Star|Entity|GABC.US|11|0.6363636363636364|156
Shooting Star|Entity|KTH.US|11|0.6363636363636364|520
Shooting Star|Entity|NWN.US|52|0.6346153846153846|96
Shooting Star|Entity|DCO.US|51|0.6274509803921569|21
Shooting Star|Entity|MAN.US|16|0.625|45
Shooting Star|Industry|Oil & Gas Drilling|42|0.6190476190476191|39
Shooting Star|Entity|HP.US|42|0.6190476190476191|39
Shooting Star|Entity|TRC.US|21|0.6190476190476191|41
Shooting Star|Entity|ARW.US|34|0.6176470588235294|18
Shooting Star|Entity|JACK.US|13|0.6153846153846154|36
Shooting Star|Entity|GEL.US|13|0.6153846153846154|46
Shooting Star|Entity|DIN.US|13|0.6153846153846154|49
Shooting Star|Entity|EQC.US|31|0.6129032258064516|83
Shooting Star|Entity|NOC.US|28|0.6071428571428571|52
Shooting Star|Entity|TYL.US|33|0.6060606060606061|30
Shooting Star|Entity|MLKN.US|43|0.6046511627906976|52
Shooting Star|Entity|SNGX.US|10|0.6|3
Shooting Star|Entity|BZQ.US|10|0.6|14
Shooting Star|Entity|XOMA.US|20|0.6|15
Shooting Star|Entity|SMN.US|15|0.6|15
Shooting Star|Entity|EWM.US|10|0.6|30
Shooting Star|Entity|PRGS.US|10|0.6|35
Shooting Star|Entity|WPC.US|10|0.6|57
Shooting Star|Entity|STRT.US|10|0.6|60
Shooting Star|Entity|RGA.US|10|0.6|63
Shooting Star|Entity|SBB.US|20|0.6|77
Shooting Star|Entity|WSBC.US|15|0.6|127
Shooting Star|Entity|CMF.US|10|0.6|240
Shooting Star|Entity|UHS.US|47|0.5957446808510638|38
Shooting Star|Entity|REGN.US|17|0.5882352941176471|8
Shooting Star|Entity|HRTX.US|17|0.5882352941176471|10
Shooting Star|Entity|FC.US|17|0.5882352941176471|33
Shooting Star|Entity|LHX.US|17|0.5882352941176471|36
Shooting Star|Entity|TFI.US|17|0.5882352941176471|887
Shooting Star|Entity|CHE.US|46|0.5869565217391305|80
Shooting Star|Entity|ASH.US|29|0.5862068965517241|55
Shooting Star|Entity|BOOM.US|12|0.5833333333333334|6
Shooting Star|Industry|Marine Shipping|12|0.5833333333333334|12
Shooting Star|Entity|REW.US|12|0.5833333333333334|14
Shooting Star|Entity|ALG.US|12|0.5833333333333334|56
Shooting Star|Entity|TER.US|31|0.5806451612903226|18
Shooting Star|Entity|AIR.US|38|0.5789473684210527|54
Shooting Star|Entity|MTZ.US|128|0.578125|26
Shooting Star|Entity|AXP.US|116|0.5775862068965517|87
Shooting Star|Entity|ATI.US|40|0.575|33
Shooting Star|Entity|MTRN.US|40|0.575|60
Shooting Star|Entity|PKE.US|40|0.575|72
Shooting Star|Entity|MTH.US|21|0.5714285714285714|15
Shooting Star|Entity|IPAR.US|21|0.5714285714285714|27
Shooting Star|Entity|MATV.US|14|0.5714285714285714|33
Shooting Star|Entity|STRA.US|14|0.5714285714285714|43
Shooting Star|Entity|LNT.US|14|0.5714285714285714|430
Shooting Star|Entity|NRT.US|79|0.569620253164557|63
Shooting Star|Entity|FONR.US|65|0.5692307692307692|10
Shooting Star|Entity|GRC.US|39|0.5641025641025641|127
Shooting Star|Entity|WDS.US|16|0.5625|34
Shooting Star|Entity|DEO.US|16|0.5625|70
Shooting Star|Entity|MYY.US|16|0.5625|78
Shooting Star|Entity|KMT.US|82|0.5609756097560976|42
Shooting Star|Entity|SON.US|41|0.5609756097560976|91
Shooting Star|Industry|Resorts & Casinos|25|0.56|27
Shooting Star|Entity|NNN.US|25|0.56|83
Shooting Star|Entity|IFF.US|43|0.5581395348837209|48
Shooting Star|Industry|Semiconductor Equipment & Materials|61|0.5573770491803278|19
Shooting Star|Industry|Drug Manufacturers - Specialty & Generic|88|0.5568181818181818|14
Shooting Star|Entity|RGLD.US|27|0.5555555555555556|12
Shooting Star|Industry|Travel Services|27|0.5555555555555556|33
Shooting Star|Entity|OSK.US|27|0.5555555555555556|40
Shooting Star|Entity|JOE.US|18|0.5555555555555556|56
Shooting Star|Industry|REIT - Specialty|36|0.5555555555555556|63
Shooting Star|Entity|SHM.US|18|0.5555555555555556|1287
Shooting Star|Industry|Credit Services|172|0.5523255813953488|67
Shooting Star|Entity|PBI.US|67|0.5522388059701493|58
Shooting Star|Entity|GD.US|111|0.5495495495495496|48
Shooting Star|Entity|UNFI.US|11|0.5454545454545454|16
Shooting Star|Entity|BLX.US|11|0.5454545454545454|22
Shooting Star|Entity|BCO.US|33|0.5454545454545454|29
Shooting Star|Entity|NLY.US|11|0.5454545454545454|52
Shooting Star|Entity|O.US|11|0.5454545454545454|95
Shooting Star|Entity|EVRG.US|22|0.5454545454545454|98
Shooting Star|Entity|EWO.US|11|0.5454545454545454|105
Shooting Star|Entity|TXN.US|46|0.5434782608695652|42
Shooting Star|Entity|CTS.US|46|0.5434782608695652|85
Shooting Star|Entity|SWX.US|35|0.5428571428571428|79
Shooting Star|Entity|WPP.US|24|0.5416666666666666|40
Shooting Star|Entity|MU.US|26|0.5384615384615384|6
Shooting Star|Entity|CVLG.US|13|0.5384615384615384|24
Shooting Star|Entity|CLB.US|13|0.5384615384615384|29
Shooting Star|Industry|Building Materials|13|0.5384615384615384|34
Shooting Star|Entity|WFRD.US|26|0.5384615384615384|62
Shooting Star|Entity|SSD.US|13|0.5384615384615384|75
Shooting Star|Industry|Waste Management|41|0.5365853658536586|24
Shooting Star|Entity|CHH.US|15|0.5333333333333333|17
Shooting Star|Entity|TAP.US|177|0.5310734463276836|35
Shooting Star|Entity|JPM.US|98|0.5306122448979592|56
Shooting Star|Entity|AEP.US|66|0.5303030303030303|156
Shooting Star|Entity|SIJ.US|17|0.5294117647058824|15
Shooting Star|Entity|VTRS.US|34|0.5294117647058824|23
Shooting Star|Entity|AVNT.US|51|0.5294117647058824|42
Shooting Star|Entity|KAMN.US|34|0.5294117647058824|55
Shooting Star|Entity|PZT.US|17|0.5294117647058824|660
Shooting Star|Industry|Tobacco|70|0.5285714285714286|50
Shooting Star|Entity|BTI.US|70|0.5285714285714286|50
Shooting Star|Entity|AMD.US|36|0.5277777777777778|19
Shooting Star|Entity|CLH.US|36|0.5277777777777778|19
Shooting Star|Entity|AIN.US|36|0.5277777777777778|31
Shooting Star|Industry|Textile Manufacturing|36|0.5277777777777778|31
Shooting Star|Industry|Auto & Truck Dealerships|36|0.5277777777777778|32
Shooting Star|Entity|PNC.US|36|0.5277777777777778|69
Shooting Star|Entity|AU.US|19|0.5263157894736842|17
Shooting Star|Entity|NEM.US|38|0.5263157894736842|28
Shooting Star|Entity|WERN.US|40|0.525|37
Shooting Star|Entity|BIO-B.US|21|0.5238095238095238|38
Shooting Star|Entity|CCL.US|21|0.5238095238095238|40
Shooting Star|Entity|EGP.US|63|0.5238095238095238|92
Shooting Star|Entity|CMI.US|44|0.5227272727272727|61
Shooting Star|Entity|BKR.US|23|0.5217391304347826|24
Shooting Star|Entity|UIS.US|23|0.5217391304347826|25
Shooting Star|Entity|CFR.US|50|0.52|67
Shooting Star|Entity|PNM.US|75|0.52|71
Shooting Star|Entity|WINA.US|27|0.5185185185185185|37
Shooting Star|Entity|FBP.US|27|0.5185185185185185|42
Shooting Star|Entity|ODP.US|29|0.5172413793103449|10
Shooting Star|Entity|TJX.US|29|0.5172413793103449|29
Shooting Star|Entity|ARKR.US|29|0.5172413793103449|29
Shooting Star|Industry|Software - Infrastructure|120|0.5166666666666667|17
Shooting Star|Entity|ABEO.US|93|0.5161290322580645|13
Shooting Star|Industry|Trucking|31|0.5161290322580645|25
Shooting Star|Entity|MSEX.US|31|0.5161290322580645|200
Shooting Star|Entity|GTBP.US|33|0.5151515151515151|23
Shooting Star|Entity|SKYW.US|33|0.5151515151515151|32
Shooting Star|Industry|Oil & Gas Midstream|99|0.5151515151515151|74
Shooting Star|Industry|Metal Fabrication|101|0.5148514851485149|46
Shooting Star|Entity|MUX.US|35|0.5142857142857142|14
Shooting Star|Entity|LEE.US|35|0.5142857142857142|91
Shooting Star|Entity|CMCSA.US|39|0.5128205128205128|27
Shooting Star|Entity|DTE.US|80|0.5125|275
Shooting Star|Industry|Communication Equipment|125|0.512|21
Shooting Star|Entity|SKY.US|43|0.5116279069767442|68
Shooting Star|Entity|MMM.US|96|0.5104166666666666|92
Shooting Star|Entity|ANIX.US|196|0.5102040816326531|11
Shooting Star|Industry|Beverages - Non-Alcoholic|100|0.51|55
Shooting Star|Entity|CRS.US|51|0.5098039215686274|59
Shooting Star|Entity|SCX.US|53|0.5094339622641509|106
Shooting Star|Entity|TTC.US|57|0.5087719298245614|43
Shooting Star|Industry|Oil & Gas Equipment & Services|134|0.5074626865671642|39
Shooting Star|Entity|MTR.US|73|0.5068493150684932|87
Shooting Star|Entity|CBT.US|75|0.5066666666666667|49
Shooting Star|Industry|Entertainment|131|0.5038167938931297|38
Shooting Star|Entity|JAN.US|10|0.5|3
Shooting Star|Entity|HOLX.US|16|0.5|14
Shooting Star|Entity|GCO.US|34|0.5|16
Shooting Star|Entity|FCEL.US|12|0.5|16
Shooting Star|Entity|USAU.US|48|0.5|16
Shooting Star|Entity|FNV.US|12|0.5|17
Shooting Star|Entity|WGO.US|26|0.5|18
Shooting Star|Entity|OII.US|38|0.5|19
Shooting Star|Entity|TDW.US|46|0.5|19
Shooting Star|Entity|CNK.US|10|0.5|19
Shooting Star|Entity|CAR.US|54|0.5|20
Shooting Star|Entity|EOG.US|18|0.5|21
Shooting Star|Entity|ADI.US|32|0.5|21
Shooting Star|Entity|ASUR.US|14|0.5|25
Shooting Star|Entity|LIN.US|10|0.5|29
Shooting Star|Entity|AGCO.US|10|0.5|30
Shooting Star|Entity|SPB.US|34|0.5|31
Shooting Star|Entity|CAKE.US|10|0.5|36
Shooting Star|Entity|DIS.US|94|0.5|42
Shooting Star|Entity|RYAAY.US|14|0.5|42
Shooting Star|Entity|CSCO.US|18|0.5|43
Shooting Star|Entity|HEI.US|46|0.5|45
Shooting Star|Industry|Apparel Manufacturing|16|0.5|47
Shooting Star|Entity|OMC.US|44|0.5|50
Shooting Star|Entity|TLK.US|10|0.5|52
Shooting Star|Entity|HMN.US|12|0.5|53
Shooting Star|Entity|PRA.US|12|0.5|54
Shooting Star|Entity|AGX.US|10|0.5|57
Shooting Star|Entity|BDN.US|10|0.5|58
Shooting Star|Entity|RVTY.US|38|0.5|58
Shooting Star|Entity|TXT.US|72|0.5|64
Shooting Star|Entity|OLN.US|44|0.5|67
Shooting Star|Entity|MMLP.US|10|0.5|69
Shooting Star|Entity|VLT.US|28|0.5|72
Shooting Star|Entity|CL.US|46|0.5|79
Shooting Star|Entity|TNC.US|44|0.5|87
Shooting Star|Entity|RIO.US|24|0.5|94
Shooting Star|Entity|CFBK.US|10|0.5|137
Shooting Star|Entity|BHV.US|10|0.5|145
Shooting Star|Entity|PCG.US|64|0.5|174
Shooting Star|Entity|HYMB.US|10|0.5|1393
Shooting Star|Industry|REIT - Mortgage|111|0.4954954954954955|69
Shooting Star|Industry|Aluminum|101|0.49504950495049505|50
Shooting Star|Industry|Electronics & Computer Distribution|104|0.49038461538461536|31
Shooting Star|Entity|DD.US|51|0.49019607843137253|49
Shooting Star|Entity|HXL.US|45|0.4888888888888889|32
Shooting Star|Industry|Electronic Gaming & Multimedia|41|0.4878048780487805|21
Shooting Star|Entity|CNA.US|33|0.48484848484848486|71
Shooting Star|Entity|CP.US|29|0.4827586206896552|44
Shooting Star|Entity|PXD.US|29|0.4827586206896552|46
Shooting Star|Entity|GAM.US|85|0.4823529411764706|86
Shooting Star|Entity|BXMT.US|27|0.48148148148148145|60
Shooting Star|Entity|RRX.US|79|0.4810126582278481|35
Shooting Star|Entity|STZ.US|25|0.48|50
Shooting Star|Entity|AA.US|98|0.47959183673469385|53
Shooting Star|Industry|Oil & Gas Refining & Marketing|98|0.47959183673469385|63
Shooting Star|Entity|R.US|48|0.4791666666666667|49
Shooting Star|Industry|Diagnostics & Research|165|0.47878787878787876|26
Shooting Star|Entity|MGM.US|23|0.4782608695652174|32
Shooting Star|Industry|Railroads|46|0.4782608695652174|45
Shooting Star|Entity|DMLP.US|46|0.4782608695652174|74
Shooting Star|Entity|SBR.US|46|0.4782608695652174|90
Shooting Star|Entity|PSA.US|67|0.47761194029850745|75
Shooting Star|Entity|BH.US|44|0.4772727272727273|44
Shooting Star|Entity|CLDX.US|21|0.47619047619047616|10
Shooting Star|Industry|Semiconductors|126|0.47619047619047616|19
Shooting Star|Entity|MGA.US|21|0.47619047619047616|26
Shooting Star|Entity|HAL.US|63|0.47619047619047616|66
Shooting Star|Entity|PEG.US|21|0.47619047619047616|83
Shooting Star|Industry|Internet Content & Information|19|0.47368421052631576|13
Shooting Star|Industry|Food Distribution|19|0.47368421052631576|29
Shooting Star|Entity|MCY.US|38|0.47368421052631576|44
Shooting Star|Entity|ETN.US|76|0.47368421052631576|70
Shooting Star|Industry|Banks - Diversified|150|0.47333333333333333|51
Shooting Star|Industry|Aerospace & Defense|533|0.4727954971857411|45
Shooting Star|Entity|AVY.US|55|0.4727272727272727|60
Shooting Star|Sector|Communication Services|417|0.4724220623501199|49
Shooting Star|Entity|TT.US|36|0.4722222222222222|39
Shooting Star|Entity|PCAR.US|36|0.4722222222222222|57
Shooting Star|Industry|REIT - Industrial|89|0.47191011235955055|87
Shooting Star|Entity|ED.US|70|0.4714285714285714|197
Shooting Star|Entity|SDD.US|17|0.47058823529411764|16
Shooting Star|Entity|BHE.US|17|0.47058823529411764|26
Shooting Star|Industry|Furnishings, Fixtures & Appliances|136|0.47058823529411764|61
Shooting Star|Entity|UNP.US|32|0.46875|57
Shooting Star|Entity|TRP.US|79|0.46835443037974683|159
Shooting Star|Industry|Biotechnology|723|0.46749654218533887|11
Shooting Star|Entity|MDT.US|167|0.46706586826347307|33
Shooting Star|Entity|BLFS.US|15|0.4666666666666667|8
Shooting Star|Entity|DIOD.US|30|0.4666666666666667|12
Shooting Star|Entity|EPD.US|15|0.4666666666666667|29
Shooting Star|Entity|ARCB.US|15|0.4666666666666667|32
Shooting Star|Industry|Medical Care Facilities|150|0.4666666666666667|49
Shooting Star|Entity|SPGI.US|30|0.4666666666666667|62
Shooting Star|Entity|SJW.US|43|0.46511627906976744|138
Shooting Star|Entity|B.US|71|0.4647887323943662|149
Shooting Star|Entity|CRK.US|28|0.4642857142857143|17
Shooting Star|Entity|MOS.US|28|0.4642857142857143|49
Shooting Star|Entity|TCI.US|41|0.4634146341463415|49
Shooting Star|Entity|SSP.US|41|0.4634146341463415|61
Shooting Star|Entity|TM.US|341|0.4633431085043988|68
Shooting Star|Entity|EDZ.US|13|0.46153846153846156|8
Shooting Star|Entity|FCFS.US|13|0.46153846153846156|15
Shooting Star|Entity|DHIL.US|13|0.46153846153846156|22
Shooting Star|Entity|EPV.US|13|0.46153846153846156|23
Shooting Star|Entity|JBSS.US|26|0.46153846153846156|27
Shooting Star|Entity|VLGEA.US|13|0.46153846153846156|30
Shooting Star|Entity|SAFE.US|13|0.46153846153846156|42
Shooting Star|Entity|ABT.US|39|0.46153846153846156|47
Shooting Star|Entity|ESS.US|13|0.46153846153846156|50
Shooting Star|Entity|EDV.US|13|0.46153846153846156|55
Shooting Star|Entity|NWLI.US|26|0.46153846153846156|56
Shooting Star|Entity|KEX.US|63|0.4603174603174603|30
Shooting Star|Entity|WBS.US|37|0.4594594594594595|61
Shooting Star|Entity|C.US|24|0.4583333333333333|55
Shooting Star|Entity|ROK.US|35|0.45714285714285713|46
Shooting Star|Entity|DLX.US|70|0.45714285714285713|59
Shooting Star|Entity|TKR.US|35|0.45714285714285713|96
Shooting Star|Entity|GT.US|81|0.4567901234567901|73
Shooting Star|Entity|GOLD.US|46|0.45652173913043476|30
Shooting Star|Entity|BK.US|57|0.45614035087719296|94
Shooting Star|Industry|Specialty Chemicals|450|0.45555555555555555|43
Shooting Star|Entity|TWM.US|11|0.45454545454545453|19
Shooting Star|Entity|SDS.US|11|0.45454545454545453|20
Shooting Star|Entity|CIGI.US|11|0.45454545454545453|21
Shooting Star|Entity|HAE.US|11|0.45454545454545453|22
Shooting Star|Entity|MAT.US|33|0.45454545454545453|28
Shooting Star|Entity|HUM.US|33|0.45454545454545453|40
Shooting Star|Entity|COP.US|33|0.45454545454545453|40
Shooting Star|Entity|APD.US|33|0.45454545454545453|45
Shooting Star|Industry|Staffing & Employment Services|44|0.45454545454545453|45
Shooting Star|Entity|CHDN.US|11|0.45454545454545453|57
Shooting Star|Entity|EPR.US|11|0.45454545454545453|67
Shooting Star|Entity|SEF.US|11|0.45454545454545453|73
Shooting Star|Entity|RWM.US|11|0.45454545454545453|85
Shooting Star|Entity|DOG.US|11|0.45454545454545453|105
Shooting Star|Entity|HOV.US|42|0.4523809523809524|16
Shooting Star|Industry|Telecom Services|133|0.45112781954887216|70
Shooting Star|Entity|DRS.US|20|0.45|17
Shooting Star|Entity|EFU.US|20|0.45|44
Shooting Star|Entity|TSN.US|40|0.45|45
Shooting Star|Entity|WBA.US|40|0.45|51
Shooting Star|Entity|EXC.US|40|0.45|61
Shooting Star|Entity|LRCX.US|38|0.4473684210526316|19
Shooting Star|Industry|Gold|313|0.4472843450479233|32
Shooting Star|Entity|AEM.US|179|0.44692737430167595|35
Shooting Star|Entity|NUE.US|47|0.44680851063829785|56
Shooting Star|Industry|Electronic Components|139|0.4460431654676259|49
Shooting Star|Sector|Basic Materials|1086|0.44567219152854515|43
Shooting Star|Entity|JHI.US|92|0.44565217391304346|268
Shooting Star|Sector|Energy|1048|0.4446564885496183|53
Shooting Star|Entity|ADBE.US|36|0.4444444444444444|13
Shooting Star|Industry|Residential Construction|63|0.4444444444444444|14
Shooting Star|Entity|MZZ.US|18|0.4444444444444444|15
Shooting Star|Industry|Internet Retail|18|0.4444444444444444|22
Shooting Star|Entity|HURC.US|108|0.4444444444444444|36
Shooting Star|Entity|RPM.US|36|0.4444444444444444|43
Shooting Star|Entity|THC.US|45|0.4444444444444444|49
Shooting Star|Entity|CNP.US|99|0.4444444444444444|153
Shooting Star|Entity|TVC.US|18|0.4444444444444444|486
Shooting Star|Industry|Airlines|79|0.4430379746835443|35
Shooting Star|Entity|PCH.US|34|0.4411764705882353|49
Shooting Star|Sector|Healthcare|2079|0.44107744107744107|29
Shooting Star|Entity|AME.US|25|0.44|48
Shooting Star|Entity|GSK.US|25|0.44|69
Shooting Star|Entity|PNW.US|75|0.44|171
Shooting Star|Industry|Advertising Agencies|89|0.43820224719101125|55
Shooting Star|Sector|Technology|1537|0.4378659726740403|31
Shooting Star|Entity|STAA.US|16|0.4375|16
Shooting Star|Entity|AVT.US|64|0.4375|37
Shooting Star|Entity|VOD.US|32|0.4375|40
Shooting Star|Entity|ABM.US|48|0.4375|74
Shooting Star|Entity|TGT.US|55|0.43636363636363634|69
Shooting Star|Entity|CACI.US|147|0.43537414965986393|18
Shooting Star|Entity|CAT.US|92|0.43478260869565216|67
Shooting Star|Entity|DE.US|53|0.4339622641509434|43
Shooting Star|Entity|PII.US|30|0.43333333333333335|23
Shooting Star|Entity|CPF.US|30|0.43333333333333335|54
Shooting Star|Entity|CVX.US|97|0.4329896907216495|67
Shooting Star|Entity|SWK.US|37|0.43243243243243246|45
Shooting Star|Entity|SNA.US|44|0.4318181818181818|52
Shooting Star|Entity|IDA.US|44|0.4318181818181818|127
Shooting Star|Entity|AAPL.US|58|0.43103448275862066|22
Shooting Star|Entity|CAMP.US|35|0.42857142857142855|7
Shooting Star|Entity|SSG.US|14|0.42857142857142855|14
Shooting Star|Industry|Consumer Electronics|63|0.42857142857142855|21
Shooting Star|Entity|PHM.US|56|0.42857142857142855|21
Shooting Star|Entity|CDNS.US|28|0.42857142857142855|21
Shooting Star|Entity|CRVL.US|21|0.42857142857142855|36
Shooting Star|Entity|ROST.US|28|0.42857142857142855|38
Shooting Star|Entity|ALK.US|56|0.42857142857142855|42
Shooting Star|Entity|IMKTA.US|28|0.42857142857142855|48
Shooting Star|Entity|PHG.US|49|0.42857142857142855|53
Shooting Star|Industry|Paper & Paper Products|63|0.42857142857142855|79
Shooting Star|Entity|TLH.US|14|0.42857142857142855|512
Shooting Star|Entity|KELYA.US|47|0.425531914893617|69
Shooting Star|Entity|MKC.US|47|0.425531914893617|70
Shooting Star|Entity|QMCO.US|40|0.425|19
Shooting Star|Entity|SF.US|40|0.425|36
Shooting Star|Entity|NEWT.US|106|0.42452830188679247|15
Shooting Star|Entity|EPAC.US|26|0.4230769230769231|42
Shooting Star|Industry|Asset Management|435|0.42298850574712643|87
