Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Shooting Star|Industry|PIPE LINES (NO NATURAL GAS)|14|0.7857142857142857|147
Shooting Star|Industry|SHORT-TERM BUSINESS CREDIT INSTITUTIONS|12|0.75|168
Shooting Star|Industry|TELEVISION BROADCASTING STATIONS|12|0.75|201
Shooting Star|Entity|NORD|10|0.7|106
Shooting Star|Industry|PUMPS & PUMPING EQUIPMENT|15|0.6666666666666666|106
Shooting Star|Industry|SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC|17|0.6470588235294118|128
Shooting Star|Industry|TRUCKING (NO LOCAL)|31|0.6451612903225806|149
Shooting Star|Industry|TRANSPORTATION SERVICES|11|0.6363636363636364|112
Shooting Star|Entity|PYZ|10|0.6|194
Shooting Star|Industry|WHOLESALE-GROCERIES, GENERAL LINE|12|0.5833333333333334|157
Shooting Star|Industry|MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES|12|0.5833333333333334|200
Shooting Star|Industry|SERVICES-COMPUTER PROGRAMMING SERVICES|24|0.5833333333333334|220
Shooting Star|Industry|MISCELLANEOUS MANUFACTURING INDUSTRIES|12|0.5833333333333334|227
Shooting Star|Entity|MITTpB|12|0.5833333333333334|278
Shooting Star|Entity|PSK|14|0.5714285714285714|246
Shooting Star|Industry|NATURAL GAS TRANSMISSION|25|0.56|104
Shooting Star|Industry|AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC|11|0.5454545454545454|48
Shooting Star|Industry|PHOTOGRAPHIC EQUIPMENT & SUPPLIES|13|0.5384615384615384|47
Shooting Star|Industry|COMPUTER COMMUNICATIONS EQUIPMENT|15|0.5333333333333333|195
Shooting Star|Industry|HOUSEHOLD FURNITURE|15|0.5333333333333333|214
Shooting Star|Industry|OIL & GAS FIELD MACHINERY & EQUIPMENT|12|0.5|73
Shooting Star|Industry|RETAIL-APPAREL & ACCESSORY STORES|20|0.5|127
Shooting Star|Industry|SERVICES-PERSONAL SERVICES|22|0.5|148
Shooting Star|Industry|METALWORKG MACHINERY & EQUIPMENT|10|0.5|184
Shooting Star|Industry|PRINTED CIRCUIT BOARDS|10|0.5|243
Shooting Star|Industry|PETROLEUM REFINING|31|0.4838709677419355|105
Shooting Star|Industry|AIR TRANSPORTATION, SCHEDULED|38|0.47368421052631576|106
Shooting Star|Industry|CABLE & OTHER PAY TELEVISION SERVICES|19|0.47368421052631576|173
Shooting Star|Industry|PERSONAL CREDIT INSTITUTIONS|17|0.47058823529411764|187
Shooting Star|Industry|GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS|15|0.4666666666666667|221
Shooting Star|Industry|PHARMACEUTICAL PREPARATIONS|155|0.45806451612903226|78
Shooting Star|Industry|SERVICES-EDUCATIONAL SERVICES|11|0.45454545454545453|75
Shooting Star|Industry|SEARCH, DETECTION, NAVAGATION, GUIDANCE, AERONAUTICAL SYS|11|0.45454545454545453|222
Shooting Star|Industry|COMMERCIAL BANKS, NEC|11|0.45454545454545453|223
Shooting Star|Entity|BCV|11|0.45454545454545453|309
Shooting Star|Industry|RETAIL-AUTO DEALERS & GASOLINE STATIONS|44|0.4318181818181818|173
Shooting Star|Industry|STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)|21|0.42857142857142855|94
Shooting Star|Industry|COMPUTER STORAGE DEVICES|14|0.42857142857142855|200
Shooting Star|Industry|OPERATIVE BUILDERS|21|0.42857142857142855|207
Shooting Star|Industry|INVESTMENT ADVICE|77|0.4155844155844156|150
Shooting Star|Industry|LIFE INSURANCE|58|0.41379310344827586|252
Shooting Star|Industry|ACCIDENT & HEALTH INSURANCE|22|0.4090909090909091|226
Shooting Star|Industry|MOTOR VEHICLE PARTS & ACCESSORIES|54|0.4074074074074074|169
Shooting Star|Industry|OIL & GAS FIELD SERVICES, NEC|10|0.4|60
Shooting Star|Industry|RETAIL-SHOE STORES|10|0.4|139
Shooting Star|Industry|AIR COURIER SERVICES|15|0.4|164
Shooting Star|Industry|ELECTRONIC COMPUTERS|10|0.4|166
Shooting Star|Entity|ENZL|10|0.4|203
Shooting Star|Industry|RETAIL-RETAIL STORES, NEC|13|0.38461538461538464|117
Shooting Star|Industry|ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS|16|0.375|164
Shooting Star|Industry|CRUDE PETROLEUM & NATURAL GAS|46|0.3695652173913043|94
Shooting Star|Industry|RETAIL-VARIETY STORES|46|0.3695652173913043|194
Shooting Star|Industry|SERVICES-AUTO RENTAL & LEASING (NO DRIVERS)|19|0.3684210526315789|83
Shooting Star|Entity|ECNS|11|0.36363636363636365|80
Shooting Star|Industry|RAILROADS, LINE-HAUL OPERATING|11|0.36363636363636365|184
Shooting Star|Industry|ENGINES & TURBINES|11|0.36363636363636365|231
Shooting Star|Industry|CHEMICALS & ALLIED PRODUCTS|14|0.35714285714285715|86
Shooting Star|Industry|REAL ESTATE AGENTS & MANAGERS (FOR OTHERS)|14|0.35714285714285715|97
Shooting Star|Industry|SERVICES-ENGINEERING SERVICES|17|0.35294117647058826|132
Shooting Star|Industry|ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS|17|0.35294117647058826|204
Shooting Star|Industry|WATER, SEWER, PIPELINE, COMM & POWER LINE CONSTRUCTION|21|0.3333333333333333|73
Shooting Star|Industry|RETAIL-CATALOG & MAIL-ORDER HOUSES|15|0.3333333333333333|127
Shooting Star|Industry|SERVICES-PREPACKAGED SOFTWARE|123|0.3333333333333333|131
Shooting Star|Industry|TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE)|15|0.3333333333333333|192
Shooting Star|Industry|RETAIL-DEPARTMENT STORES|22|0.3181818181818182|105
Shooting Star|Industry|HOTELS & MOTELS|22|0.3181818181818182|132
Shooting Star|Industry|WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES|22|0.3181818181818182|270
Shooting Star|Industry|RETAIL-EATING PLACES|85|0.3176470588235294|134
Shooting Star|Industry|RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT|19|0.3157894736842105|116
Shooting Star|Industry|CONSTRUCTION MACHINERY & EQUIP|16|0.3125|114
Shooting Star|Industry|SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN|26|0.3076923076923077|164
Shooting Star|Entity|IGM|13|0.3076923076923077|225
Shooting Star|Industry|SERVICES-MANAGEMENT SERVICES|13|0.3076923076923077|270
Shooting Star|Entity|OMAB|10|0.3|101
Shooting Star|Industry|DRAWING & INSULATING OF NONFERROUS WIRE|10|0.3|197
Shooting Star|Industry|RADIO BROADCASTING STATIONS|10|0.3|243
Shooting Star|Entity|SGA|10|0.3|243
Shooting Star|Industry|FINANCE SERVICES|17|0.29411764705882354|217
Shooting Star|Industry|RETAIL-GROCERY STORES|24|0.2916666666666667|125
Shooting Star|Industry|CUTLERY, HANDTOOLS & GENERAL HARDWARE|24|0.2916666666666667|219
Shooting Star|Industry|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)|31|0.2903225806451613|137
Shooting Star|Industry|SEMICONDUCTORS & RELATED DEVICES|73|0.2876712328767123|69
Shooting Star|Industry|PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS|35|0.2857142857142857|81
Shooting Star|Industry|PLASTICS PRODUCTS, NEC|28|0.2857142857142857|106
Shooting Star|Industry|INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL|21|0.2857142857142857|167
Shooting Star|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|129|0.27906976744186046|156
Shooting Star|Industry|STEEL WORKS, BLAST FURNACES & ROLLING & FINISHING MILLS|18|0.2777777777777778|73
Shooting Star|Overall|All|9706|0.27611786523799714|169
Shooting Star|Industry|RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS|11|0.2727272727272727|61
Shooting Star|Entity|TWN|11|0.2727272727272727|84
Shooting Star|Industry|FOOTWEAR, (NO RUBBER)|11|0.2727272727272727|116
Shooting Star|Industry|OPTICAL INSTRUMENTS & LENSES|11|0.2727272727272727|116
Shooting Star|Industry|SERVICES-MEDICAL LABORATORIES|11|0.2727272727272727|131
Shooting Star|Industry|RETAIL-MISCELLANEOUS RETAIL|11|0.2727272727272727|141
Shooting Star|Entity|EEMA|11|0.2727272727272727|224
Shooting Star|Industry|RETAIL-JEWELRY STORES|11|0.2727272727272727|320
Shooting Star|Industry|WHOLESALE-MISC DURABLE GOODS|15|0.26666666666666666|38
Shooting Star|Industry|SERVICES-HELP SUPPLY SERVICES|23|0.2608695652173913|270
Shooting Star|Industry|OIL ROYALTY TRADERS|16|0.25|61
Shooting Star|Industry|HOSPITAL & MEDICAL SERVICE PLANS|20|0.25|115
Shooting Star|Industry|WATER TRANSPORTATION|16|0.25|118
Shooting Star|Industry|WHOLESALE-COMPUTERS & PERIPHERAL EQUIPMENT & SOFTWARE|16|0.25|122
Shooting Star|Industry|PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS|12|0.25|176
Shooting Star|Industry|LUMBER & WOOD PRODUCTS (NO FURNITURE)|12|0.25|187
