Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Shooting Star|Entity|WPS|10|0.9|132
Shooting Star|Industry|PIPE LINES (NO NATURAL GAS)|14|0.8571428571428571|89
Shooting Star|Industry|SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC|17|0.8235294117647058|65
Shooting Star|Industry|OIL & GAS FIELD MACHINERY & EQUIPMENT|12|0.75|21
Shooting Star|Industry|TELEVISION BROADCASTING STATIONS|12|0.75|75
Shooting Star|Industry|TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE)|15|0.7333333333333333|60
Shooting Star|Industry|WHOLESALE-CHEMICALS & ALLIED PRODUCTS|10|0.7|76
Shooting Star|Entity|BMLpJ|10|0.7|108
Shooting Star|Entity|PYZ|10|0.7|109
Shooting Star|Industry|SERVICES-AUTO RENTAL & LEASING (NO DRIVERS)|19|0.6842105263157895|49
Shooting Star|Industry|CABLE & OTHER PAY TELEVISION SERVICES|19|0.6842105263157895|79
Shooting Star|Industry|STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)|21|0.6666666666666666|29
Shooting Star|Industry|PUMPS & PUMPING EQUIPMENT|15|0.6666666666666666|42
Shooting Star|Industry|HOUSEHOLD FURNITURE|15|0.6666666666666666|102
Shooting Star|Industry|AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC|11|0.6363636363636364|33
Shooting Star|Entity|IEUS|11|0.6363636363636364|82
Shooting Star|Industry|TRUCKING (NO LOCAL)|31|0.6129032258064516|43
Shooting Star|Industry|ELECTRONIC COMPUTERS|10|0.6|25
Shooting Star|Industry|TELEPHONE & TELEGRAPH APPARATUS|10|0.6|36
Shooting Star|Industry|RADIO BROADCASTING STATIONS|10|0.6|46
Shooting Star|Entity|SGA|10|0.6|46
Shooting Star|Industry|METALWORKG MACHINERY & EQUIPMENT|10|0.6|50
Shooting Star|Industry|COMPUTER COMMUNICATIONS EQUIPMENT|15|0.6|82
Shooting Star|Entity|MVT|10|0.6|90
Shooting Star|Industry|WHOLESALE-GROCERIES, GENERAL LINE|12|0.5833333333333334|74
Shooting Star|Industry|MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES|12|0.5833333333333334|95
Shooting Star|Entity|MITTpB|12|0.5833333333333334|177
Shooting Star|Industry|SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN|26|0.5769230769230769|64
Shooting Star|Entity|PSK|14|0.5714285714285714|246
Shooting Star|Industry|WHOLESALE-COMPUTERS & PERIPHERAL EQUIPMENT & SOFTWARE|16|0.5625|44
Shooting Star|Industry|SERVICES-EDUCATIONAL SERVICES|11|0.5454545454545454|32
Shooting Star|Industry|TRANSPORTATION SERVICES|11|0.5454545454545454|32
Shooting Star|Industry|FOOTWEAR, (NO RUBBER)|11|0.5454545454545454|42
Shooting Star|Entity|TWN|11|0.5454545454545454|46
Shooting Star|Industry|RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS|11|0.5454545454545454|58
Shooting Star|Industry|SERVICES-PERSONAL SERVICES|22|0.5454545454545454|72
Shooting Star|Industry|ENGINES & TURBINES|11|0.5454545454545454|89
Shooting Star|Entity|GABpH|11|0.5454545454545454|180
Shooting Star|Industry|SERVICES-COMPUTER PROGRAMMING SERVICES|24|0.5416666666666666|37
Shooting Star|Industry|ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS|17|0.5294117647058824|105
Shooting Star|Industry|OPERATIVE BUILDERS|21|0.5238095238095238|71
Shooting Star|Industry|RETAIL-AUTO DEALERS & GASOLINE STATIONS|44|0.5227272727272727|79
Shooting Star|Industry|NATURAL GAS TRANSMISSION|25|0.52|34
Shooting Star|Industry|INVESTMENT ADVICE|77|0.5194805194805194|82
Shooting Star|Industry|PETROLEUM REFINING|31|0.5161290322580645|34
Shooting Star|Industry|PHARMACEUTICAL PREPARATIONS|155|0.5096774193548387|35
Shooting Star|Entity|OMAB|10|0.5|25
Shooting Star|Industry|LUMBER & WOOD PRODUCTS (NO FURNITURE)|12|0.5|35
Shooting Star|Industry|SHORT-TERM BUSINESS CREDIT INSTITUTIONS|12|0.5|36
Shooting Star|Industry|MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS|10|0.5|40
Shooting Star|Industry|REAL ESTATE AGENTS & MANAGERS (FOR OTHERS)|14|0.5|50
Shooting Star|Entity|NORD|10|0.5|52
Shooting Star|Industry|COMPUTER STORAGE DEVICES|14|0.5|56
Shooting Star|Industry|ACCIDENT & HEALTH INSURANCE|22|0.5|59
Shooting Star|Industry|MISCELLANEOUS MANUFACTURING INDUSTRIES|12|0.5|62
Shooting Star|Industry|PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS|12|0.5|85
Shooting Star|Entity|ENZL|10|0.5|128
Shooting Star|Entity|EMCB|10|0.5|252
Shooting Star|Industry|PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS|35|0.4857142857142857|29
Shooting Star|Industry|LIFE INSURANCE|58|0.4827586206896552|68
Shooting Star|Industry|RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT|19|0.47368421052631576|70
Shooting Star|Industry|COMMODITY CONTRACTS BROKERS & DEALERS|129|0.4728682170542636|66
Shooting Star|Industry|PERSONAL CREDIT INSTITUTIONS|17|0.47058823529411764|21
Shooting Star|Industry|FINANCE SERVICES|17|0.47058823529411764|38
Shooting Star|Industry|RETAIL-EATING PLACES|85|0.47058823529411764|61
Shooting Star|Industry|GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS|15|0.4666666666666667|56
