Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Shooting Star|A|LABORATORY ANALYTICAL INSTRUMENTS||10/22/2015|Close|36.0900|11/23/2015|High|40.0700||||Up|22|32
Shooting Star|A|LABORATORY ANALYTICAL INSTRUMENTS||10/30/2015|Close|37.7600|11/27/2015|High|42.2000||||Up|20|28
Shooting Star|A|LABORATORY ANALYTICAL INSTRUMENTS||5/11/2016|Close|42.4600|7/13/2016|High|46.8200||||Up|45|63
Shooting Star|A|LABORATORY ANALYTICAL INSTRUMENTS||10/10/2016|Close|47.6900||||12/1/2016|Low|42.9200|Down|38|52
Shooting Star|A|LABORATORY ANALYTICAL INSTRUMENTS||11/16/2016|Close|46.1800|||||||||
Shooting Star|AA|PRIMARY PRODUCTION OF ALUMINUM||11/30/2015|Close|28.0800|4/19/2016|High|31.5900|1/7/2016|Low|24.6900|Down|28|38
Shooting Star|AADR|||6/10/2016|Close|38.5000|10/25/2016|High|42.4864||||Up|97|137
Shooting Star|AADR|||10/19/2016|Close|41.3500|||||||||
Shooting Star|AAL|AIR TRANSPORTATION, SCHEDULED||11/17/2014|Close|43.6900|11/28/2014|High|49.4500|6/8/2015|Low|39.2700|Up|9|11
Shooting Star|AAL|AIR TRANSPORTATION, SCHEDULED||3/21/2016|Close|43.4700|12/7/2016|High|48.9350|4/5/2016|Low|38.7400|Down|11|15
Shooting Star|AAL|AIR TRANSPORTATION, SCHEDULED||11/22/2016|Close|46.0800|||||||||
Shooting Star|AAMC|REAL ESTATE||6/6/2016|Close|24.3700|10/10/2016|High|28.1620|6/7/2016|Low|21.1200|Down|1|1
Shooting Star|AAMC|REAL ESTATE||9/19/2016|Close|14.4600|9/21/2016|High|16.6299||||Up|2|2
Shooting Star|AAN|SERVICES-EQUIPMENT RENTAL & LEASING, NEC||11/4/2014|Close|24.9800|11/12/2014|High|27.6800|12/10/2015|Low|22.2200|Up|6|8
Shooting Star|AAN|SERVICES-EQUIPMENT RENTAL & LEASING, NEC||3/4/2016|Close|23.4700|4/4/2016|High|26.0500|6/27/2016|Low|20.5050|Up|21|31
Shooting Star|AAN|SERVICES-EQUIPMENT RENTAL & LEASING, NEC||4/7/2016|Close|25.8200|11/16/2016|High|28.7600|5/19/2016|Low|23.1310|Down|30|42
Shooting Star|AAN|SERVICES-EQUIPMENT RENTAL & LEASING, NEC||7/12/2016|Close|23.8700|11/9/2016|High|26.3725||||Up|86|120
Shooting Star|AAOI|SEMICONDUCTORS & RELATED DEVICES||4/27/2015|Close|14.8700|5/22/2015|High|16.9600|5/4/2015|Low|13.3600|Down|5|7
