Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Shooting Star|A|LABORATORY ANALYTICAL INSTRUMENTS||5/11/2016|Close|42.4600|||||||||
Shooting Star|A|LABORATORY ANALYTICAL INSTRUMENTS||10/10/2016|Close|47.6900|||||||||
Shooting Star|A|LABORATORY ANALYTICAL INSTRUMENTS||11/16/2016|Close|46.1800|||||||||
Shooting Star|AADR|||6/10/2016|Close|38.5000|||||||||
Shooting Star|AADR|||10/19/2016|Close|41.3500|||||||||
Shooting Star|AAL|AIR TRANSPORTATION, SCHEDULED||3/21/2016|Close|43.4700||||4/29/2016|Low|34.1000|Down|29|39
Shooting Star|AAL|AIR TRANSPORTATION, SCHEDULED||11/22/2016|Close|46.0800|||||||||
Shooting Star|AAMC|REAL ESTATE||6/6/2016|Close|24.3700|10/11/2016|High|33.9499|6/10/2016|Low|18.9300|Down|4|4
Shooting Star|AAOI|SEMICONDUCTORS & RELATED DEVICES||4/27/2015|Close|14.8700|5/26/2015|High|19.3500|1/20/2016|Low|11.3400|Up|21|29
Shooting Star|AAON|AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP||2/29/2016|Close|24.8000|10/4/2016|High|29.9800||||Up|156|218
Shooting Star|AAP|RETAIL-AUTO & HOME SUPPLY STORES||7/23/2015|Close|168.3900||||2/11/2016|Low|131.5900|Down|145|203
Shooting Star|AAP|RETAIL-AUTO & HOME SUPPLY STORES||11/28/2016|Close|170.7700|||||||||
Shooting Star|AAPL|ELECTRONIC COMPUTERS||11/28/2016|Close|111.5700|||||||||
Shooting Star|AAT|REAL ESTATE INVESTMENT TRUSTS||10/20/2015|Close|43.3800||||2/9/2016|Low|34.5100|Down|80|112
Shooting Star|AAT|REAL ESTATE INVESTMENT TRUSTS||6/29/2016|Close|41.9400|||||||||
Shooting Star|AAT|REAL ESTATE INVESTMENT TRUSTS||7/6/2016|Close|42.9400|||||||||
Shooting Star|AAXJ|||3/30/2016|Close|54.8500|||||||||
Shooting Star|AB|INVESTMENT ADVICE||4/20/2015|Close|31.5900||||1/13/2016|Low|19.5000|Down|192|268
Shooting Star|AB|INVESTMENT ADVICE||10/13/2015|Close|26.5100|6/4/2015|High|32.2350|1/28/2016|Low|18.2300|Up|-93|-131
Shooting Star|ABBV|PHARMACEUTICAL PREPARATIONS||4/15/2015|Close|62.0300||||10/22/2015|Low|45.4500|Down|136|190
Shooting Star|ABBV|PHARMACEUTICAL PREPARATIONS||5/26/2015|Close|66.1000||||9/28/2015|Low|52.3401|Down|89|125
Shooting Star|ABBV|PHARMACEUTICAL PREPARATIONS||6/9/2015|Close|67.6700||||8/24/2015|Low|53.8700|Down|54|76
Shooting Star|ABBV|PHARMACEUTICAL PREPARATIONS||8/15/2016|Close|67.3900|||||||||
Shooting Star|ABCB|STATE COMMERCIAL BANKS||6/8/2015|Close|25.8200|10/28/2015|High|32.7500||||Up|102|142
Shooting Star|ABCB|STATE COMMERCIAL BANKS||3/18/2016|Close|29.4300|9/6/2016|High|35.4100||||Up|122|172
Shooting Star|ABCB|STATE COMMERCIAL BANKS||10/4/2016|Close|35.1900|11/11/2016|High|42.7000||||Up|28|38
Shooting Star|ABCB|STATE COMMERCIAL BANKS||10/12/2016|Close|35.9000|11/14/2016|High|43.9000||||Up|23|33
Shooting Star|ABG|RETAIL-AUTO DEALERS & GASOLINE STATIONS||6/8/2015|Close|89.3800||||8/24/2015|Low|70.7311|Down|55|77
Shooting Star|ABG|RETAIL-AUTO DEALERS & GASOLINE STATIONS||12/1/2016|Close|58.6000|||||||||
Shooting Star|ABM|SERVICES-TO DWELLINGS & OTHER BUILDINGS||8/23/2016|Close|38.3500|||||||||
Shooting Star|ABT|PHARMACEUTICAL PREPARATIONS||2/27/2015|Close|47.3700||||1/28/2016|Low|36.0000|Down|239|335
Shooting Star|ABT|PHARMACEUTICAL PREPARATIONS||5/18/2015|Close|48.8400||||9/28/2015|Low|39.0000|Down|95|133
Shooting Star|ABT|PHARMACEUTICAL PREPARATIONS||7/24/2015|Close|51.0500||||9/25/2015|Low|40.4185|Down|45|63
Shooting Star|ABT|PHARMACEUTICAL PREPARATIONS||7/11/2016|Close|42.1200|||||||||
Shooting Star|ACAD|PHARMACEUTICAL PREPARATIONS||4/17/2015|Close|38.0300|7/14/2015|High|49.2400|9/28/2015|Low|30.4100|Up|62|88
Shooting Star|ACAD|PHARMACEUTICAL PREPARATIONS||4/14/2016|Close|33.7900|6/6/2016|High|40.7300|5/5/2016|Low|26.5600|Down|15|21
Shooting Star|ACAD|PHARMACEUTICAL PREPARATIONS||7/21/2016|Close|36.0600||||10/4/2016|Low|28.4000|Down|53|75
Shooting Star|ACET|PHARMACEUTICAL PREPARATIONS||7/19/2016|Close|25.1600||||8/26/2016|Low|19.7201|Down|28|38
Shooting Star|ACET|PHARMACEUTICAL PREPARATIONS||8/25/2016|Close|25.6900||||8/26/2016|Low|19.7201|Down|1|1
Shooting Star|ACGL|FIRE, MARINE & CASUALTY INSURANCE||9/17/2015|Close|70.4100|9/27/2016|High|85.1550||||Up|268|376
Shooting Star|ACGL|FIRE, MARINE & CASUALTY INSURANCE||9/30/2015|Close|73.4700|||||||||
Shooting Star|ACGL|FIRE, MARINE & CASUALTY INSURANCE||9/27/2016|Close|80.2600|||||||||
Shooting Star|ACHC|SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC||4/13/2015|Close|72.7200||||10/22/2015|Low|54.4100|Down|138|192
Shooting Star|ACIW|SERVICES-PREPACKAGED SOFTWARE||5/8/2015|Close|23.4900||||1/13/2016|Low|18.5200|Down|178|250
Shooting Star|ACIW|SERVICES-PREPACKAGED SOFTWARE||10/24/2016|Close|19.8300||||11/3/2016|Low|15.1100|Down|8|10
Shooting Star|ACM|SERVICES-ENGINEERING SERVICES||12/2/2015|Close|32.0600|12/6/2016|High|38.5800|1/19/2016|Low|25.4100|Down|34|48
Shooting Star|ACM|SERVICES-ENGINEERING SERVICES||5/12/2016|Close|32.5300|12/7/2016|High|39.0500||||Up|149|209
Shooting Star|ACM|SERVICES-ENGINEERING SERVICES||7/14/2016|Close|34.2800||||10/13/2016|Low|27.3300|Down|65|91
Shooting Star|ACM|SERVICES-ENGINEERING SERVICES||11/10/2016|Close|32.2100|12/7/2016|High|39.0500||||Up|19|27
Shooting Star|ACN|SERVICES-BUSINESS SERVICES, NEC||7/31/2015|Close|103.1100|9/29/2016|High|124.9600||||Up|304|426
Shooting Star|ACN|SERVICES-BUSINESS SERVICES, NEC||8/4/2015|Close|103.4200|9/29/2016|High|124.9600||||Up|302|422
Shooting Star|ACN|SERVICES-BUSINESS SERVICES, NEC||10/9/2015|Close|104.7800|||||||||
Shooting Star|ACN|SERVICES-BUSINESS SERVICES, NEC||12/2/2015|Close|107.5900|||||||||
Shooting Star|ACN|SERVICES-BUSINESS SERVICES, NEC||3/31/2016|Close|115.4000|||||||||
Shooting Star|ACN|SERVICES-BUSINESS SERVICES, NEC||6/20/2016|Close|119.0500|||||||||
Shooting Star|ACN|SERVICES-BUSINESS SERVICES, NEC||9/29/2016|Close|121.6400|||||||||
Shooting Star|ACN|SERVICES-BUSINESS SERVICES, NEC||9/30/2016|Close|122.1700|||||||||
Shooting Star|ACNB|STATE COMMERCIAL BANKS||2/8/2016|Close|21.8000|8/8/2016|High|26.1600||||Up|130|182
Shooting Star|ACNB|STATE COMMERCIAL BANKS||3/15/2016|Close|22.0500|8/9/2016|High|26.7600||||Up|105|147
Shooting Star|ACNB|STATE COMMERCIAL BANKS||6/23/2016|Close|24.6900|11/10/2016|High|30.0000||||Up|100|140
Shooting Star|ACNB|STATE COMMERCIAL BANKS||6/24/2016|Close|24.2900|11/10/2016|High|30.0000||||Up|99|139
Shooting Star|ACNB|STATE COMMERCIAL BANKS||8/10/2016|Close|26.0700|11/11/2016|High|31.5500||||Up|67|93
Shooting Star|ACNB|STATE COMMERCIAL BANKS||10/27/2016|Close|26.7000|11/22/2016|High|32.2500||||Up|18|26
Shooting Star|ACU|CUTLERY, HANDTOOLS & GENERAL HARDWARE||6/20/2016|Close|18.3900|7/22/2016|High|22.1899||||Up|24|32
Shooting Star|ACU|CUTLERY, HANDTOOLS & GENERAL HARDWARE||9/6/2016|Close|21.0000|||||||||
Shooting Star|ACWI|||6/22/2015|Close|62.1600||||1/20/2016|Low|49.0900|Down|152|212
Shooting Star|ACWI|||6/7/2016|Close|57.9200|||||||||
Shooting Star|ACWX|||4/7/2015|Close|45.9400||||1/11/2016|Low|36.5500|Down|199|279
Shooting Star|ACWX|||4/27/2015|Close|47.6850||||8/24/2015|Low|37.9508|Down|85|119
Shooting Star|ACWX|||6/7/2016|Close|41.0300|||||||||
Shooting Star|ADBE|SERVICES-PREPACKAGED SOFTWARE||11/12/2015|Close|90.8400|9/27/2016|High|109.7621|2/8/2016|Low|71.2700|Down|62|88
Shooting Star|ADBE|SERVICES-PREPACKAGED SOFTWARE||12/15/2015|Close|94.0200||||2/8/2016|Low|71.2700|Down|39|55
Shooting Star|ADBE|SERVICES-PREPACKAGED SOFTWARE||10/10/2016|Close|109.2400|||||||||
Shooting Star|ADM|FATS & OILS||10/4/2016|Close|42.7900|||||||||
Shooting Star|ADM|FATS & OILS||10/31/2016|Close|43.5700|||||||||
Shooting Star|ADPT|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)||6/17/2015|Close|88.2400|7/23/2015|High|107.5900|10/22/2015|Low|64.2000|Up|26|36
Shooting Star|ADPT|BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)||5/27/2016|Close|72.3500||||6/8/2016|Low|56.1800|Down|8|12
Shooting Star|ADUS|SERVICES-HOME HEALTH CARE SERVICES||4/16/2015|Close|26.9500|9/10/2015|High|33.4300|11/4/2015|Low|21.5101|Up|105|147
Shooting Star|ADUS|SERVICES-HOME HEALTH CARE SERVICES||10/20/2015|Close|35.2500||||10/23/2015|Low|22.7500|Down|3|3
Shooting Star|ADUS|SERVICES-HOME HEALTH CARE SERVICES||9/19/2016|Close|24.7700|11/8/2016|High|31.3500||||Up|36|50
Shooting Star|ADUS|SERVICES-HOME HEALTH CARE SERVICES||11/10/2016|Close|32.9500|||||||||
Shooting Star|AE|WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS)||9/7/2016|Close|37.4200|||||||||
Shooting Star|AE|WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS)||9/8/2016|Close|37.7500|||||||||
Shooting Star|AEE|ELECTRIC & OTHER SERVICES COMBINED||8/20/2015|Close|43.3100|6/24/2016|High|52.3100||||Up|221|309
Shooting Star|AEIS|ELECTRONIC COMPONENTS, NEC||10/7/2015|Close|27.7500|3/22/2016|High|33.8900||||Up|119|167
Shooting Star|AEM|||2/8/2016|Close|33.9100|4/11/2016|High|40.8200||||Up|45|63
Shooting Star|AEM|||3/17/2016|Close|38.0400|4/29/2016|High|47.3300||||Up|31|43
Shooting Star|AEM|||5/16/2016|Close|47.5300|7/13/2016|High|57.0600|12/9/2016|Low|37.9300|Up|42|58
Shooting Star|AEO|RETAIL-FAMILY CLOTHING STORES||6/17/2015|Close|17.2600||||1/8/2016|Low|13.1500|Down|147|205
Shooting Star|AEO|RETAIL-FAMILY CLOTHING STORES||7/21/2016|Close|17.1700|||||||||
Shooting Star|AEO|RETAIL-FAMILY CLOTHING STORES||11/14/2016|Close|18.3600|||||||||
Shooting Star|AER|||4/2/2015|Close|44.7600||||1/14/2016|Low|34.8000|Down|205|287
Shooting Star|AER|||4/6/2015|Close|44.5300||||1/14/2016|Low|34.8000|Down|203|283
Shooting Star|AER|||7/31/2015|Close|46.8400||||9/29/2015|Low|37.4700|Down|42|60
Shooting Star|AER|||4/20/2016|Close|40.4900||||6/27/2016|Low|31.4500|Down|48|68
Shooting Star|AER|||10/24/2016|Close|40.8500|||||||||
Shooting Star|AEZS|||10/13/2016|Close|4.0500|10/20/2016|High|5.5900||||Up|5|7
Shooting Star|AEZS|||10/20/2016|Close|4.8900||||10/27/2016|Low|3.7200|Down|5|7
Shooting Star|AFG|FIRE, MARINE & CASUALTY INSURANCE||3/23/2015|Close|64.9700|11/10/2016|High|78.5175||||Up|428|598
Shooting Star|AFG|FIRE, MARINE & CASUALTY INSURANCE||10/13/2015|Close|71.0000|12/8/2016|High|85.4400||||Up|302|422
Shooting Star|AFG|FIRE, MARINE & CASUALTY INSURANCE||12/2/2015|Close|74.2800|||||||||
