Id|Signal Name|Result Direction|Count|Percentage|Description
2f2c96c2|Three Black Crows|Down|3050|0.44087886672448684|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
2f2c96c2|Three Black Crows|Up|3762|0.5437987857762359|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
2f2c96c2|Three Black Crows||106|0.015322347499277248|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
39c82242|Three Black Crows|Down|456|0.4444444444444444|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: True
39c82242|Three Black Crows|Up|568|0.5536062378167641|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: True
39c82242|Three Black Crows||2|0.001949317738791423|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: True
3c0f643e|Three Black Crows|Down|769|0.44761350407450523|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
3c0f643e|Three Black Crows|Up|940|0.5471478463329453|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
3c0f643e|Three Black Crows||9|0.005238649592549476|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
3f509420|Three Black Crows|Down|354|0.44084682440846823|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: True
3f509420|Three Black Crows|Up|447|0.5566625155666252|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: True
3f509420|Three Black Crows||2|0.0024906600249066002|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: True
412f0ebe|Three Black Crows|Down|3050|0.44087886672448684|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: False
412f0ebe|Three Black Crows|Up|3762|0.5437987857762359|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: False
412f0ebe|Three Black Crows||106|0.015322347499277248|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: False
4ac98404|Three Black Crows|Down|4266|0.44400499583680264|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: False
4ac98404|Three Black Crows|Up|5196|0.5407993338884263|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: False
4ac98404|Three Black Crows||146|0.015195670274771023|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: False
4b5da311|Three Black Crows|Down|769|0.44761350407450523|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: True
4b5da311|Three Black Crows|Up|940|0.5471478463329453|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: True
4b5da311|Three Black Crows||9|0.005238649592549476|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: True
4bda1e78|Three Black Crows|Down|522|0.44274809160305345|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
4bda1e78|Three Black Crows|Up|653|0.5538592027141646|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
4bda1e78|Three Black Crows||4|0.0033927056827820186|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
4c645c99|Three Black Crows|Down|3176|0.4344138968677336|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
4c645c99|Three Black Crows|Up|4021|0.5499931609902886|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
4c645c99|Three Black Crows||114|0.015592942141977841|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
4d00bc2f|Three Black Crows|Down|3800|0.44325207045375015|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: False
4d00bc2f|Three Black Crows|Up|4642|0.5414673976437653|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: False
4d00bc2f|Three Black Crows||131|0.015280531902484544|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: False
4fa10ba2|Three Black Crows|Down|3078|0.44040635284017743|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
4fa10ba2|Three Black Crows|Up|3802|0.5439977106882243|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
4fa10ba2|Three Black Crows||109|0.015595936471598225|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
59566e36|Three Black Crows|Down|3176|0.4344138968677336|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: False
59566e36|Three Black Crows|Up|4021|0.5499931609902886|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: False
59566e36|Three Black Crows||114|0.015592942141977841|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: False
62526f1e|Three Black Crows|Down|3078|0.44040635284017743|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: False
62526f1e|Three Black Crows|Up|3802|0.5439977106882243|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: False
62526f1e|Three Black Crows||109|0.015595936471598225|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: False
75cb71ba|Three Black Crows|Down|456|0.4444444444444444|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
75cb71ba|Three Black Crows|Up|568|0.5536062378167641|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
75cb71ba|Three Black Crows||2|0.001949317738791423|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: True
764df5a7|Three Black Crows|Down|451|0.4452122408687068|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
764df5a7|Three Black Crows|Up|560|0.5528134254689042|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
764df5a7|Three Black Crows||2|0.0019743336623889436|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: True
79022fec|Three Black Crows|Down|2492|0.431365760775489|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: False
79022fec|Three Black Crows|Up|3192|0.5525359182966938|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: False
79022fec|Three Black Crows||93|0.016098320927817208|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1.5;use market: False
7b729cbc|Three Black Crows|Down|2492|0.431365760775489|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
7b729cbc|Three Black Crows|Up|3192|0.5525359182966938|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
7b729cbc|Three Black Crows||93|0.016098320927817208|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
8d5e7771|Three Black Crows|Down|3176|0.4344138968677336|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
8d5e7771|Three Black Crows|Up|4021|0.5499931609902886|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
8d5e7771|Three Black Crows||114|0.015592942141977841|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
8ed9f1e2|Three Black Crows|Down|451|0.4452122408687068|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: True
8ed9f1e2|Three Black Crows|Up|560|0.5528134254689042|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: True
8ed9f1e2|Three Black Crows||2|0.0019743336623889436|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 2;use market: True
8f325628|Three Black Crows|Down|456|0.4444444444444444|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
8f325628|Three Black Crows|Up|568|0.5536062378167641|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
8f325628|Three Black Crows||2|0.001949317738791423|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
92479917|Three Black Crows|Down|3050|0.44087886672448684|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: False
92479917|Three Black Crows|Up|3762|0.5437987857762359|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: False
92479917|Three Black Crows||106|0.015322347499277248|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1;use market: False
9a650393|Three Black Crows|Down|522|0.44274809160305345|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
9a650393|Three Black Crows|Up|653|0.5538592027141646|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
9a650393|Three Black Crows||4|0.0033927056827820186|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
a5b2ed6a|Three Black Crows|Down|354|0.44084682440846823|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: True
a5b2ed6a|Three Black Crows|Up|447|0.5566625155666252|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: True
a5b2ed6a|Three Black Crows||2|0.0024906600249066002|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: True
bac6bdf1|Three Black Crows|Down|4266|0.44400499583680264|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: False
bac6bdf1|Three Black Crows|Up|5196|0.5407993338884263|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: False
bac6bdf1|Three Black Crows||146|0.015195670274771023|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: False
bccbed8c|Three Black Crows|Down|613|0.45206489675516226|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: True
bccbed8c|Three Black Crows|Up|737|0.5435103244837758|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: True
bccbed8c|Three Black Crows||6|0.004424778761061947|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: True
be9c28bf|Three Black Crows|Down|2492|0.431365760775489|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
be9c28bf|Three Black Crows|Up|3192|0.5525359182966938|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
be9c28bf|Three Black Crows||93|0.016098320927817208|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
d537f49e|Three Black Crows|Down|4266|0.44400499583680264|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
d537f49e|Three Black Crows|Up|5196|0.5407993338884263|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
d537f49e|Three Black Crows||146|0.015195670274771023|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
e014d877|Three Black Crows|Down|769|0.44761350407450523|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: True
e014d877|Three Black Crows|Up|940|0.5471478463329453|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: True
e014d877|Three Black Crows||9|0.005238649592549476|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: True
e448220c|Three Black Crows|Down|354|0.44084682440846823|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: True
e448220c|Three Black Crows|Up|447|0.5566625155666252|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: True
e448220c|Three Black Crows||2|0.0024906600249066002|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: True
eb9b7228|Three Black Crows|Down|3800|0.44325207045375015|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
eb9b7228|Three Black Crows|Up|4642|0.5414673976437653|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
eb9b7228|Three Black Crows||131|0.015280531902484544|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
ebbd7a7e|Three Black Crows|Down|613|0.45206489675516226|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: True
ebbd7a7e|Three Black Crows|Up|737|0.5435103244837758|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: True
