Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Three Black Crows|Sector|Energy|24|0.7083333333333334|24
Three Black Crows|Industry|Aerospace & Defense|10|0.7|36
Three Black Crows|Industry|REIT - Retail|10|0.7|45
Three Black Crows|Industry|Oil & Gas E&P|11|0.6363636363636364|10
Three Black Crows|Sector|Real Estate|32|0.59375|60
Three Black Crows|Industry|Banks - Regional|28|0.5357142857142857|60
Three Black Crows|Industry|Asset Management|15|0.5333333333333333|30
Three Black Crows|Industry|Medical Devices|10|0.5|17
Three Black Crows|Sector|Basic Materials|10|0.5|20
Three Black Crows|Sector|Healthcare|59|0.4745762711864407|25
Three Black Crows|Sector|Consumer Cyclical|49|0.46938775510204084|53
Three Black Crows|Sector|Financial Services|85|0.4470588235294118|50
Three Black Crows|Overall|All|1026|0.4444444444444444|60
Three Black Crows|Sector|Industrials|50|0.4|24
Three Black Crows|Sector|Technology|33|0.3333333333333333|13
Three Black Crows|Sector|Utilities|34|0.29411764705882354|83
Three Black Crows|Sector|Communication Services|14|0.2857142857142857|34
Three Black Crows|Sector|Consumer Defensive|36|0.2777777777777778|21
Three Black Crows|Industry|Biotechnology|13|0.23076923076923078|9
Three Black Crows|Industry|Utilities - Regulated Electric|27|0.2222222222222222|82
