Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Three Black Crows|Industry|Engineering & Construction|10|0.8|20
Three Black Crows|Industry|REIT - Office|17|0.7058823529411765|80
Three Black Crows|Industry|Oil & Gas Midstream|13|0.6923076923076923|57
Three Black Crows|Industry|Credit Services|19|0.6842105263157895|27
Three Black Crows|Industry|REIT - Retail|25|0.68|33
Three Black Crows|Industry|Oil & Gas Equipment & Services|18|0.6666666666666666|16
Three Black Crows|Industry|Medical Devices|29|0.6206896551724138|22
Three Black Crows|Industry|Integrated Freight & Logistics|12|0.5833333333333334|11
Three Black Crows|Industry|Gold|12|0.5833333333333334|12
Three Black Crows|Industry|Specialty Retail|12|0.5833333333333334|21
Three Black Crows|Sector|Energy|74|0.5675675675675675|27
Three Black Crows|Industry|Software - Application|25|0.56|12
Three Black Crows|Industry|Apparel Retail|18|0.5555555555555556|18
Three Black Crows|Industry|Information Technology Services|11|0.5454545454545454|13
Three Black Crows|Sector|Real Estate|101|0.5346534653465347|48
Three Black Crows|Industry|Drug Manufacturers - General|19|0.5263157894736842|40
Three Black Crows|Industry|Packaged Foods|21|0.5238095238095238|36
Three Black Crows|Industry|Telecom Services|12|0.5|68
Three Black Crows|Industry|Asset Management|49|0.4897959183673469|68
Three Black Crows|Industry|Biotechnology|66|0.48484848484848486|7
Three Black Crows|Sector|Consumer Cyclical|151|0.48344370860927155|43
Three Black Crows|Industry|Medical Care Facilities|23|0.4782608695652174|30
Three Black Crows|Industry|Drug Manufacturers - Specialty & Generic|21|0.47619047619047616|16
Three Black Crows|Sector|Healthcare|216|0.4722222222222222|21
Three Black Crows|Industry|REIT - Residential|15|0.4666666666666667|68
Three Black Crows|Sector|Communication Services|44|0.45454545454545453|33
Three Black Crows|Sector|Financial Services|261|0.4521072796934866|59
Three Black Crows|Overall|All|3355|0.4456035767511177|77
Three Black Crows|Industry|Diagnostics & Research|14|0.42857142857142855|29
Three Black Crows|Industry|Restaurants|19|0.42105263157894735|42
Three Black Crows|Industry|Banks - Regional|103|0.4174757281553398|58
Three Black Crows|Sector|Technology|102|0.4117647058823529|17
Three Black Crows|Industry|Insurance - Property & Casualty|22|0.4090909090909091|42
Three Black Crows|Industry|Entertainment|10|0.4|8
Three Black Crows|Industry|Communication Equipment|10|0.4|16
Three Black Crows|Industry|Medical Distribution|10|0.4|47
Three Black Crows|Sector|Industrials|181|0.39226519337016574|26
Three Black Crows|Industry|Insurance - Diversified|13|0.38461538461538464|39
Three Black Crows|Industry|Farm Products|16|0.375|28
Three Black Crows|Industry|Oil & Gas E&P|30|0.36666666666666664|13
Three Black Crows|Industry|Aerospace & Defense|30|0.36666666666666664|39
Three Black Crows|Industry|Industrial Distribution|11|0.36363636363636365|31
Three Black Crows|Industry|Medical Instruments & Supplies|22|0.36363636363636365|35
Three Black Crows|Industry|Insurance - Specialty|11|0.36363636363636365|124
Three Black Crows|Industry|Specialty Chemicals|20|0.35|24
Three Black Crows|Sector|Consumer Defensive|103|0.34951456310679613|37
Three Black Crows|Sector|Basic Materials|46|0.34782608695652173|19
Three Black Crows|Industry|Software - Infrastructure|19|0.3157894736842105|16
Three Black Crows|Industry|Consulting Services|10|0.3|12
Three Black Crows|Industry|REIT - Industrial|10|0.3|27
Three Black Crows|Sector|Utilities|84|0.2619047619047619|96
Three Black Crows|Industry|Healthcare Plans|10|0.2|21
Three Black Crows|Industry|Utilities - Regulated Electric|55|0.2|113
Three Black Crows|Industry|Financial Data & Stock Exchanges|10|0.2|124
Three Black Crows|Industry|Residential Construction|11|0.18181818181818182|20
Three Black Crows|Industry|Education & Training Services|11|0.18181818181818182|24
Three Black Crows|Industry|Specialty Industrial Machinery|23|0.17391304347826086|34
Three Black Crows|Industry|Household & Personal Products|20|0.15|64
