Name|Code|Industry|Sector|Entry Date|Entry Price Point|Entry Price|Result Up Date|Result Up Price Point|Result Up Price|Result Down Date|Result Down Price Point|Result Down Price|Result Direction|Trading Days|Calendar Days
Three Black Crows|AAPL.US|Consumer Electronics|Technology|10/6/2005|Close|1.8464|10/21/2005|High|2.0350||||Up|11|15
Three Black Crows|AAPL.US|Consumer Electronics|Technology|7/31/2007|Close|4.7057|9/4/2007|High|5.2046|8/16/2007|Low|3.9864|Down|12|16
Three Black Crows|AAP.US|Specialty Retail|Consumer Cyclical|5/3/2005|Close|35.4200|5/19/2005|High|39.6867|6/29/2006|Low|28.9000|Up|12|16
Three Black Crows|AAP.US|Specialty Retail|Consumer Cyclical|7/25/2008|Close|40.1700|8/7/2008|High|45.0000|10/6/2008|Low|32.9800|Up|9|13
Three Black Crows|AAP.US|Specialty Retail|Consumer Cyclical|6/18/2010|Close|51.5900|9/3/2010|High|57.6300||||Up|55|77
Three Black Crows|AAP.US|Specialty Retail|Consumer Cyclical|8/18/2015|Close|185.7700|5/4/2021|High|205.2000|8/24/2015|Low|151.3000|Down|4|6
Three Black Crows|AAT.US|REIT - Diversified|Real Estate|4/21/2017|Close|44.1800|10/30/2019|High|48.7000|5/10/2017|Low|39.7600|Down|13|19
Three Black Crows|AAT.US|REIT - Diversified|Real Estate|12/11/2018|Close|41.9200|3/13/2019|High|46.2800|3/9/2020|Low|37.1100|Up|66|92
Three Black Crows|AA.US|Aluminum|Basic Materials|2/9/2006|Close|74.6612|4/11/2006|High|85.0662|8/14/2006|Low|66.3468|Up|43|61
Three Black Crows|ABCB.US|Banks - Regional|Financial Services|7/31/2001|Close|10.0355|11/23/2001|High|11.0893|7/23/2002|Low|8.9573|Up|83|115
Three Black Crows|ABEO.US|Biotechnology|Healthcare|9/15/2008|Close|3750.0000|9/19/2008|High|4125.0000|9/30/2008|Low|3375.0000|Up|4|4
Three Black Crows|ABEO.US|Biotechnology|Healthcare|2/12/2018|Close|315.0000|2/26/2018|High|361.2500|2/14/2018|Low|275.0000|Down|2|2
Three Black Crows|ABEQ.US|||5/11/2022|Close|28.0090||||9/23/2022|Low|25.1020|Down|97|135
Three Black Crows|ABM.US|Specialty Business Services|Industrials|4/10/1996|Close|8.5000|5/31/1996|High|9.6250||||Up|37|51
Three Black Crows|ABM.US|Specialty Business Services|Industrials|3/14/2022|Close|46.0200|4/19/2022|High|51.1000|6/13/2022|Low|38.5400|Up|26|36
Three Black Crows|ABT.US|Medical Devices|Healthcare|2/20/1987|Close|3.4229|10/9/1989|High|3.8016|5/19/1987|Low|3.0231|Down|62|88
Three Black Crows|ABT.US|Medical Devices|Healthcare|3/27/1987|Close|3.4579|10/10/1989|High|3.8437|5/19/1987|Low|3.0231|Down|37|53
Three Black Crows|ABT.US|Medical Devices|Healthcare|6/2/1987|Close|3.3177|6/15/1987|High|3.6543|10/16/1987|Low|2.8477|Up|9|13
Three Black Crows|ABT.US|Medical Devices|Healthcare|4/25/2002|Close|23.9668|2/28/2007|High|26.4178|5/15/2002|Low|20.6719|Down|14|20
Three Black Crows|ACAD.US|Biotechnology|Healthcare|8/24/2023|Close|28.4000|12/22/2023|High|32.5900|9/15/2023|Low|24.6700|Down|16|22
Three Black Crows|ACA.US|Engineering & Construction|Industrials|3/15/2022|Close|57.0600|8/8/2022|High|63.2300|5/9/2022|Low|50.6200|Down|39|55
Three Black Crows|ACGL.US|Insurance - Diversified|Financial Services|6/20/2002|Close|3.2400|12/4/2002|High|3.8333|7/10/2002|Low|2.8444|Down|14|20
Three Black Crows|ACGL.US|Insurance - Diversified|Financial Services|1/20/2022|Close|45.6300|4/21/2022|High|50.7300|9/26/2022|Low|41.0500|Up|65|91
