Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Three Black Crows|Industry|Utilities - Regulated Water|14|0.7142857142857143|71
Three Black Crows|Industry|REIT - Retail|31|0.6774193548387096|52
Three Black Crows|Industry|Oil & Gas Refining & Marketing|12|0.6666666666666666|47
Three Black Crows|Industry|Electronics & Computer Distribution|11|0.6363636363636364|67
Three Black Crows|Industry|Industrial Distribution|25|0.6|49
Three Black Crows|Industry|Railroads|12|0.5833333333333334|28
Three Black Crows|Industry|Utilities - Regulated Gas|12|0.5833333333333334|58
Three Black Crows|Industry|Banks - Diversified|21|0.5714285714285714|82
Three Black Crows|Industry|Real Estate Services|23|0.5652173913043478|56
Three Black Crows|Industry|Drug Manufacturers - Specialty & Generic|32|0.5625|13
Three Black Crows|Industry|Utilities - Diversified|18|0.5555555555555556|89
Three Black Crows|Industry|Semiconductors|20|0.55|35
Three Black Crows|Industry|Recreational Vehicles|11|0.5454545454545454|50
Three Black Crows|Entity|FXR.US|11|0.5454545454545454|124
Three Black Crows|Industry|Communication Equipment|26|0.5384615384615384|29
Three Black Crows|Industry|Airlines|17|0.5294117647058824|29
Three Black Crows|Industry|Internet Retail|19|0.5263157894736842|33
Three Black Crows|Industry|Farm Products|19|0.5263157894736842|63
Three Black Crows|Industry|Aerospace & Defense|61|0.5245901639344263|44
Three Black Crows|Industry|Biotechnology|94|0.5212765957446809|13
Three Black Crows|Industry|Restaurants|27|0.5185185185185185|66
Three Black Crows|Industry|Oil & Gas E&P|47|0.5106382978723404|20
Three Black Crows|Industry|Apparel Manufacturing|10|0.5|39
Three Black Crows|Industry|Packaged Foods|26|0.5|42
Three Black Crows|Industry|Building Products & Equipment|16|0.5|49
Three Black Crows|Industry|Specialty Chemicals|42|0.5|67
Three Black Crows|Industry|Auto Parts|20|0.5|72
Three Black Crows|Industry|Engineering & Construction|35|0.4857142857142857|32
Three Black Crows|Industry|REIT - Office|33|0.48484848484848486|95
Three Black Crows|Industry|Specialty Business Services|23|0.4782608695652174|41
Three Black Crows|Industry|Telecom Services|23|0.4782608695652174|65
Three Black Crows|Industry|Medical Devices|59|0.4745762711864407|36
Three Black Crows|Sector|Energy|119|0.47058823529411764|31
Three Black Crows|Industry|Drug Manufacturers - General|34|0.47058823529411764|34
Three Black Crows|Industry|Integrated Freight & Logistics|17|0.47058823529411764|44
Three Black Crows|Industry|Asset Management|98|0.46938775510204084|69
Three Black Crows|Industry|Farm & Heavy Construction Machinery|13|0.46153846153846156|43
Three Black Crows|Industry|Residential Construction|22|0.45454545454545453|26
Three Black Crows|Industry|Scientific & Technical Instruments|22|0.45454545454545453|43
Three Black Crows|Industry|Oil & Gas Integrated|11|0.45454545454545453|44
Three Black Crows|Entity|GD.US|11|0.45454545454545453|47
Three Black Crows|Entity|CAH.US|11|0.45454545454545453|52
Three Black Crows|Industry|Banks - Regional|187|0.45454545454545453|56
Three Black Crows|Sector|Real Estate|193|0.45077720207253885|70
Three Black Crows|Sector|Utilities|131|0.45038167938931295|87
Three Black Crows|Industry|Credit Services|38|0.4473684210526316|45
Three Black Crows|Sector|Healthcare|371|0.444743935309973|27
Three Black Crows|Industry|Insurance - Property & Casualty|27|0.4444444444444444|102
Three Black Crows|Industry|Packaging & Containers|18|0.4444444444444444|103
Three Black Crows|Sector|Financial Services|481|0.4386694386694387|62
Three Black Crows|Industry|Travel Services|16|0.4375|38
Three Black Crows|Industry|Specialty Retail|39|0.4358974358974359|22
Three Black Crows|Industry|Internet Content & Information|23|0.43478260869565216|44
Three Black Crows|Industry|Insurance - Specialty|23|0.43478260869565216|61
Three Black Crows|Overall|All|7311|0.4344138968677336|85
Three Black Crows|Industry|Oil & Gas Midstream|14|0.42857142857142855|48
Three Black Crows|Industry|Leisure|14|0.42857142857142855|60
Three Black Crows|Sector|Industrials|423|0.42789598108747046|38
Three Black Crows|Sector|Basic Materials|96|0.4270833333333333|53
Three Black Crows|Sector|Consumer Cyclical|318|0.42452830188679247|49
Three Black Crows|Industry|Healthcare Plans|19|0.42105263157894735|30
Three Black Crows|Industry|Education & Training Services|17|0.4117647058823529|38
Three Black Crows|Industry|REIT - Industrial|17|0.4117647058823529|46
Three Black Crows|Entity|EA.US|10|0.4|38
Three Black Crows|Industry|Medical Distribution|15|0.4|49
Three Black Crows|Sector|Technology|290|0.3931034482758621|40
Three Black Crows|Industry|Medical Care Facilities|36|0.3888888888888889|33
Three Black Crows|Industry|Consulting Services|18|0.3888888888888889|40
Three Black Crows|Industry|Software - Application|65|0.38461538461538464|25
Three Black Crows|Sector|Communication Services|89|0.38202247191011235|58
Three Black Crows|Sector|Consumer Defensive|137|0.3795620437956204|52
Three Black Crows|Industry|Marine Shipping|11|0.36363636363636365|18
Three Black Crows|Entity|CALM.US|11|0.36363636363636365|29
Three Black Crows|Industry|Oil & Gas Equipment & Services|25|0.36|32
Three Black Crows|Industry|Electronic Gaming & Multimedia|14|0.35714285714285715|33
Three Black Crows|Industry|Auto & Truck Dealerships|20|0.35|44
Three Black Crows|Industry|Medical Instruments & Supplies|44|0.3409090909090909|50
Three Black Crows|Industry|Utilities - Regulated Electric|78|0.3333333333333333|104
Three Black Crows|Industry|Specialty Industrial Machinery|77|0.3246753246753247|39
Three Black Crows|Industry|Diagnostics & Research|34|0.3235294117647059|22
Three Black Crows|Industry|Electronic Components|25|0.32|45
Three Black Crows|Industry|Financial Data & Stock Exchanges|16|0.3125|26
Three Black Crows|Industry|Information Technology Services|58|0.3103448275862069|62
Three Black Crows|Entity|CME.US|10|0.3|28
Three Black Crows|Industry|Personal Services|10|0.3|46
Three Black Crows|Industry|Security & Protection Services|10|0.3|47
Three Black Crows|Industry|Software - Infrastructure|38|0.2894736842105263|42
Three Black Crows|Industry|Semiconductor Equipment & Materials|14|0.2857142857142857|25
Three Black Crows|Industry|Entertainment|21|0.2857142857142857|92
Three Black Crows|Industry|REIT - Specialty|33|0.2727272727272727|50
Three Black Crows|Industry|Apparel Retail|30|0.26666666666666666|36
Three Black Crows|Industry|Insurance - Diversified|34|0.2647058823529412|95
Three Black Crows|Industry|Staffing & Employment Services|16|0.25|24
Three Black Crows|Industry|Household & Personal Products|16|0.25|55
Three Black Crows|Industry|Conglomerates|13|0.23076923076923078|24
Three Black Crows|Industry|Insurance - Life|13|0.23076923076923078|86
Three Black Crows|Industry|Discount Stores|18|0.2222222222222222|42
Three Black Crows|Industry|REIT - Residential|27|0.2222222222222222|46
Three Black Crows|Industry|Electrical Equipment & Parts|14|0.21428571428571427|8
Three Black Crows|Industry|Gambling|10|0.2|80
Three Black Crows|Entity|MDY.US|10|0.2|197
Three Black Crows|Industry|Agricultural Inputs|16|0.1875|18
Three Black Crows|Industry|Rental & Leasing Services|11|0.18181818181818182|62
Three Black Crows|Entity|LEN-B.US|10|0.1|41
Three Black Crows|Industry|Beverages - Wineries & Distilleries|12|0.08333333333333333|251
Three Black Crows|Industry|Furnishings, Fixtures & Appliances|11|0|0
