Id|Signal Name|Result Direction|Count|Percentage|Description
08c664a4|Three White Soliders|Down|705|0.4709418837675351|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
08c664a4|Three White Soliders|Up|758|0.5063460253841016|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
08c664a4|Three White Soliders||34|0.022712090848363394|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: True
0911b681|Three White Soliders|Down|1001|0.4433126660761736|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: True
0911b681|Three White Soliders|Up|1203|0.5327723649247121|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: True
0911b681|Three White Soliders||54|0.023914968999114262|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: True
0b82b891|Three White Soliders|Down|728|0.4485520640788663|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
0b82b891|Three White Soliders|Up|858|0.5286506469500925|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
0b82b891|Three White Soliders||37|0.02279728897104128|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: True
0b83c026|Three White Soliders|Down|1621|0.43953362255965295|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
0b83c026|Three White Soliders|Up|2008|0.544468546637744|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
0b83c026|Three White Soliders||59|0.015997830802603037|move: 0.1;prologue len: 30;trend desc: S50C;vol factor: 1.5;use market: False
24ca8b50|Three White Soliders|Down|1662|0.44308184484137564|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
24ca8b50|Three White Soliders|Up|2029|0.5409224206878166|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
24ca8b50|Three White Soliders||60|0.015995734470807786|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1;use market: False
24d912c8|Three White Soliders|Down|1622|0.4590999150863289|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
24d912c8|Three White Soliders|Up|1854|0.5247664874044721|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
24d912c8|Three White Soliders||57|0.01613359750919898|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1;use market: False
2667758b|Three White Soliders|Down|2592|0.4500781385657232|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: False
2667758b|Three White Soliders|Up|3066|0.5323840944608439|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: False
2667758b|Three White Soliders||101|0.017537766973432886|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: False
38395a5c|Three White Soliders|Down|705|0.4709418837675351|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
38395a5c|Three White Soliders|Up|758|0.5063460253841016|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
38395a5c|Three White Soliders||34|0.022712090848363394|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 2;use market: True
3c075247|Three White Soliders|Down|1001|0.4433126660761736|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: True
3c075247|Three White Soliders|Up|1203|0.5327723649247121|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: True
3c075247|Three White Soliders||54|0.023914968999114262|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1;use market: True
41f51d57|Three White Soliders|Down|1294|0.4452856159669649|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
41f51d57|Three White Soliders|Up|1535|0.5282174810736407|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
41f51d57|Three White Soliders||77|0.026496902959394355|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: True
47f981f0|Three White Soliders|Down|1294|0.4452856159669649|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: True
47f981f0|Three White Soliders|Up|1535|0.5282174810736407|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: True
47f981f0|Three White Soliders||77|0.026496902959394355|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1;use market: True
4dd2d8e7|Three White Soliders|Down|1662|0.44308184484137564|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
4dd2d8e7|Three White Soliders|Up|2029|0.5409224206878166|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
4dd2d8e7|Three White Soliders||60|0.015995734470807786|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 2;use market: False
5f1625a6|Three White Soliders|Down|2592|0.4500781385657232|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
5f1625a6|Three White Soliders|Up|3066|0.5323840944608439|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
5f1625a6|Three White Soliders||101|0.017537766973432886|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 2;use market: False
6b1709d2|Three White Soliders|Down|2170|0.446410203661798|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: False
6b1709d2|Three White Soliders|Up|2613|0.5375437152849208|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: False
6b1709d2|Three White Soliders||78|0.016046081053281216|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 2;use market: False
6bf9a106|Three White Soliders|Down|1294|0.4452856159669649|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: True
6bf9a106|Three White Soliders|Up|1535|0.5282174810736407|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: True
6bf9a106|Three White Soliders||77|0.026496902959394355|move: 0.1;prologue len: 15;trend desc: S21C;vol factor: 1.5;use market: True
74856575|Three White Soliders|Down|1203|0.4488805970149254|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
74856575|Three White Soliders|Up|1432|0.5343283582089552|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
74856575|Three White Soliders||45|0.016791044776119403|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 2;use market: False
7521828b|Three White Soliders|Down|1662|0.44308184484137564|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: False
7521828b|Three White Soliders|Up|2029|0.5409224206878166|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: False
7521828b|Three White Soliders||60|0.015995734470807786|move: 0.1;prologue len: 30;trend desc: S21C;vol factor: 1.5;use market: False
8864d3a5|Three White Soliders|Down|1622|0.4590999150863289|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
8864d3a5|Three White Soliders|Up|1854|0.5247664874044721|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
8864d3a5|Three White Soliders||57|0.01613359750919898|move: 0.1;prologue len: 15;trend desc: S200C;vol factor: 1.5;use market: False
91f19fdb|Three White Soliders|Down|2170|0.446410203661798|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
91f19fdb|Three White Soliders|Up|2613|0.5375437152849208|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
91f19fdb|Three White Soliders||78|0.016046081053281216|move: 0.1;prologue len: 15;trend desc: S50C;vol factor: 1.5;use market: False
a675c91d|Three White Soliders|Down|1203|0.4488805970149254|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
a675c91d|Three White Soliders|Up|1432|0.5343283582089552|move: 0.1;prologue len: 30;trend desc: S200C;vol factor: 1;use market: False
