Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Three White Soliders|Industry|Utilities - Regulated Gas|13|0.8461538461538461|82
Three White Soliders|Entity|ES.US|13|0.8461538461538461|127
Three White Soliders|Entity|DCOM.US|11|0.8181818181818182|108
Three White Soliders|Industry|Lodging|16|0.8125|42
Three White Soliders|Industry|Healthcare Plans|20|0.75|43
Three White Soliders|Entity|WTW.US|12|0.75|73
Three White Soliders|Entity|CDZI.US|11|0.7272727272727273|29
Three White Soliders|Industry|Leisure|22|0.7272727272727273|33
Three White Soliders|Industry|REIT - Industrial|18|0.7222222222222222|40
Three White Soliders|Industry|Packaging & Containers|21|0.7142857142857143|64
Three White Soliders|Entity|CRAI.US|10|0.7|23
Three White Soliders|Entity|CAR.US|10|0.7|26
Three White Soliders|Industry|Building Materials|10|0.7|39
Three White Soliders|Entity|MDT.US|10|0.7|53
Three White Soliders|Entity|CALM.US|10|0.7|72
Three White Soliders|Entity|WAFD.US|10|0.7|296
Three White Soliders|Industry|Staffing & Employment Services|16|0.6875|85
Three White Soliders|Industry|Insurance - Specialty|38|0.6842105263157895|58
Three White Soliders|Industry|Specialty Business Services|27|0.6666666666666666|47
Three White Soliders|Industry|Entertainment|24|0.6666666666666666|47
Three White Soliders|Industry|Aerospace & Defense|57|0.6666666666666666|52
Three White Soliders|Industry|Utilities - Regulated Electric|92|0.6630434782608695|103
Three White Soliders|Industry|Rental & Leasing Services|32|0.65625|37
Three White Soliders|Industry|Insurance - Diversified|20|0.65|71
Three White Soliders|Industry|Electrical Equipment & Parts|28|0.6428571428571429|53
Three White Soliders|Entity|FCBC.US|11|0.6363636363636364|43
Three White Soliders|Entity|KMPR.US|11|0.6363636363636364|45
Three White Soliders|Industry|REIT - Residential|33|0.6363636363636364|122
Three White Soliders|Industry|Internet Content & Information|19|0.631578947368421|19
Three White Soliders|Industry|Gold|27|0.6296296296296297|18
Three White Soliders|Industry|Consulting Services|54|0.6296296296296297|34
Three White Soliders|Industry|Furnishings, Fixtures & Appliances|32|0.625|28
Three White Soliders|Industry|Semiconductor Equipment & Materials|20|0.6|18
Three White Soliders|Entity|ROG.US|10|0.6|19
Three White Soliders|Entity|CACC.US|10|0.6|23
Three White Soliders|Industry|Scientific & Technical Instruments|40|0.6|37
Three White Soliders|Entity|COHR.US|10|0.6|38
Three White Soliders|Entity|COLB.US|10|0.6|44
Three White Soliders|Industry|Banks - Diversified|25|0.6|70
Three White Soliders|Entity|VRNT.US|10|0.6|90
Three White Soliders|Industry|REIT - Office|45|0.6|98
Three White Soliders|Industry|Discount Stores|17|0.5882352941176471|27
Three White Soliders|Industry|Oil & Gas Equipment & Services|36|0.5833333333333334|29
Three White Soliders|Entity|FORR.US|12|0.5833333333333334|40
Three White Soliders|Industry|Real Estate Services|24|0.5833333333333334|64
Three White Soliders|Entity|AEE.US|12|0.5833333333333334|121
Three White Soliders|Industry|Farm & Heavy Construction Machinery|31|0.5806451612903226|25
Three White Soliders|Industry|Auto & Truck Dealerships|40|0.575|22
Three White Soliders|Industry|Auto Manufacturers|14|0.5714285714285714|23
Three White Soliders|Industry|Oil & Gas E&P|56|0.5714285714285714|38
Three White Soliders|Industry|Electronics & Computer Distribution|14|0.5714285714285714|40
Three White Soliders|Industry|Farm Products|28|0.5714285714285714|52
Three White Soliders|Entity|PSA.US|14|0.5714285714285714|68
Three White Soliders|Sector|Utilities|177|0.5706214689265536|96
Three White Soliders|Industry|Credit Services|44|0.5681818181818182|32
Three White Soliders|Industry|Insurance - Property & Casualty|37|0.5675675675675675|62
Three White Soliders|Industry|Banks - Regional|426|0.5633802816901409|61
Three White Soliders|Sector|Basic Materials|158|0.5569620253164557|40
Three White Soliders|Industry|Airlines|18|0.5555555555555556|32
Three White Soliders|Sector|Financial Services|832|0.5528846153846154|61
Three White Soliders|Industry|REIT - Retail|38|0.5526315789473685|53
Three White Soliders|Sector|Industrials|621|0.5523349436392915|43
Three White Soliders|Industry|Specialty Chemicals|62|0.5483870967741935|51
Three White Soliders|Industry|Medical Devices|104|0.5480769230769231|24
Three White Soliders|Entity|TECH.US|11|0.5454545454545454|28
Three White Soliders|Industry|Railroads|11|0.5454545454545454|42
Three White Soliders|Entity|BFS.US|11|0.5454545454545454|61
Three White Soliders|Industry|Other|11|0.5454545454545454|106
Three White Soliders|Sector|Other|11|0.5454545454545454|106
Three White Soliders|Entity|BF-B.US|11|0.5454545454545454|111
