Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Three White Soliders|Industry|Rental & Leasing Services|12|0.75|43
Three White Soliders|Industry|Packaged Foods|13|0.6923076923076923|97
Three White Soliders|Industry|REIT - Office|12|0.6666666666666666|112
Three White Soliders|Industry|Consulting Services|13|0.6153846153846154|42
Three White Soliders|Industry|Electrical Equipment & Parts|10|0.6|116
Three White Soliders|Sector|Consumer Cyclical|98|0.5816326530612245|40
Three White Soliders|Sector|Industrials|140|0.5785714285714286|52
Three White Soliders|Industry|Apparel Retail|14|0.5714285714285714|23
Three White Soliders|Industry|Biotechnology|37|0.5675675675675675|-62
Three White Soliders|Industry|Medical Devices|18|0.5555555555555556|30
Three White Soliders|Industry|Specialty Retail|11|0.5454545454545454|85
Three White Soliders|Industry|Oil & Gas E&P|15|0.5333333333333333|30
Three White Soliders|Sector|Financial Services|139|0.5107913669064749|22
Three White Soliders|Industry|Restaurants|14|0.5|39
Three White Soliders|Overall|All|2265|0.4971302428256071|-28
Three White Soliders|Sector|Healthcare|123|0.4959349593495935|4
Three White Soliders|Industry|Banks - Regional|78|0.48717948717948717|74
Three White Soliders|Sector|Real Estate|63|0.47619047619047616|85
Three White Soliders|Industry|Asset Management|19|0.47368421052631576|-320
Three White Soliders|Sector|Communication Services|30|0.4666666666666667|-450
Three White Soliders|Industry|Specialty Chemicals|13|0.46153846153846156|30
Three White Soliders|Industry|Specialty Industrial Machinery|26|0.46153846153846156|49
Three White Soliders|Sector|Energy|44|0.45454545454545453|31
Three White Soliders|Industry|REIT - Retail|11|0.45454545454545453|93
Three White Soliders|Industry|Software - Application|19|0.42105263157894735|21
Three White Soliders|Sector|Basic Materials|27|0.4074074074074074|28
Three White Soliders|Industry|Utilities - Regulated Electric|30|0.4|119
Three White Soliders|Sector|Technology|83|0.39759036144578314|32
Three White Soliders|Industry|Medical Instruments & Supplies|18|0.3888888888888889|38
Three White Soliders|Sector|Consumer Defensive|48|0.375|-4
Three White Soliders|Industry|Drug Manufacturers - Specialty & Generic|14|0.35714285714285715|12
Three White Soliders|Sector|Utilities|43|0.3488372093023256|112
Three White Soliders|Industry|Information Technology Services|12|0.3333333333333333|112
Three White Soliders|Industry|Software - Infrastructure|17|0.29411764705882354|18
