Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Three White Soliders|Industry|Farm & Heavy Construction Machinery|13|0.7692307692307693|21
Three White Soliders|Industry|Auto & Truck Dealerships|15|0.7333333333333333|18
Three White Soliders|Industry|Rental & Leasing Services|22|0.7272727272727273|33
Three White Soliders|Industry|Education & Training Services|10|0.7|-177
Three White Soliders|Industry|Building Products & Equipment|10|0.7|26
Three White Soliders|Industry|Insurance - Property & Casualty|10|0.7|35
Three White Soliders|Industry|Furnishings, Fixtures & Appliances|12|0.6666666666666666|28
Three White Soliders|Industry|Aerospace & Defense|23|0.6521739130434783|46
Three White Soliders|Industry|Oil & Gas Equipment & Services|14|0.6428571428571429|19
Three White Soliders|Industry|Oil & Gas E&P|25|0.64|36
Three White Soliders|Industry|Specialty Business Services|16|0.625|38
Three White Soliders|Industry|REIT - Office|29|0.6206896551724138|125
Three White Soliders|Industry|Credit Services|23|0.6086956521739131|43
Three White Soliders|Industry|Engineering & Construction|15|0.6|29
Three White Soliders|Industry|Electrical Equipment & Parts|15|0.6|83
Three White Soliders|Industry|Biotechnology|91|0.5824175824175825|-393
Three White Soliders|Industry|Packaged Foods|26|0.5769230769230769|78
Three White Soliders|Industry|Insurance - Specialty|21|0.5714285714285714|34
Three White Soliders|Sector|Financial Services|357|0.5462184873949579|10
Three White Soliders|Industry|Apparel Retail|22|0.5454545454545454|19
Three White Soliders|Industry|Banks - Regional|178|0.5393258426966292|41
Three White Soliders|Industry|Medical Devices|39|0.5384615384615384|26
Three White Soliders|Sector|Industrials|287|0.5261324041811847|38
Three White Soliders|Industry|Asset Management|65|0.5230769230769231|-155
Three White Soliders|Sector|Energy|78|0.5128205128205128|35
Three White Soliders|Sector|Real Estate|124|0.5080645161290323|87
Three White Soliders|Sector|Healthcare|261|0.5019157088122606|-196
Three White Soliders|Industry|Electronic Gaming & Multimedia|12|0.5|-1682
Three White Soliders|Industry|Software - Application|40|0.5|-468
Three White Soliders|Industry|Oil & Gas Midstream|14|0.5|22
Three White Soliders|Industry|Software - Infrastructure|36|0.5|23
Three White Soliders|Industry|Leisure|10|0.5|33
Three White Soliders|Industry|Healthcare Plans|10|0.5|38
Three White Soliders|Industry|REIT - Specialty|14|0.5|41
Three White Soliders|Industry|Drug Manufacturers - General|14|0.5|93
Three White Soliders|Overall|All|4889|0.4943751278380037|-39
Three White Soliders|Sector|Consumer Cyclical|215|0.4883720930232558|26
Three White Soliders|Industry|Medical Care Facilities|23|0.4782608695652174|21
Three White Soliders|Sector|Communication Services|57|0.47368421052631576|-435
Three White Soliders|Industry|Telecom Services|19|0.47368421052631576|103
Three White Soliders|Industry|REIT - Residential|17|0.47058823529411764|124
Three White Soliders|Industry|Utilities - Regulated Electric|47|0.46808510638297873|108
Three White Soliders|Sector|Technology|171|0.4678362573099415|-93
Three White Soliders|Industry|Insurance Brokers|15|0.4666666666666667|60
Three White Soliders|Sector|Basic Materials|54|0.46296296296296297|37
Three White Soliders|Industry|Farm Products|13|0.46153846153846156|37
Three White Soliders|Industry|Capital Markets|13|0.46153846153846156|44
Three White Soliders|Industry|Oil & Gas Integrated|13|0.46153846153846156|56
Three White Soliders|Industry|Specialty Chemicals|24|0.4583333333333333|37
Three White Soliders|Industry|Consulting Services|24|0.4583333333333333|39
Three White Soliders|Sector|Utilities|70|0.45714285714285713|102
Three White Soliders|Industry|Specialty Retail|22|0.45454545454545453|6
Three White Soliders|Sector|Consumer Defensive|93|0.45161290322580644|-15
Three White Soliders|Industry|REIT - Retail|18|0.4444444444444444|67
Three White Soliders|Industry|Scientific & Technical Instruments|16|0.4375|41
Three White Soliders|Industry|Diagnostics & Research|16|0.4375|71
Three White Soliders|Industry|Real Estate Services|14|0.42857142857142855|44
Three White Soliders|Industry|Information Technology Services|21|0.42857142857142855|66
Three White Soliders|Industry|Industrial Distribution|12|0.4166666666666667|44
Three White Soliders|Industry|Security & Protection Services|12|0.4166666666666667|88
Three White Soliders|Industry|Medical Instruments & Supplies|27|0.4074074074074074|30
Three White Soliders|Industry|Restaurants|30|0.4|27
Three White Soliders|Industry|Communication Equipment|13|0.38461538461538464|8
Three White Soliders|Industry|Specialty Industrial Machinery|57|0.3684210526315789|37
Three White Soliders|Industry|Auto Parts|11|0.36363636363636365|49
Three White Soliders|Industry|Drug Manufacturers - Specialty & Generic|27|0.3333333333333333|-826
Three White Soliders|Industry|Internet Retail|10|0.3|18
Three White Soliders|Industry|Electronic Components|11|0.2727272727272727|14
Three White Soliders|Industry|Household & Personal Products|15|0.26666666666666666|116
Three White Soliders|Industry|Residential Construction|12|0.25|10
