Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Three White Soliders|Industry|Biotechnology|22|0.6363636363636364|-95
Three White Soliders|Sector|Industrials|47|0.6170212765957447|44
Three White Soliders|Sector|Communication Services|10|0.6|-212
Three White Soliders|Sector|Consumer Cyclical|42|0.5714285714285714|30
Three White Soliders|Industry|Apparel Retail|10|0.5|18
Three White Soliders|Sector|Technology|38|0.5|40
Three White Soliders|Overall|All|988|0.4888663967611336|-77
Three White Soliders|Sector|Healthcare|69|0.463768115942029|-18
Three White Soliders|Industry|Asset Management|11|0.45454545454545453|-606
Three White Soliders|Sector|Financial Services|60|0.45|-61
Three White Soliders|Sector|Basic Materials|12|0.4166666666666667|35
Three White Soliders|Industry|Banks - Regional|34|0.4117647058823529|76
Three White Soliders|Sector|Energy|19|0.3684210526315789|25
Three White Soliders|Sector|Consumer Defensive|31|0.3548387096774194|-78
Three White Soliders|Sector|Utilities|15|0.3333333333333333|71
Three White Soliders|Industry|Medical Instruments & Supplies|13|0.3076923076923077|24
Three White Soliders|Sector|Real Estate|24|0.2916666666666667|115
