Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Three White Soliders|Industry|Utilities - Regulated Gas|12|0.9166666666666666|68
Three White Soliders|Industry|Lodging|11|0.8181818181818182|24
Three White Soliders|Entity|WTW.US|11|0.8181818181818182|73
Three White Soliders|Entity|LPX.US|10|0.8|26
Three White Soliders|Entity|BPOP.US|10|0.8|27
Three White Soliders|Industry|Packaging & Containers|19|0.7894736842105263|35
Three White Soliders|Entity|ES.US|12|0.75|117
Three White Soliders|Entity|CDZI.US|11|0.7272727272727273|29
Three White Soliders|Entity|HAIN.US|11|0.7272727272727273|45
Three White Soliders|Entity|EIX.US|11|0.7272727272727273|93
Three White Soliders|Industry|Staffing & Employment Services|11|0.7272727272727273|95
Three White Soliders|Industry|Furnishings, Fixtures & Appliances|31|0.7096774193548387|30
Three White Soliders|Industry|Waste Management|10|0.7|40
Three White Soliders|Industry|Healthcare Plans|20|0.7|42
Three White Soliders|Entity|WAFD.US|10|0.7|387
Three White Soliders|Industry|Leisure|26|0.6923076923076923|33
Three White Soliders|Industry|Rental & Leasing Services|27|0.6666666666666666|30
Three White Soliders|Industry|Insurance - Diversified|15|0.6666666666666666|56
Three White Soliders|Industry|Oil & Gas Equipment & Services|29|0.6551724137931034|19
Three White Soliders|Industry|Aerospace & Defense|43|0.6511627906976745|54
Three White Soliders|Industry|Insurance - Specialty|31|0.6451612903225806|37
Three White Soliders|Industry|Insurance - Life|11|0.6363636363636364|54
Three White Soliders|Entity|AEE.US|11|0.6363636363636364|103
Three White Soliders|Industry|Specialty Business Services|27|0.6296296296296297|31
Three White Soliders|Entity|TVC.US|13|0.6153846153846154|428
Three White Soliders|Industry|Insurance - Property & Casualty|31|0.6129032258064516|64
Three White Soliders|Industry|Banks - Diversified|23|0.6086956521739131|70
Three White Soliders|Entity|USAU.US|10|0.6|7
Three White Soliders|Entity|ROG.US|10|0.6|19
Three White Soliders|Entity|CACC.US|10|0.6|22
Three White Soliders|Industry|Building Products & Equipment|20|0.6|30
Three White Soliders|Entity|MDT.US|10|0.6|46
Three White Soliders|Entity|DCOM.US|10|0.6|54
Three White Soliders|Industry|REIT - Residential|25|0.6|108
Three White Soliders|Industry|Beverages - Wineries & Distilleries|15|0.6|123
Three White Soliders|Industry|Farm & Heavy Construction Machinery|32|0.59375|24
Three White Soliders|Industry|Gold|27|0.5925925925925926|21
Three White Soliders|Industry|Utilities - Regulated Electric|90|0.5888888888888889|88
Three White Soliders|Entity|CRAI.US|12|0.5833333333333334|34
Three White Soliders|Industry|Information Technology Services|55|0.5818181818181818|54
Three White Soliders|Industry|REIT - Industrial|19|0.5789473684210527|30
Three White Soliders|Industry|Real Estate Services|19|0.5789473684210527|72
Three White Soliders|Industry|Credit Services|47|0.574468085106383|36
Three White Soliders|Industry|Semiconductor Equipment & Materials|21|0.5714285714285714|18
Three White Soliders|Industry|Trucking|14|0.5714285714285714|21
Three White Soliders|Industry|Internet Content & Information|23|0.5652173913043478|14
Three White Soliders|Industry|Scientific & Technical Instruments|39|0.5641025641025641|33
Three White Soliders|Industry|Medical Care Facilities|48|0.5625|26
Three White Soliders|Industry|Packaged Foods|64|0.5625|64
Three White Soliders|Industry|Entertainment|25|0.56|36
Three White Soliders|Industry|Telecom Services|43|0.5581395348837209|94
Three White Soliders|Industry|Banks - Regional|395|0.5569620253164557|58
Three White Soliders|Industry|REIT - Retail|36|0.5555555555555556|63
Three White Soliders|Industry|REIT - Office|45|0.5555555555555556|75
Three White Soliders|Industry|Software - Infrastructure|87|0.5517241379310345|25
Three White Soliders|Sector|Financial Services|772|0.5492227979274611|58
Three White Soliders|Entity|TWM.US|11|0.5454545454545454|35
Three White Soliders|Entity|PEBO.US|11|0.5454545454545454|38
Three White Soliders|Entity|COHR.US|11|0.5454545454545454|38
Three White Soliders|Industry|Other Industrial Metals & Mining|11|0.5454545454545454|39
Three White Soliders|Entity|CBRL.US|11|0.5454545454545454|58
Three White Soliders|Entity|BFS.US|11|0.5454545454545454|61
Three White Soliders|Entity|CINF.US|11|0.5454545454545454|70
Three White Soliders|Entity|BF-B.US|11|0.5454545454545454|122
Three White Soliders|Industry|Electrical Equipment & Parts|24|0.5416666666666666|45
Three White Soliders|Industry|Recreational Vehicles|13|0.5384615384615384|30
Three White Soliders|Industry|Consulting Services|41|0.5365853658536586|39
Three White Soliders|Industry|REIT - Specialty|28|0.5357142857142857|41
Three White Soliders|Industry|Auto & Truck Dealerships|30|0.5333333333333333|25
Three White Soliders|Industry|Specialty Chemicals|49|0.5306122448979592|47
Three White Soliders|Industry|Airlines|17|0.5294117647058824|29
Three White Soliders|Industry|Discount Stores|17|0.5294117647058824|43
Three White Soliders|Industry|Medical Instruments & Supplies|68|0.5294117647058824|47
Three White Soliders|Industry|Auto Manufacturers|19|0.5263157894736842|17
Three White Soliders|Sector|Utilities|166|0.5240963855421686|80
Three White Soliders|Industry|Biotechnology|316|0.5221518987341772|10
Three White Soliders|Industry|Residential Construction|23|0.5217391304347826|15
Three White Soliders|Industry|Electronic Components|23|0.5217391304347826|22
Three White Soliders|Sector|Real Estate|234|0.5213675213675214|66
Three White Soliders|Sector|Industrials|551|0.5208711433756806|36
Three White Soliders|Industry|Farm Products|27|0.5185185185185185|59
Three White Soliders|Industry|Oil & Gas E&P|56|0.5178571428571429|34
Three White Soliders|Industry|Insurance Brokers|31|0.5161290322580645|97
Three White Soliders|Sector|Consumer Cyclical|464|0.5086206896551724|28
Three White Soliders|Sector|Technology|415|0.5084337349397591|30
Three White Soliders|Sector|Basic Materials|140|0.5071428571428571|36
Three White Soliders|Entity|GRVY.US|10|0.5|8
Three White Soliders|Industry|Capital Markets|36|0.5|23
Three White Soliders|Industry|Metal Fabrication|18|0.5|27
Three White Soliders|Industry|Agricultural Inputs|14|0.5|32
Three White Soliders|Entity|OXM.US|10|0.5|36
Three White Soliders|Sector|Communication Services|136|0.5|48
Three White Soliders|Industry|Medical Distribution|12|0.5|56
Three White Soliders|Entity|DCI.US|10|0.5|78
Three White Soliders|Sector|Other|14|0.5|92
Three White Soliders|Industry|Other|14|0.5|92
Three White Soliders|Entity|RWM.US|12|0.5|132
Three White Soliders|Overall|All|10885|0.4973817179604961|60
Three White Soliders|Sector|Healthcare|749|0.49666221628838453|22
Three White Soliders|Sector|Energy|166|0.4939759036144578|31
Three White Soliders|Industry|Asset Management|135|0.48148148148148145|72
Three White Soliders|Industry|Restaurants|52|0.4807692307692308|47
Three White Soliders|Industry|Education & Training Services|21|0.47619047619047616|23
Three White Soliders|Industry|Utilities - Regulated Water|28|0.4642857142857143|34
Three White Soliders|Entity|FORR.US|13|0.46153846153846156|47
Three White Soliders|Industry|Medical Devices|102|0.46078431372549017|22
Three White Soliders|Industry|Apparel Retail|61|0.45901639344262296|23
Three White Soliders|Industry|Software - Application|107|0.45794392523364486|29
Three White Soliders|Industry|Diagnostics & Research|59|0.4576271186440678|31
Three White Soliders|Entity|IPAR.US|11|0.45454545454545453|31
Three White Soliders|Entity|FCBC.US|11|0.45454545454545453|45
Three White Soliders|Entity|CPB.US|11|0.45454545454545453|62
Three White Soliders|Sector|Consumer Defensive|225|0.4533333333333333|62
Three White Soliders|Industry|Specialty Industrial Machinery|95|0.45263157894736844|39
Three White Soliders|Industry|Integrated Freight & Logistics|20|0.45|30
Three White Soliders|Industry|Oil & Gas Refining & Marketing|20|0.45|40
Three White Soliders|Industry|Engineering & Construction|41|0.43902439024390244|21
Three White Soliders|Industry|Marine Shipping|16|0.4375|16
Three White Soliders|Industry|Communication Equipment|46|0.43478260869565216|24
Three White Soliders|Industry|Internet Retail|30|0.43333333333333335|17
Three White Soliders|Industry|Food Distribution|14|0.42857142857142855|36
Three White Soliders|Industry|REIT - Healthcare Facilities|12|0.4166666666666667|51
Three White Soliders|Entity|PROV.US|12|0.4166666666666667|79
Three White Soliders|Industry|Drug Manufacturers - General|34|0.4117647058823529|59
Three White Soliders|Industry|Semiconductors|22|0.4090909090909091|17
Three White Soliders|Industry|Health Information Services|10|0.4|8
Three White Soliders|Entity|QDEL.US|10|0.4|8
Three White Soliders|Industry|Drug Manufacturers - Specialty & Generic|65|0.4|14
Three White Soliders|Entity|TZA.US|10|0.4|20
Three White Soliders|Entity|OFIX.US|10|0.4|25
