Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Three White Soliders|Entity|MKC.US|11|1|69
Three White Soliders|Entity|MTB.US|11|0.9090909090909091|83
Three White Soliders|Entity|CIGI.US|10|0.9|81
Three White Soliders|Entity|IART.US|12|0.8333333333333334|38
Three White Soliders|Entity|ABT.US|11|0.8181818181818182|55
Three White Soliders|Entity|INTU.US|11|0.8181818181818182|80
Three White Soliders|Entity|EQC.US|11|0.8181818181818182|280
Three White Soliders|Entity|BPOP.US|10|0.8|27
Three White Soliders|Entity|AGM.US|10|0.8|31
Three White Soliders|Entity|PATK.US|10|0.8|37
Three White Soliders|Entity|MGRC.US|10|0.8|44
Three White Soliders|Entity|D.US|10|0.8|96
Three White Soliders|Industry|Waste Management|14|0.7857142857142857|33
Three White Soliders|Industry|Lodging|18|0.7777777777777778|39
Three White Soliders|Entity|HAIN.US|13|0.7692307692307693|47
Three White Soliders|Industry|Building Materials|13|0.7692307692307693|53
Three White Soliders|Entity|ES.US|16|0.75|124
Three White Soliders|Entity|WAFD.US|12|0.75|314
Three White Soliders|Industry|Utilities - Regulated Gas|19|0.7368421052631579|76
Three White Soliders|Entity|CDZI.US|11|0.7272727272727273|29
Three White Soliders|Entity|NTRS.US|11|0.7272727272727273|36
Three White Soliders|Industry|Gambling|11|0.7272727272727273|56
Three White Soliders|Entity|TBRG.US|11|0.7272727272727273|86
Three White Soliders|Entity|LPX.US|14|0.7142857142857143|34
Three White Soliders|Entity|EIX.US|14|0.7142857142857143|95
Three White Soliders|Industry|Entertainment|34|0.7058823529411765|44
Three White Soliders|Entity|MCRI.US|10|0.7|26
Three White Soliders|Entity|KOF.US|10|0.7|44
Three White Soliders|Entity|CNMD.US|10|0.7|45
Three White Soliders|Entity|PGR.US|10|0.7|58
Three White Soliders|Entity|THG.US|10|0.7|68
Three White Soliders|Entity|WTFC.US|10|0.7|85
Three White Soliders|Entity|INDB.US|10|0.7|86
Three White Soliders|Entity|ATRI.US|10|0.7|102
Three White Soliders|Industry|Insurance - Reinsurance|13|0.6923076923076923|60
Three White Soliders|Entity|CRAI.US|16|0.6875|25
Three White Soliders|Industry|Staffing & Employment Services|22|0.6818181818181818|83
Three White Soliders|Industry|Insurance - Diversified|28|0.6785714285714286|82
Three White Soliders|Entity|CAR.US|12|0.6666666666666666|24
Three White Soliders|Industry|Luxury Goods|12|0.6666666666666666|31
Three White Soliders|Industry|Rental & Leasing Services|42|0.6666666666666666|34
Three White Soliders|Entity|MDT.US|12|0.6666666666666666|45
Three White Soliders|Entity|ABM.US|12|0.6666666666666666|68
Three White Soliders|Entity|CALM.US|12|0.6666666666666666|68
Three White Soliders|Entity|DCOM.US|15|0.6666666666666666|100
Three White Soliders|Entity|AEE.US|15|0.6666666666666666|108
Three White Soliders|Industry|Gold|32|0.65625|19
Three White Soliders|Industry|Packaging & Containers|29|0.6551724137931034|57
Three White Soliders|Industry|Healthcare Plans|26|0.6538461538461539|41
Three White Soliders|Industry|Furnishings, Fixtures & Appliances|40|0.65|25
Three White Soliders|Entity|CACC.US|17|0.6470588235294118|22
Three White Soliders|Industry|REIT - Industrial|28|0.6428571428571429|42
Three White Soliders|Entity|KELYA.US|14|0.6428571428571429|57
Three White Soliders|Entity|WTW.US|14|0.6428571428571429|73
Three White Soliders|Industry|Insurance - Specialty|50|0.64|56
Three White Soliders|Entity|BELFB.US|11|0.6363636363636364|19
Three White Soliders|Entity|EAT.US|11|0.6363636363636364|31
Three White Soliders|Entity|WLY.US|11|0.6363636363636364|40
Three White Soliders|Entity|KMPR.US|11|0.6363636363636364|45
Three White Soliders|Entity|AMSF.US|11|0.6363636363636364|49
Three White Soliders|Entity|UBSI.US|11|0.6363636363636364|85
Three White Soliders|Entity|AVB.US|11|0.6363636363636364|127
Three White Soliders|Industry|Real Estate Services|35|0.6285714285714286|61
Three White Soliders|Industry|Credit Services|60|0.6166666666666667|32
Three White Soliders|Industry|Consulting Services|65|0.6153846153846154|33
Three White Soliders|Industry|Specialty Business Services|39|0.6153846153846154|42
Three White Soliders|Industry|Utilities - Regulated Electric|127|0.6141732283464567|101
Three White Soliders|Industry|Insurance - Property & Casualty|44|0.6136363636363636|68
Three White Soliders|Industry|Scientific & Technical Instruments|46|0.6086956521739131|35
Three White Soliders|Industry|Leisure|33|0.6060606060606061|32
Three White Soliders|Industry|Auto & Truck Dealerships|43|0.6046511627906976|23
Three White Soliders|Entity|CMA.US|10|0.6|20
Three White Soliders|Entity|DOC.US|10|0.6|29
Three White Soliders|Entity|SRCE.US|10|0.6|31
Three White Soliders|Entity|TDS.US|10|0.6|32
Three White Soliders|Entity|CUK.US|10|0.6|34
Three White Soliders|Entity|SBCF.US|10|0.6|37
Three White Soliders|Industry|Electronics & Computer Distribution|15|0.6|38
Three White Soliders|Entity|COHR.US|10|0.6|38
Three White Soliders|Entity|NWPX.US|10|0.6|42
Three White Soliders|Entity|DIN.US|10|0.6|48
Three White Soliders|Entity|WHR.US|10|0.6|51
Three White Soliders|Entity|HAS.US|10|0.6|57
Three White Soliders|Industry|Insurance - Life|10|0.6|61
Three White Soliders|Industry|REIT - Hotel & Motel|10|0.6|70
Three White Soliders|Entity|KAMN.US|10|0.6|71
Three White Soliders|Entity|WSFS.US|10|0.6|94
Three White Soliders|Entity|BF-B.US|10|0.6|111
Three White Soliders|Industry|Aerospace & Defense|69|0.5942028985507246|55
Three White Soliders|Industry|REIT - Office|61|0.5901639344262295|116
Three White Soliders|Industry|Auto Manufacturers|17|0.5882352941176471|20
Three White Soliders|Entity|EA.US|12|0.5833333333333334|23
Three White Soliders|Industry|Other Industrial Metals & Mining|12|0.5833333333333334|44
Three White Soliders|Industry|Oil & Gas E&P|80|0.575|38
Three White Soliders|Industry|Recreational Vehicles|14|0.5714285714285714|30
Three White Soliders|Industry|Electrical Equipment & Parts|35|0.5714285714285714|50
Three White Soliders|Industry|Farm Products|35|0.5714285714285714|54
Three White Soliders|Entity|DCI.US|14|0.5714285714285714|104
Three White Soliders|Industry|Farm & Heavy Construction Machinery|46|0.5652173913043478|26
Three White Soliders|Industry|Information Technology Services|82|0.5609756097560976|51
Three White Soliders|Entity|TVC.US|18|0.5555555555555556|476
Three White Soliders|Sector|Basic Materials|197|0.5532994923857868|38
Three White Soliders|Sector|Utilities|230|0.5521739130434783|91
Three White Soliders|Industry|Banks - Regional|558|0.5519713261648745|62
Three White Soliders|Sector|Financial Services|1069|0.5519176800748363|62
Three White Soliders|Industry|Packaged Foods|78|0.5512820512820513|81
Three White Soliders|Industry|Banks - Diversified|31|0.5483870967741935|70
Three White Soliders|Industry|Travel Services|11|0.5454545454545454|14
Three White Soliders|Industry|Oil & Gas Equipment & Services|44|0.5454545454545454|25
Three White Soliders|Entity|MBWM.US|11|0.5454545454545454|49
Three White Soliders|Entity|OGE.US|11|0.5454545454545454|55
Three White Soliders|Entity|BFS.US|11|0.5454545454545454|61
Three White Soliders|Entity|WKC.US|11|0.5454545454545454|66
Three White Soliders|Entity|VRNT.US|11|0.5454545454545454|89
Three White Soliders|Entity|ERIE.US|11|0.5454545454545454|176
Three White Soliders|Sector|Industrials|803|0.5417185554171855|43
Three White Soliders|Sector|Real Estate|329|0.541033434650456|77
Three White Soliders|Entity|ROG.US|13|0.5384615384615384|18
Three White Soliders|Industry|Semiconductor Equipment & Materials|26|0.5384615384615384|18
Three White Soliders|Industry|Pollution & Treatment Controls|13|0.5384615384615384|18
