Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Three White Soliders|Industry|Industrial Distribution|10|0.8|46
Three White Soliders|Industry|Packaging & Containers|13|0.7692307692307693|66
Three White Soliders|Industry|Rental & Leasing Services|15|0.7333333333333333|50
Three White Soliders|Industry|Specialty Business Services|11|0.7272727272727273|67
Three White Soliders|Industry|Leisure|10|0.7|30
Three White Soliders|Industry|Healthcare Plans|10|0.7|48
Three White Soliders|Industry|Real Estate Services|10|0.7|99
Three White Soliders|Industry|Furnishings, Fixtures & Appliances|18|0.6666666666666666|29
Three White Soliders|Industry|Insurance - Specialty|15|0.6666666666666666|47
Three White Soliders|Industry|Aerospace & Defense|21|0.6666666666666666|68
Three White Soliders|Industry|REIT - Residential|15|0.6666666666666666|105
Three White Soliders|Industry|Medical Instruments & Supplies|39|0.6410256410256411|76
Three White Soliders|Industry|Medical Devices|50|0.64|24
Three White Soliders|Industry|Medical Distribution|11|0.6363636363636364|67
Three White Soliders|Entity|TVC.US|11|0.6363636363636364|538
Three White Soliders|Industry|Gold|19|0.631578947368421|18
Three White Soliders|Industry|Auto & Truck Dealerships|19|0.631578947368421|29
Three White Soliders|Industry|Utilities - Regulated Electric|42|0.6190476190476191|115
Three White Soliders|Industry|Farm & Heavy Construction Machinery|13|0.6153846153846154|31
Three White Soliders|Industry|Internet Content & Information|10|0.6|29
Three White Soliders|Industry|REIT - Office|20|0.6|160
Three White Soliders|Industry|Specialty Industrial Machinery|39|0.5897435897435898|64
Three White Soliders|Industry|Capital Markets|12|0.5833333333333334|34
Three White Soliders|Sector|Consumer Cyclical|225|0.5733333333333334|43
Three White Soliders|Industry|Integrated Freight & Logistics|14|0.5714285714285714|69
Three White Soliders|Industry|Telecom Services|23|0.5652173913043478|124
Three White Soliders|Sector|Industrials|263|0.5627376425855514|55
Three White Soliders|Industry|Communication Equipment|16|0.5625|33
Three White Soliders|Industry|Biotechnology|163|0.558282208588957|10
Three White Soliders|Sector|Healthcare|392|0.5561224489795918|27
Three White Soliders|Industry|Specialty Chemicals|27|0.5555555555555556|62
Three White Soliders|Industry|Insurance - Property & Casualty|18|0.5555555555555556|64
Three White Soliders|Industry|Restaurants|31|0.5483870967741935|72
Three White Soliders|Industry|Trucking|11|0.5454545454545454|20
Three White Soliders|Sector|Real Estate|118|0.5423728813559322|99
Three White Soliders|Sector|Utilities|85|0.5411764705882353|92
Three White Soliders|Industry|Consulting Services|26|0.5384615384615384|38
Three White Soliders|Industry|Drug Manufacturers - General|13|0.5384615384615384|43
Three White Soliders|Industry|Electrical Equipment & Parts|13|0.5384615384615384|107
Three White Soliders|Industry|Building Products & Equipment|15|0.5333333333333333|24
Three White Soliders|Sector|Basic Materials|76|0.5263157894736842|42
Three White Soliders|Industry|Farm Products|19|0.5263157894736842|70
Three White Soliders|Industry|Oil & Gas Equipment & Services|21|0.5238095238095238|44
Three White Soliders|Sector|Communication Services|65|0.5230769230769231|81
Three White Soliders|Industry|Information Technology Services|29|0.5172413793103449|82
Three White Soliders|Industry|Apparel Retail|31|0.5161290322580645|31
Three White Soliders|Industry|Medical Care Facilities|24|0.5|25
Three White Soliders|Industry|REIT - Retail|18|0.5|79
Three White Soliders|Overall|All|5331|0.49878071656349654|82
Three White Soliders|Industry|Drug Manufacturers - Specialty & Generic|39|0.48717948717948717|17
Three White Soliders|Industry|Banks - Regional|200|0.485|76
Three White Soliders|Industry|Utilities - Regulated Water|21|0.47619047619047616|61
Three White Soliders|Sector|Financial Services|351|0.4757834757834758|71
Three White Soliders|Industry|Oil & Gas Midstream|19|0.47368421052631576|22
Three White Soliders|Industry|Packaged Foods|32|0.46875|127
Three White Soliders|Industry|Oil & Gas E&P|28|0.4642857142857143|40
Three White Soliders|Sector|Technology|183|0.45901639344262296|42
Three White Soliders|Industry|Electronic Gaming & Multimedia|11|0.45454545454545453|6
Three White Soliders|Sector|Energy|108|0.4537037037037037|38
Three White Soliders|Sector|Consumer Defensive|121|0.4462809917355372|83
Three White Soliders|Industry|Oil & Gas Integrated|14|0.42857142857142855|54
Three White Soliders|Industry|Software - Application|52|0.4230769230769231|36
Three White Soliders|Industry|Credit Services|12|0.4166666666666667|38
Three White Soliders|Industry|Diagnostics & Research|29|0.41379310344827586|48
Three White Soliders|Industry|Security & Protection Services|17|0.4117647058823529|84
Three White Soliders|Industry|Software - Infrastructure|37|0.40540540540540543|26
Three White Soliders|Industry|Education & Training Services|10|0.4|20
Three White Soliders|Industry|Electronic Components|10|0.4|31
Three White Soliders|Industry|Oil & Gas Refining & Marketing|15|0.4|44
Three White Soliders|Industry|Asset Management|55|0.4|62
Three White Soliders|Industry|Household & Personal Products|18|0.3888888888888889|117
Three White Soliders|Industry|Auto Parts|13|0.38461538461538464|62
Three White Soliders|Industry|REIT - Specialty|16|0.375|94
Three White Soliders|Industry|Scientific & Technical Instruments|11|0.36363636363636365|92
Three White Soliders|Industry|Beverages - Non-Alcoholic|14|0.35714285714285715|46
Three White Soliders|Industry|Engineering & Construction|21|0.3333333333333333|59
Three White Soliders|Industry|Specialty Retail|18|0.3333333333333333|125
Three White Soliders|Entity|MZZ.US|10|0.3|57
Three White Soliders|Industry|Advertising Agencies|11|0.2727272727272727|122
Three White Soliders|Industry|REIT - Mortgage|16|0.25|103
