Name|Category|Sub Category|Number Signals|Success %|Avg Duration
Three White Soliders|Industry|Utilities - Regulated Electric|17|0.6470588235294118|79
Three White Soliders|Sector|Industrials|79|0.6329113924050633|44
Three White Soliders|Industry|Medical Instruments & Supplies|15|0.6|63
Three White Soliders|Industry|Apparel Retail|12|0.5833333333333334|20
Three White Soliders|Sector|Consumer Cyclical|63|0.5714285714285714|30
Three White Soliders|Industry|Biotechnology|30|0.5333333333333333|12
Three White Soliders|Sector|Healthcare|90|0.5333333333333333|38
Three White Soliders|Sector|Technology|59|0.5254237288135594|44
Three White Soliders|Sector|Financial Services|98|0.5102040816326531|66
Three White Soliders|Overall|All|1497|0.5063460253841016|65
Three White Soliders|Sector|Utilities|27|0.48148148148148145|82
Three White Soliders|Sector|Communication Services|19|0.47368421052631576|88
Three White Soliders|Industry|Specialty Industrial Machinery|17|0.47058823529411764|66
Three White Soliders|Industry|Medical Devices|13|0.46153846153846156|24
Three White Soliders|Sector|Consumer Defensive|38|0.4473684210526316|52
Three White Soliders|Industry|Banks - Regional|54|0.4444444444444444|71
Three White Soliders|Industry|Software - Application|14|0.42857142857142855|44
Three White Soliders|Sector|Basic Materials|19|0.42105263157894735|34
Three White Soliders|Sector|Real Estate|34|0.4117647058823529|93
Three White Soliders|Industry|Asset Management|15|0.4|34
Three White Soliders|Sector|Energy|26|0.38461538461538464|28
Three White Soliders|Industry|Software - Infrastructure|13|0.3076923076923077|13
